company_id,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close
1,,,,,,,,,,,,,,
2,6:00,23:00,6:00,23:00,6:00,23:00,6:00,23:00,6:00,23:00,10:00,20:00,10:00,20:00
3,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,10:00,21:00,,
4,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,20:00,12:00,18:00
5,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,8:00,20:00,12:00,18:00
6,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,9:00,20:00,10:00,20:00
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,21:00,,
13,,,,,,,,,,,,,0:00,24:00:00
14,6:00,22:00,6:00,22:00,6:00,22:00,6:00,22:00,6:00,22:00,6:00,21:00,6:00,21:00
15,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,10:00,21:00,10:00,21:00
16,6:00,21:00,6:00,21:00,6:00,21:00,6:00,21:00,6:00,21:00,,,,
17,6:00,22:00,6:00,22:00,6:00,22:00,6:00,22:00,6:00,22:00,9:00,18:00,9:00,18:00
18,6:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,22:00,10:00,18:00
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,9:00,21:00,10:00,17:00
22,,,,,,,,,,,,,,
23,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,10:00,18:00,,
24,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,10:00,20:00,10:00,20:00
25,,,,,,,,,,,,,0:00,24:00:00
26,,,,,,,,,,,,,,
27,6:00,23:00,6:00,23:00,6:00,23:00,6:00,23:00,6:00,23:00,9:00,18:00,,
28,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,8:00,24:00:00,8:00,24:00:00
29,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,10:00,21:00,10:00,21:00
30,,,,,,,,,,,,,,
31,6:00,货寒 01:00,6:00,货寒 01:00,6:00,货寒 01:00,6:00,货寒 01:00,6:00,货寒 01:00,10:00,21:00,10:00,21:00
32,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,10:00,19:00,10:00,19:00
33,9:00,23:00,9:00,23:00,9:00,23:00,9:00,23:00,9:00,23:00,9:00,18:00,,
34,,,,,,,,,,,,,,
35,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,10:00,18:00,10:00,18:00
36,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,9:00,20:00,10:00,20:00
37,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,10:00,21:00,,
38,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,10:00,21:00,,
39,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,17:00,,
40,9:00,23:00,9:00,23:00,9:00,23:00,9:00,23:00,9:00,23:00,9:00,18:00,,
41,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,,,
42,8:00,23:00,8:00,23:00,8:00,23:00,8:00,23:00,8:00,23:00,9:00,17:00,,
43,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,9:00,17:00,,
44,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,
46,9:00,24:00:00,9:00,24:00:00,9:00,24:00:00,9:00,24:00:00,9:00,24:00:00,9:00,19:00,,
47,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,9:00,18:00,9:00,18:00
48,6:00,23:00,6:00,23:00,6:00,23:00,6:00,23:00,6:00,23:00,10:00,18:00,10:00,18:00
49,6:00,23:00,6:00,23:00,6:00,23:00,6:00,23:00,6:00,23:00,10:00,17:00,,
50,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,6:00,24:00:00,10:00,19:00,10:00,19:00
51,8:00,23:00,8:00,23:00,8:00,23:00,8:00,23:00,8:00,23:00,,,,
52,6:00,23:00,6:00,23:00,6:00,23:00,6:00,23:00,6:00,23:00,10:00,20:00,12:00,20:00
53,10:00,23:30,10:00,23:30,10:00,23:30,10:00,23:30,10:00,23:30,10:00,17:00,,
54,,,,,,,,,,,,,,
55,9:30,21:00,9:30,21:00,9:30,21:00,9:30,21:00,9:30,21:00,10:00,13:00,,
56,8:00,23:00,8:00,23:00,8:00,23:00,8:00,23:00,8:00,23:00,9:00,17:00,0:00,24:00:00
57,6:00,23:00,6:00,23:00,6:00,23:00,6:00,23:00,6:00,23:00,8:00,18:00,10:00,17:00
58,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,
61,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,10:00,18:00,,
62,9:00,23:00,9:00,23:00,9:00,23:00,9:00,23:00,9:00,23:00,10:00,18:00,,
63,6:30,23:00,6:30,23:00,6:30,23:00,6:30,23:00,6:30,23:00,,,,
64,,,,,,,,,,,,,6:00,23:00
