open,loc_name,loc_address,loc_number,loc_lat,loc_lng
영업중,유진헬스클럽,"서울특별시 광진구 자양번영로 42 (자양동, 공주빌딩)",446-6405,37.53332968078094,127.07308897498818
영업중,서울헬스,,447-5343,37.53414011511152,127.07807946841855
영업중,동부육체미,서울특별시 광진구 광나루로 379  (군자동),466-5631,37.54818696498381,127.06911806859246
영업중,역발산센터,서울특별시 광진구 능동로13길 39  (화양동),468-3638,37.54350264661167,127.0670102433251
영업중,휘트니스피플우먼 구의점,"서울특별시 광진구 아차산로 380, 5층 (자양동, 세화빌딩)",447-1660,37.5365963062418,127.08212871947022
영업중,광운헬스,서울특별시 광진구 뚝섬로56길 59  (자양동),456-5562,37.52885663183589,127.08003112801845
영업중,삼성남녀헬스센타,서울특별시 광진구 천호대로 527  (중곡동),469-1055,37.55842267701967,127.07446516373273
영업중,영광헬스피아,서울특별시 광진구 자양로 52  (자양동),458-8311,37.53267533437616,127.0827369048154
영업중,역사헬스,서울특별시 광진구 동일로 222  (군자동),3409-3780,37.551438875974114,127.06664532317372
영업중,멜론짐,서울특별시 광진구 구의로 39  (구의동),454-2589,37.54143040463109,127.08683555878761
영업중,파워헬스,서울특별시 광진구 면목로11길 10  (중곡동),498-3993,37.56687503142613,127.07822854246785
영업중,휘트니스헬스타운,"서울특별시 광진구 자양로26길 31 (구의동, 명진빌딩)",452-1397,37.54157681119283,127.08284950060153
영업중,A's휘트니스여성헬스,서울특별시 광진구 자양로18길 31  (구의동),444-2537,37.53790196163496,127.08229823625639
영업중,나우휘트니스,"서울특별시 광진구 자양로22길 24 (구의동, 천서빌딩)",452-0431,37.53949075031224,127.08180187598525
영업중,군자휘트니스 크럽,"서울특별시 광진구 천호대로 510  (군자동,(3층))",498-0606,37.55853309401919,127.07210838357538
영업중,순수여성헬스,"서울특별시 광진구 아차산로 511  (광장동,지층)",2201-9741,37.5421515052438,127.09526396166501
영업중,용곡체육관,서울특별시 광진구 용마산로 111  (중곡동),457-3474,37.563593904534166,127.08378272306967
영업중,머슬 H 휘트니스,"서울특별시 광진구 군자로 108 (군자동, 군자빌딩)",,37.5525877118482,127.06919109089549
영업중,상록헬스크리닉,"서울특별시 광진구 뚝섬로23길 43  (자양동,2층)",464-4801,37.537359399705245,127.06293314002792
영업중,스포츠클리닉밸런스,,466-7889,37.55409181668983,127.07215880024933
영업중,메트로헬스,서울특별시 광진구 아차산로 373  (구의동),2201-4846,37.53697131287387,127.08116207113301
영업중,스타일휘트니스클럽(무단폐업),서울특별시 광진구 용마산로 120 (중곡동),02-444-3802,37.56438038972611,127.08413504096286
영업중,시티짐 군자,"서울특별시 광진구 군자로 75 (군자동, 지장빌딩)",462-1128,37.549949679333956,127.0677454315253
영업중,세종 남여헬스(무단폐업),"서울특별시 광진구 구의로 6 (구의동, 신호빌딩)",2201-4849,37.53851438572862,127.08648714128182
영업중,화인헬스,서울특별시 광진구 자양로 173  (구의동),455-9560,37.54321983452227,127.08134324630588
영업중,동방헬스,"서울특별시 광진구 면목로17길 40, 2층 203호 (중곡동, 동방프라자)",434-7229,37.57089273212797,127.07818173173898
영업중,바디메이트 짐,"서울특별시 광진구 용마산로 10, 4층 (중곡동, 대붕빌딩)",444-2944,37.55449050028751,127.08592369522994
영업중,파워존,"서울특별시 광진구 영화사로 1  (중곡동,2층)",02-444-0844,37.55870781199983,127.08532286834587
영업중,테크노휘트니스클럽,,02-456-4797,,
영업중,프라임헬스클럽,"서울특별시 광진구 아차산로 453  (구의동,(4층))",444-9422,37.53940110944812,127.08950497458746
영업중,월드스포츠센터,,497-0843,,
영업중,아차산헬스클럽,서울특별시 광진구 자양로 312  (구의동),455-0966,37.55310514600293,127.09052961698904
영업중,파나마 헬스클럽,"서울특별시 광진구 자양로26길 31, 2층 201호 (구의동, 명진빌딩)",452-1397,37.54157681119283,127.08284950060153
영업중,비스코헬스케어,"서울특별시 광진구 아차산로70길 62, 지하1,2층 (광장동, 광장현대3단지아파트)",,37.54062083838449,127.09571426354493
영업중,광진휘트니스,"서울특별시 광진구 뚝섬로 489, 2층 (자양동, 노룬산시장)",499-2360,37.53648691573684,127.06197240065211
영업중,대원헬스,"서울특별시 광진구 면목로 161 (중곡동, 중곡빌딩)",499-0092,37.567731519903525,127.07912971749663
영업중,바디앤소울,"서울특별시 광진구 군자로 137  (군자동,2층)",466-8088,37.554158472069254,127.07152880449311
영업중,엘리트짐,서울특별시 광진구 자양로 86 (자양동),(02)458-3911~2,37.535307325707535,127.08152515446271
