,id,name,img,grade,lat,lng,phoneNumber,address,naver_map_url,address2
0,0,나우휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211019_299%2F1634632821873UXA4z_JPEG%2FEMjFWVFj-7tJBwgjnSUVoOIz.jpg,,37.5506474264789,127.144288436536,481-9679,서울특별시 강동구 양재대로 1626 (명일동),31161009,서울 강동구 양재대로 1626 4층 401호
1,1,스포힐 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210928_185%2F1632808249560nkFLP_JPEG%2Fe1Fg6nUARNYo0tcjz5IErZYF.jpg,4.78,37.5404637146353,127.146699285076,02-470-3138,"서울특별시 강동구 명일로 243 (길동, 서울시산림조합빌딩)",1115043372,서울 강동구 명일로 243 3층
2,2,선린남여헬스클럽,,,37.5287025352002,127.136066310873,487-6987,서울특별시 강동구 양재대로 1371 (성내동),1118616215,서울 강동구 양재대로 1371 3층7호
3,3,탑 헬스클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_150%2F1440997816482cYV5m_JPEG%2F106568517655521_0.jpg,,37.5429916123078,127.141259812474,473-1119,서울특별시 강동구 양재대로 1535 (천호동),13156800,서울 강동구 양재대로 1535
4,4,고위드 피트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220516_114%2F1652679136615f12Fl_PNG%2F%25B0%25ED%25C0%25A7%25B5%25E5-%25B8%25ED%25C0%25CF2.png,,37.5538571094692,127.143944021144,481-4864,서울특별시 강동구 양재대로 1661 (명일동),1223511233,서울 강동구 양재대로 1661 시온캐슬 B2 고위드 피트니스 명일
5,5,피트니스 다움,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191202_25%2F1575241202329cRqyY_JPEG%2FbAst2JL4ukgPHcDPLpkmVfDD.jpg,,37.5372073343198,127.12676817356,475-4131,"서울특별시 강동구 천호대로 1034 (성내동, 탑 메디칼센타)",1137572773,"서울 강동구 천호대로 1034 6층,7층"
6,6,S휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220524_167%2F1653370069987GloGR_JPEG%2F%25C5%25A9%25B1%25E2%25BA%25AF%25C8%25AF%25C0%25CC%25B4%25EB%25C0%25C7b-a001.jpg,4.9,37.5313831843913,127.130403587005,489-5566,"서울특별시 강동구 풍성로45길 18 (성내동, 중앙아파트)",35194868,서울 강동구 풍성로45길 18
7,7,MY GYM,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220325_94%2F1648193069922weDQz_JPEG%2F20220130_144726.jpg,4.67,37.5546198628524,127.154105278912,428-0061,"서울특별시 강동구 고덕로 256 (명일동, 명성프라자)",1416220390,서울 강동구 고덕로 256 12층
8,8,썸바디 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200702_28%2F1593660167870x5HId_JPEG%2FKakaoTalk_20200702_122205459.jpg,4.87,37.5438941945689,127.142566201861,482-0997,"서울특별시 강동구 양재대로 1550 (길동, 은호빌딩)",37495871,서울 강동구 양재대로 1550 은호빌딩 8층 썸바디휘트니스
9,9,와이키키휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160313_100%2F1457863712948g3sEX_JPEG%2F176263593852679_0.jpeg,,37.5352870340168,127.139475951525,02-472-7677,서울특별시 강동구 양재대로 1450 (길동),20625992,서울 강동구 양재대로 1450
