,id,name,img,grade,lat,lng,phoneNumber,address,naver_map_url,address2
0,0,바운드짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200618_219%2F1592471829056yvugB_JPEG%2F-xbp9oHI2-S9-j2k8YodJlS-.jpg,,37.4960795695469,126.891564274155,,"서울특별시 구로구 가마산로 280, 상가301,302호 (구로동, 구로2차순영웰라이빌)",12049117,서울 구로구 가마산로 280 구로2차순영웰라이빌 3층
1,1,동양휘트니스,,,37.485043510919,126.885750717271,,"서울특별시 구로구 구로동로5길 2, 오봉빌딩 3, 4층 (가리봉동)",18450989,서울 구로구 구로동로5길 2 오봉빌딩
2,2,DOB휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210524_244%2F1621848261105NFnEj_JPEG%2Fcx04levrzU8WtbNwADHpLfEC.jpeg.jpg,,37.492403480765,126.843387355249,02-2615-1402,"서울특별시 구로구 오류로8길 57, 6층 (오류동, 대성빌딩)",1717567112,서울 구로구 오류로8길 57 대성빌딩6층 DOB휘트니스
3,3,아이캔짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190809_77%2F1565345338997M652p_JPEG%2FK406r5HALNYjKdbnVmIRkcpW.jpg,,37.4920938346959,126.855574487587,684-7581,서울특별시 구로구 개봉로 71 (개봉동),1251666087,서울 구로구 개봉로 71
4,4,리얼바디짐 오류점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181214_240%2F15447486971256cDAv_PNG%2FCPsxSH_uhH5TyFcS1fwQ00Zx.png,4.3,37.4943605889981,126.841050520575,,"서울특별시 구로구 경인로 176, 3층  301~304 및 306호 (오류동, 시티월드)",1638699586,서울 구로구 경인로 176 시티월드 3층
5,5,워너비짐,,,37.506486571093,126.845177028753,,"서울특별시 구로구 고척로27길 107 (개봉동,3층)",18487912,서울 구로구 고척로27길 107
6,6,온리유휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220203_244%2F1643836110295picvh_JPEG%2F4.jpg,4.52,37.5024345090279,126.881491595821,,"서울특별시 구로구 구로중앙로 174 (구로동, 구로역)",35905742,서울 구로구 구로중앙로 174
7,7,클래스짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190214_17%2F1550121767585N09RS_JPEG%2Fa3wsIOfQ30aBo9a_4oCiReEE.jpg,,37.4935498831581,126.855813787742,,서울특별시 구로구 개봉로19길 39 (개봉동),37469020,서울 구로구 개봉로19길 39 개봉동청송빌딩
8,8,오버탑휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220704_33%2F1656927495600Dz5xd_PNG%2F1.png,4.78,37.5033062723055,126.881083869229,,"서울특별시 구로구 경인로 572, 스타팰리스 301~307호 (구로동)",1452603104,서울 구로구 경인로 572 스타팰리스 3층
9,9,노블휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181211_55%2F15445052493308V4S4_JPEG%2Fq40GYb23DzqsnwZQ1RF9HYH5.JPG.jpg,4.1,37.4825399425928,126.900246298277,855-6026,"서울특별시 구로구 시흥대로 551 (구로동,광희빌딩 B2)",32731147,서울 구로구 시흥대로 551 광희빌딩
