,id,name,img,grade,lat,lng,phoneNumber,address,naver_map_url,address2
0,0,부르스타짐 공릉점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220530_6%2F16538678143081HYAQ_JPEG%2F%25B7%25CE%25B0%25ED.jpg,,37.6219534132134,127.075326139356,02-948-8411,서울특별시 노원구 동일로180길 14 (공릉동),1271553954,서울 노원구 동일로180길 14 공릉쇼핑센터 3층
1,1,미스.미스터헬스크럽,,,37.6154686229211,127.066993656227,02-972-9936,"서울특별시 노원구 화랑로 353 (월계동,3층)",20834612,서울 노원구 화랑로 353
2,2,굿모닝휘트니스,,4.06,37.6483113328021,127.083042245812,02-3392-2266,"서울특별시 노원구 중계로12가길 29 (중계동,수암빌딩 5층)",18046499,서울 노원구 중계로12가길 29
3,3,뉴크로핏,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200301_128%2F1582991374006woYbG_JPEG%2FPjyIApp4LItp7bFRQZJcoiXQ.jpg,,37.627154835266,127.07626924961,,"서울특별시 노원구 동일로192길 63, 화랑빌딩 4층 (공릉동)",1849862084,서울 노원구 동일로192길 63
4,4,워너핏휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220531_25%2F16540014319240RDBE_JPEG%2Fwannafit_1.jpg,4.45,37.6208254563305,127.083635681247,02-948-6183,"서울특별시 노원구 노원로1길 67, 대덕프라자 3층 306, 307, 310, 311호 (공릉동)",36543271,서울 노원구 노원로1길 67 대덕프라자 3층
5,5,아이원토탈휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200519_293%2F1589880488082mpl6t_JPEG%2F-mBFflvM9sJrnRvdv4ENBcL7.jpg,,37.6271730017224,127.079993640334,02-972-3300,"서울특별시 노원구 공릉로46길 18 (공릉동,1필지)",36178173,서울 노원구 공릉로46길 18
6,6,머슬톡 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210218_285%2F1613642065971QXkJB_JPEG%2FP12F-9NG39AOTMRQTYAajmkA.jpg,4.17,37.6218972211482,127.059682264141,02-942-9655,"서울특별시 노원구 광운로 52, 2층 (월계동)",37637645,서울 노원구 광운로 52
7,7,바디채널 공릉역점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210813_187%2F1628834233895ep6gp_JPEG%2F8Nj6oUkwO61OvCJ8usDMrw3M.JPG.jpg,5.0,37.6260515591195,127.072437435815,02-973-3357,"서울특별시 노원구 동일로 1077 (공릉동,지하1층)",1862933984,서울 노원구 동일로 1077 지하1층 바디채널 공릉역점
8,8,발리짐 상계역점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220512_59%2F1652355557186NHVHA_JPEG%2F%25B9%25DF%25B8%25AE%25C1%25FC_%25BB%25F3%25B0%25E8%25BF%25AA%25C1%25A1.jpg,4.97,37.6601294556367,127.075209656625,02-934-6733,"서울특별시 노원구 덕릉로 699 (중계동,(3층))",11493661,서울 노원구 덕릉로 699 우암에이스타워 3층
9,9,커브스 마들클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210203_150%2F1612333098391jwXge_JPEG%2FlUv4vk37Rhqjp9PC8MZc89Dv.jpg,4.53,37.6668881732629,127.056844136528,02-931-5030,서울특별시 노원구 동일로 1551 (상계동),13456699,서울 노원구 동일로 1551 삼전빌딩
