,id,name,img,grade,lat,lng,phoneNumber,address,naver_map_url,address2
0,0,헬스파크,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200923_16%2F1600848341849zldmD_PNG%2FERLpWFB0xXcs0syZ0Phsjh1G.png,,37.593839052952,127.058246946933,968-7995,"서울특별시 동대문구 이문로 73, 2층 (이문동)",35022131,서울 동대문구 이문2동 331-13
1,1,에센휘트니스 크럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_34%2F1441008909804rVD2K_JPEG%2FSUBMIT_1351305413297_12057627.jpg,,37.5710568281709,127.075113657819,,"서울특별시 동대문구 장안벚꽃로 107, 상가동 311호 (장안동, 장안현대홈타운)",12057627,서울 동대문구 장안벚꽃로 107 장안현대홈타운상가3층
2,2,에스라인 휘트니스,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180927_59%2F1538006410160FRD7o_JPEG%2Fvqz1wWIZY9WO-vQttregmqcy.jpg,,37.5993842417809,127.057433338016,,서울특별시 동대문구 천장산로 39 (이문동),18120204,서울 동대문구 천장산로 39
3,3,뉴파워짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210322_113%2F1616399448205Sv8Ts_JPEG%2F9h6blf-lKKRM3hCBH-uqA4Fh.jpg,4.57,37.5788925747579,127.068016203955,,"서울특별시 동대문구 사가정로 207, 삼협메디스빌딩 6, 7층 (장안동)",1955613244,"서울 동대문구 사가정로 207 601호, 701호"
4,4,에스엔비 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210623_144%2F16244274934037D3NM_JPEG%2FWw6AV3xyxeKq80Iqhmah086P.jpg,4.15,37.5713194385769,127.07401941641,1544-6857,서울특별시 동대문구 답십리로72길 18 (장안동),1497497321,서울 동대문구 답십리로72길 18
5,5,힐 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220614_111%2F1655195551478SqWLg_JPEG%2FKakaoTalk_20210323_184754050.jpg,,37.573320107089,127.063817174774,2214-5200,서울특별시 동대문구 답십리로 209 (답십리동),37648270,서울 동대문구 답십리로 209 힐스포파크 3층 헬스장
6,6,휘트니스 월드,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200403_118%2F1585908980119UDXE0_JPEG%2FHDIPerrv7TJkeKAE3Jm0NjhZ.jpg,,37.5757529641751,127.067713923491,,"서울특별시 동대문구 한천로 166, 2층 (장안동)",20842927,서울 동대문구 한천로 166
7,7,헬스보이짐 장안점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220714_113%2F165776930078799Tql_PNG%2Fa.png,4.72,37.571449705126,127.070212938267,2217-8989,"서울특별시 동대문구 장한로 119, 지층 (장안동)",1544584146,서울 동대문구 장한로 119 B1
8,8,TRUST GYM,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210219_36%2F1613714595154GKUG3_JPEG%2FXq_ULnFXdfpadOvEF7GY-bj_.jpg,4.34,37.5959001609367,127.061962760963,965-9688,"서울특별시 동대문구 휘경로 15, 6,7층 (이문동)",32741547,서울 동대문구 휘경로 15 YBJ빌딩 6층 7층
9,9,투엑스휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220413_247%2F16498275094591Wny9_JPEG%2F02.jpg,4.69,37.5659490042311,127.061727185544,2242-9811,"서울특별시 동대문구 한천로 42 (장안동, 위더스빌)",1585851573,서울 동대문구 한천로 42 위더스빌 지하2층
10,10,한신휘트니스,,,37.5883932941526,127.039218485863,,서울특별시 동대문구 고산자로 534 (제기동),1083087314,서울 동대문구 고산자로 534
11,11,머슬허슬,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190712_158%2F1562859847793IsMb9_JPEG%2FJz52PanjN6tW6ws8vaLaIHg6.jpg,,37.5906217259753,127.036673189084,,서울특별시 동대문구 종암로 2-1 (제기동),1004209057,서울 동대문구 종암로 2-1 B1
12,12,H-body 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_190%2F1441069306434Li5Sb_JPEG%2FSUBMIT_1426126354259_36406749.jpg,,37.578457906592,127.057936659679,02-3394-7111,서울특별시 동대문구 전농로16길 9 (전농동),36406749,서울 동대문구 전농로16길 9
13,13,삼성휘트니스클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220420_273%2F1650437480246YbpgH_JPEG%2F20210704_143425.jpg,4.3,37.5733020510431,127.057022081587,02-2244-2450,서울특별시 동대문구 전농로 91 (답십리동),37445857,서울 동대문구 전농로 91
14,14,HTV 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211111_187%2F1636628619950f0FSX_JPEG%2F1.jpg,,37.5909739363696,127.064416950531,02-3394-5155,서울특별시 동대문구 망우로 101 (휘경동),1069576557,서울 동대문구 망우로 101
15,15,라온 퍼스널트레이닝,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211007_70%2F1633600625796yb8vs_JPEG%2F7LtgmhxnyrjnT0HbSsGuGshG.jpg,4.9,37.5902121456959,127.057623415582,,서울특별시 동대문구 회기로 195 (휘경동),1589164091,서울 동대문구 회기로 195 4층
16,16,와치 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200727_238%2F1595807602514rVjyr_JPEG%2Fr4t2XxYseSzubgIreIOtl8fK.jpg,,37.5778160010547,127.061742980486,02-2215-1080,"서울특별시 동대문구 사가정로 150, 2층 (전농동)",13346875,서울 동대문구 사가정로 150
17,17,New Body Gym,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210325_243%2F161666075550316QyQ_PNG%2FFGIPJyr16JyuirOwGPzeTSOW.png,,37.5663400418002,127.068263880601,02-2215-1500,서울특별시 동대문구 장한로 60 (장안동),37695664,서울 동대문구 장한로 60 웅진타워2층
18,18,크로스핏 리스펙,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211105_285%2F1636080562665drf6n_JPEG%2F_q9gMUlspsvPVI7wy14HpuQS.jpg,,37.5903959972497,127.059877891806,,"서울특별시 동대문구 망우로21길 52, 지하1층 (휘경동)",37830085,서울 동대문구 망우로21길 52 C동 지하1층
19,19,시티짐 퍼플,,4.55,37.5675757498172,127.052209219835,02-3394-6411,서울특별시 동대문구 천호대로 281 (답십리동),38547944,서울 동대문구 천호대로 281 동부시장2층 시티짐퍼플
20,20,MJ 스포랜드,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210512_37%2F16208015366531pdAn_JPEG%2FTuRNCFjub627QZSmWAF_CxFt.jpg,4.27,37.5886701518475,127.053686007325,02-966-7001,"서울특별시 동대문구 이문로 3, 3층 (회기동)",1762627983,서울 동대문구 이문로 3 1층
21,21,더빠짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200102_190%2F1577936973451gtI5G_JPEG%2FbR4-qIE8eDP_va9ieEVvaNrQ.jpg,,37.586357936761,127.038164357522,02-6082-5605,"서울특별시 동대문구 제기로 46, 4층 좌측호 (제기동)",1911933815,서울 동대문구 제기로 46 4층 402호
22,22,트리플에이짐(Triple A Gym),https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181211_176%2F1544538118926qs4lY_JPEG%2FKADa9rLdXdOMmDCufD5K0FNV.jpg,4.5,37.583880774252,127.054015310688,02-3390-4450,"서울특별시 동대문구 서울시립대로 155, 2, 3층 (전농동)",1432171943,"서울 동대문구 서울시립대로 155 면전빌딩 2층, 3층 트리플에이짐"
23,23,스포애니 신설동역점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190121_224%2F1548051005401X17Wb_JPEG%2FFGc0aW7lOeWaChBIqT0oBUl1.JPG.jpg,3.98,37.5753483891625,127.024344406042,02-953-9618,서울특별시 동대문구 천호대로 3 (신설동),1836723263,서울 동대문구 천호대로 3
24,24,머슬아카데미 GYM,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190417_155%2F1555466656882h4SO8_JPEG%2FQny1Mio8xv_81QSu3BDJCKPI.jpg,4.78,37.5841917064823,127.045696927384,,"서울특별시 동대문구 약령시로21길 30, 상가동 지하 1호 (청량리동, 현대아파트)",1175898657,서울 동대문구 약령시로21길 30 현대상가B1
