,id,name,img,grade,lat,lng,phoneNumber,address,naver_map_url,address2
0,0,헤라클레스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170503_102%2F1493784816104df43w_JPEG%2F186453534355877_3.jpeg,,37.5059379074905,126.955856834488,824-8688,서울특별시 동작구 흑석로6가길 21 (흑석동),38738534,서울 동작구 흑석로6가길 21
1,1,명문헬스클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210330_280%2F1617102125481mq69x_JPEG%2Fadw-UI50Azfq--7I_erLpuKN.jpeg.jpg,,37.4938176249105,126.956236455386,814-0579,"서울특별시 동작구 상도로 399, 202호 (상도동, 삼호상가)",18704679,서울 동작구 상도로 399 삼호아파트 상가2동 201호
2,2,에브리데이짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220222_140%2F1645507360033hv2OV_JPEG%2FKakaoTalk_20220118_221145518.jpg,4.95,37.504803193551,126.938547350594,817-6400,서울특별시 동작구 상도로 179 (상도동),1318853078,서울 동작구 상도로 179 2층
3,3,국제 헬스,,,37.5119384569884,126.93473418566,02-814-4155,서울특별시 동작구 등용로4길 148 (노량진동),11831148,서울 동작구 등용로4길 148
4,4,엔짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210824_77%2F1629779299344JWoho_JPEG%2FMAwDBQoGnx9ZFoSX7GD03UzZ.JPG.jpg,4.78,37.4973902075154,126.944257806099,817-8990,"서울특별시 동작구 양녕로26길 27, 5층 (상도동, 삼익아파트)",1136266766,서울 동작구 양녕로26길 27 5층
5,5,마크짐 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_38%2F1441001649287zzR6R_JPEG%2F146075617047046_0.jpeg,4.22,37.5077644083105,126.962881274043,,"서울특별시 동작구 서달로 166, 우리은행흑석동지점 5층 (흑석동)",31564479,서울 동작구 서달로 166 덕봉빌딩 5층
6,6,피렉스휘트니스센터,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200304_105%2F1583303611701jMFjN_JPEG%2Fbd2QJSBXmpIaT3ijN_AZ_8NS.jpg,4.39,37.4999361621243,126.931383839639,822-4999,"서울특별시 동작구 상도로 96, 2층 (상도동)",1018025728,서울 동작구 상도로 96 하나은행
7,7,프레토 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200206_79%2F1580995508676Xlfei_JPEG%2F-3_2hHo9rEeo_p47b2UJbEvo.jpg,4.27,37.4994633095093,126.927896614044,815-3888,"서울특별시 동작구 보라매로 113, 코스모빌딩 5층 (대방동)",1430563569,서울 동작구 보라매로 113 코스모빌딩 5층
8,8,이루어짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171212_81%2F1513063683395M6C02_PNG%2F56V0cztXuKICFuxMRvh84nGZ.png,,37.5116890183844,126.939042544418,825-8555,서울특별시 동작구 장승배기로27길 18 (노량진동),12861635,서울 동작구 장승배기로27길 18 지하1층
9,9,바디 디자인샵,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160607_5%2F1465272130627p28t6_JPEG%2F176557503445031_0.jpeg,,37.4987849415093,126.929236790898,811-7727,서울특별시 동작구 국사봉1길 12 (상도동),37992177,서울 동작구 국사봉1길 12 진선빌딩 3층
