id,name,img,grade,lat,lng,phoneNumber,address
0,골든짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220723_112%2F1658552237261lhsBv_JPEG%2F1657796401790-1.jpg,4.91,37.5007506928673,127.106711740392,,서울특별시 송파구 가락로 94 (석촌동)
1,짐스휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211215_44%2F16395789350258NtL5_JPEG%2F14-6.jpg,4.54,37.5037842426424,127.114087155439,,"서울특별시 송파구 가락로 168 (송파동, 부성빌딩)"
2,슈나이더 짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220715_141%2F1657877037075xxb2o_JPEG%2FKakaoTalk_20220715_182251453.jpg,4.93,37.4898197150575,127.123767341427,,서울특별시 송파구 동남로 110 (문정동)
3,백세청춘,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_121%2F1441083334404gn62h_JPEG%2F166667424736210_1.jpg,4.57,37.5178827571707,127.101802779596,02-2042-0902,"서울특별시 송파구 올림픽로35길 112, 장미아파트 비상가 5층 (신천동)"
4,우정휘트니스클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220726_25%2F16588381325436oJrc_JPEG%2FKakaoTalk_20220726_205953154_26.jpg,3.81,37.4930969613738,127.14651816376,449-2118,서울특별시 송파구 오금로 519 (거여동)
5,짐퍼스트 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220714_54%2F1657766256560pEhgN_JPEG%2F%25C7%25D0%25BB%25FD-%25C0%25CC%25BA%25A5%25C6%25AE_%25281%2529.jpg,4.25,37.5280338232329,127.118409964876,488-4002,"서울특별시 송파구 토성로 78 (풍납동, 정민빌딩)"
6,더드림 피트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191118_297%2F1574087499167fr0m1_JPEG%2FSliDrM2Xj1qfbw8OfH0VPrYq.jpg,4.95,37.5091915264878,127.105565349903,,"서울특별시 송파구 백제고분로41길 43-5, 신천빌딩 2층 (송파동)"
7,크로스핏거여 앤 탑스포츠클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_206%2F14409949796026k23Q_JPEG%2FSUBMIT_1399966876604_13151025.jpg,,37.4928621788522,127.145041801116,,"서울특별시 송파구 오금로 508 (거여동, 스타빌딩)"
8,스카이 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200514_181%2F1589441751265TPGua_JPEG%2Fa_ixrmDSmc2sfiqNvBC3yS1D.JPG.jpg,,37.4974357385,127.135434067417,,"서울특별시 송파구 오금로 410, 4층 (가락동)"
9,피트니스비엠,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220303_39%2F16463000437284ibdI_JPEG%2F%25BA%25F1%25BF%25A5_%25C0%25E1%25BD%25C7_%25281%2529.jpg,4.5,37.5115603565131,127.079181383259,02-512-7721,"서울특별시 송파구 올림픽로 76, 12층 1201,1202호 (잠실동, J타워)"
10,NC 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201013_125%2F16025589507812l4Qm_JPEG%2FkErQZRIqMSLAXO8493opYOvH.jpg,4.62,37.4810674722131,127.126436746242,,서울특별시 송파구 새말로8길 20 (문정동)
11,커브스가락클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210716_287%2F16264108703706qPMk_PNG%2FAXmcJK_e74WbO1PkipkunO9p.png,,37.4950190985121,127.130842870003,,"서울특별시 송파구 동남로 198, 3층 (가락동)"
12,커브스 잠실클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_120%2F1441005450164KecAY_JPEG%2F166177444226126_1.jpg,,37.5095151713629,127.083365312972,02-415-3070,"서울특별시 송파구 올림픽로12길 23, 2층 (잠실동)"
13,카인드짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220407_39%2F1649324859713oLYAw_JPEG%2F%25BC%25BE%25C5%25CD%25BB%25E7%25C1%25F8.jpg,4.67,37.5150904350568,127.114798987211,,"서울특별시 송파구 백제고분로 501, 지하2층 (방이동)"
14,튼튼해짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201117_206%2F1605589806513S5QdR_JPEG%2FbJ1mQ5F0RIVxkZJm5Qf6_G3y.jpg,,37.5089743184115,127.1273800302,070-4408-0797,"서울특별시 송파구 위례성대로20길 27, 2층 (오금동)"
15,파이널짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211017_153%2F1634439338220223H0_PNG%2FCmUtXcTl9Us_m_-HRfWMVPtS.png,5.0,37.506397784088,127.107659180173,,"서울특별시 송파구 백제고분로41길 7-15, 굿피플오피스 송파 8층 (송파동)"
16,이코리아PTGYM,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_91%2F1441088353118utNlg_JPEG%2F21407261_0.jpg,,37.5086858136158,127.13035617547,3402-1113,"서울특별시 송파구 위례성대로22길 18, 2층 (오금동)"
17,커브스거여클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210204_67%2F1612427208049GWq37_PNG%2F3.png,,37.4932343921124,127.145182400016,02-407-3330,"서울특별시 송파구 오금로 507, 거여빌딩 5층 501호 (거여동)"
18,네추럴 홍 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211026_124%2F1635213889448548eD_JPEG%2F4zqJa3hN3yf1IAcSNING_Y8O.jpg,,37.4989585365381,127.144698156308,408-3337,서울특별시 송파구 마천로 250 (거여동)
