id,name,img,grade,lat,lng,phoneNumber,address
0,박영길 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210518_23%2F16213455884393CDBY_JPEG%2FAmtRa33yN8W3yvPiJ91Zw0_1.jpg,,37.5727576082323,127.010847233509,02-763-4902,"서울특별시 종로구 창신길 24, 2층 (창신동)"
1,보령헬스피아,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190812_102%2F1565589121658G7uHw_JPEG%2F88zDwA3jNq5VnQIA-FXSZTKK.jpg,,37.5745106144721,126.997984208392,02-740-4211,서울특별시 종로구 창경궁로 136 (원남동)
2,슈퍼스타,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210426_222%2F1619440256396Rm91f_JPEG%2F5Sj-D1mD9GrlbSpzKRgJam-9.jpg,4.57,37.5839815923013,127.002064503637,02-762-1253,"서울특별시 종로구 대학로 144, 3층 (혜화동)"
3,제일메가스포,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190404_6%2F1554372562211PSUfd_PNG%2FCHi-75G27wE5cDBFrR_AcahF.PNG.png,4.4,37.5756642567309,127.001415728576,744-3373,서울특별시 종로구 율곡로 202-7 (연건동)
4,바디스테이션종로점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211123_44%2F1637659852005ylPPK_JPEG%2FKakaoTalk_20211123_182056024.jpg,4.93,37.5688363061533,126.98510847461,02-737-7797,"서울특별시 종로구 청계천로 67, 지하2층 (관철동, 종로1번가빌딩)"
5,제이휘트니스,,4.75,37.5740345051674,127.02280794747,02-2250-7141,"서울특별시 종로구 난계로 251, 지하1층 (숭인동)"
6,M2 GYM,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150811_179%2F1439268378024W8nBU_JPEG%2F166757566920413_0.jpeg,,37.6085378317035,126.975028906668,02-391-3335,서울특별시 종로구 평창24길 12 (평창동)
7,바디팩토리,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190604_86%2F15596392908388hcCK_JPEG%2F-wu_oHiIB-8Ou4L9MpM8lfMn.jpg,4.84,37.5862486868243,127.000750195556,,서울특별시 종로구 혜화로 4 (혜화동)
8,스페이스본 휘트니스센터,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220708_15%2F1657261879893qOpDW_JPEG%2F1657261600314.jpg,4.23,37.5746716527447,126.968429762772,,"서울특별시 종로구 사직로8길 4, 301동 지하2층 (사직동, 광화문풍림스페이스본)"
9,100일 PT 샵,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160305_136%2F14571793342792xnpw_JPEG%2F176255613231196_0.jpeg,,37.5746716527447,126.968429762772,070-7534-9682,"서울특별시 종로구 사직로8길 4, 301동 B108호 (사직동, 광화문풍림스페이스본)"
