,영업상태,사업장명,도로명주소,전화번호,좌표정보(X),좌표정보(Y)
0,영업중,유코치의 바디스토리PT,"서울특별시 중랑구 면목로 220, 6층 (면목동)",494-1031,207360.333893718,452255.50528181
1,영업중,아모르 PT,"서울특별시 중랑구 용마산로 296-2, 4층 (면목동)",02-2209-3022,208029.58355705     ,452946.36418108     
2,영업중,럭키 헬스,"서울특별시 중랑구 중랑역로 51, 5층 (중화동)",432-5111,206723.262017513    ,455124.809250397    
3,영업중,이코리아스포츠,"서울특별시 중랑구 망우로 454, 3층 (망우동)",435-1113,209006.848797065    ,455300.541065532    
4,영업중,세방헬스클럽,"서울특별시 중랑구 면목로37길 17, 세방사우나 4층 (면목동)",435-5346,207464.387434306    ,452980.036913527    
5,영업중,비바 휘트니스,"서울특별시 중랑구 용마산로 494, 4층 (망우동)",435-8293-4,208781.999418607    ,454740.62692431     
6,영업중,피트니스 에스 핏,"서울특별시 중랑구 신내로14길 13, 5층 (신내동)",,208415.618980935    ,455949.74466915     
7,영업중,오메가 쓰리 스포츠,"서울특별시 중랑구 봉화산로 117, 2,3,4층 (상봉동)",02-434-9633,207639.782742433    ,455657.077363733    
8,영업중,바디캠프,"서울특별시 중랑구 동일로 851, 3층 (묵동)",,206838.555392184    ,456013.563725937    
9,영업중,굿모닝 휘트니스,"서울특별시 중랑구 망우로 186, 2층 (상봉동)",491-6264,206419.071508713    ,454518.841846223    
10,영업중,카인드짐 휘트니스&스쿼시,"서울특별시 중랑구 용마산로115길 108, 이안빌딩 지하1층 (망우동)",433-2505,208242.880932415    ,455089.30701884     
11,영업중,뉴온리짐,"서울특별시 중랑구 동일로129길 35, 지하1층 (중화동, 태능에셈빌)",02-438-4433,206771.217305763    ,455221.989517331    
12,영업중,GOTO 면목,"서울특별시 중랑구 면목로39길 11, 카멜리아쇼핑센타 2층 (면목동)",433-9766,207553.170404939    ,453031.11581883     
13,영업중,휘트니스 놀이터,"서울특별시 중랑구 숙선옹주로 6-9, 101동 지하2층 (묵동, 묵동자이아파트1단지)",02-976-7788,206808.914669794    ,456949.35802282     
14,영업중,주식회사 고릴라멀티짐,"서울특별시 중랑구 망우로30길 3, 안산빌딩 2층 (상봉동)",491-0222,206526.002200022    ,454549.167447113    
15,영업중,커브스 신내클럽,"서울특별시 중랑구 신내로 71, 5층 (신내동)",,208329.316273878    ,455923.228873371    
16,영업중,스포웰짐,"서울특별시 중랑구 봉화산로 194, 신아타운 10층 (신내동)",,208295.099818379    ,456014.999180519    
17,영업중,투바디짐,"서울특별시 중랑구 봉우재로 73, 2,3층 201,202,302호 (상봉동)",495-2020,207115.787483256    ,454390.387864021    
18,영업중,신내헬스,"서울특별시 중랑구 신내로 127, 지하1층 (신내동, 신내9단지신내아파트)",,208294.257367707    ,456632.108607443    
19,영업중,사가정역점 스포애니 주)케이디스포츠,"서울특별시 중랑구 면목로44길 28, 지하1층 (면목동, 아람플러스리빙)",493-1881,207870.869743101    ,453178.839844934    
20,영업중,올리브짐,"서울특별시 중랑구 겸재로49길 18, 신세대프라자 지하1층 (면목동)",491-6151,207922.002484799    ,454178.824228606    
21,영업중,운동창고 PT GYM,"서울특별시 중랑구 망우로 422, 원동빌딩 4층 (망우동)",493-5060,208671.745138066    ,455220.732205178    
22,영업중,(주)우원지에스(데시앙포레휘트니스),"서울특별시 중랑구 신내역로 165 (신내동, 신내우디안 2단지아파트 휘트니스센터)",3421-3577,209931.17283600000  ,457446.47960500000  
23,영업중,팀키스짐(TEAM KIS GYM),"서울특별시 중랑구 동일로 937, 4층 (묵동)",9758896,206685.947659288    ,456855.134478693    
