company_id,kind,tidy,various,wide,reasonable,pose,advice,parking,class,GX,care
1,17,14,12,7,12,9,8,4,6,2,
3,37,24,,,59,,,6,,,
5,86,75,42,17,55,71,59,11,67,,
7,64,62,46,35,31,39,37,8,32,9,
8,25,8,19,11,8,24,13,4,20,5,
11,21,14,9,9,9,,5,3,,1,
13,8,3,4,7,5,3,1,1,1,,
16,4,5,4,1,,1,1,,,,
17,22,10,14,5,10,10,11,2,5,2,
19,41,2,6,,29,37,42,,17,4,
23,19,19,8,3,11,11,8,,5,1,
26,41,34,11,6,2,48,21,6,38,,
29,19,8,11,3,12,14,11,,6,5,
34,83,88,78,30,18,76,56,,52,9,
35,117,111,62,21,66,48,87,,28,8,
36,48,49,45,15,26,32,21,,20,5,
37,7,6,5,1,6,8,7,,7,1,
38,57,61,9,3,6,62,19,,52,,
40,41,2,6,,29,37,42,,17,4,
41,31,26,21,11,8,27,21,5,25,1,
