company_id,review0,review1,review2,review3,review4,review5,review6,review7,review8,review9
0,"코치님한테 수업 듣고 있어요. 다른 헬스장에서는 고중량으로 무게치면서 운동해서 관절이나 근육 다친 적이 많아 또 다칠까봐 겁이 많은 편인데 코치님은 저중량으로 차근차근 가르쳐주시니까 다칠 걱정도 없고 제 체형에 맞게, 제 체형에서 더 이쁜 몸 가꿀 수 있는 방법 으로 운동 가르쳐줘서 너무 좋은거 같아요!💪 피티수업만 하고 혼자 개인운동 가면 낯설고 쌤이랑 수업한거 까먹고 엉뚱하게 운동할 때도 있는데 그럴 때 쌤 시간되시면 운동 봐주시면서 혼자 운동하는 법?도 알려주시니까 피티하는 동안만 하는 웨이트가 아니라 계속해서 지 속가능한 운동을 배울 수 있어서 만족합니다🥰",시설이 깨끗하고 운동복이나 수건도 잘 구비되어 있어서 좋아요 피티 수업이 체계적인게 느껴지고 포기하려고 할때 쌤이 옆에서 파이팅있게 가르쳐주셔서 더 열심히 하게되네요 만족스러워요,여기 넘 좋네여.. 체성분 검사하구 코치님께 상담했는데.. 역쉬 구관이 명관.. 제가 헬스장 여러군대 다녔는데.. 경력많은 코치님 역쉬다르네여..상당히 젠틀하신분 같아여.. 👍🏻,소문듣고왔어요! 유코치님이 직접 체성분검사 후 상담해주시고 기본지도 해주셨는데 넘 재미있게 배워가고 있습니다. 조금이라도 더 가르쳐 주실려고 하는 모습에 감동! 😘😘😘,"다리랑 무릎이 안 좋아서 어떤 운동을 해도 휴식기간이 필요했는데 선생님이 한명한명 체형에 맞게 개별적으로 동작 안내해주시고, 불편한 부분이 있으면 다른 자세로 운동 효과를 볼 수 있게 해주셔서 현재 너무 만족하며 다니고 있습니다😊 근육량도 늘고 운동하는 법도 많이 배우고 날로 건강해지는 게 느껴져요! 늘 콤플렉스 였던 부분도 확실히 짚어주시고 교정 도와주셔서 눈에띄게 나날이 달라지고 있음을 느끼고 저처럼 운동 시작할까말까 고민하는 분들께 적극 추천합니다!👍👍",허리에 무리가 자주 오는 직업을 가진 터라 늘 그게 고질병이였는데 여기 다니고 나서부턴 선생님들께서 너무 잘 지도해주신 덕분에 확실히 전보다 몸이 가벼워짐을 느낍니다~3~ 확실히 운동하고 나면 잘못된 자세와 생활습관으로 틀어진 몸이 많이 고쳐지고 체력도 많이 올라와요. 굉장히 세세하고 다양하게 배울 수 있어서 만족도가 높고 짧은 시간 안에 확실한 효과를 만들어내는 능력이 있으신 것 같아서 넘 만족스럽습니다 ^^!,단기간에 다이어트 하고싶은데 솔직히 제 역량으로는 터무니없이 부족해서 찾아보던 중 지인이 여기 괜찮다고 해서 상담받으러 방문했다가 너무나 친절하고 꼼꼼하셔서 바로 등록했어요 :) 몸이 둔해서 헬스장 가도 모든 동작이 어렵고 기구사용도 영 힘들고 그랬는데 여기서는 확실히 기초부터 탄탄하게 잘 잡아주시니 저같은 초보도 쉽게 따라할 수 있어서 너무 만족스러워요 :) 말뿐이 아닌 자세교정부터 운동법까지 하나하나 자세하게 알려주시니 점점 몸이 탄탄해짐을 느낍니다 !!,피티 처음 받아보는데 힘들긴 해도 운동하고 나면 너무 뿌듯하네요 하체비만이라서 하체 위주로만 운동하면되나 했는데 몸균형을 맞춰서 계획을 짜주시더라구요 운동 많이 배우고 있습니다!,그룹으로 하는 수업은 들어봤어도 개인 피티는 처음인데 자세 끝까지 봐주시고 제 몸상태에 맞춰서 운동 계획 짜주시는 것 같아서 만족스러웠어요 변화되는 모습이 보이는 것 같아여,차분하고 체계적으로 알려주세요
1,"원래 다니던 헬스장이 있어 작년부터 꾸준히 일일입장으로 이용하고있습니다. 처음 왔을때부터 친절히 설명해주시고 항상 변함없이 대해주셔서 오는동안 늘 기분 좋게 운동하고 가네요! 프리웨이트존, 머신, 유산소존이 구분이 잘 되어있어 이용하기 편리하고 샤워실, 탈의실도 잘 되어있습니다! 앞으로도 계속 이용할 것 같아요 럭키헬스 흥하세요!",유산소도 다양하게 할 수 있어서 너무 만족했어요!,리모델링 했는지 넓직하고 중화2동에서 제일 좋은거 같아요!!,기구도 많고 시설도 깔끔해서 운동하기 너무 좋아요. 사장님도 친철하시고 너무 좋으세요,시설도 좋고 깔끔하고 너무 친절하세요^^,시설 엄청 깨끗하고 회원권도 엄청 저렴해서 좋았어요!!!-!,"유산소 자전거만 할 수 있는 곳이 따로 있고, 다른 곳에는 많이 없는 천국의 계단 !! 운동 기구 있어욥 ! 😋",관장님 쌤 너무 친절하고 잘 알려주세요. 너무 좋아서 피티도 40회하고 또 연장해서 다니고 있어요. 참 스승을 원하는 분은 여기로 오세요 너무 좋습니다.,관장님께서 너무 친절하시고 운동복도 비치되어있고!! 시설이 깔끔해서 운동하기에 너무 좋았습니다! 감사합니다 또 이용하겠습니다 ♡,관장님 친절하시고 시설짱입니다!
2,,,,,,,,,,
3,굿,좋아요,"찜질방 안되는 방도 많으면서 전화로문의할때 안내없음, 여탕은 탕 물도 안받아놓음 들어가기전에 안내도없음 최악다신안가요",굿,좋아요,좋아요,굿,좋아요,굿,굿
4,좋네요,시설이 짱 운동경치도짱이야요,,,,,,,,
5,오픈 하고부터 계속 재등록 하면서 다니고 있어요! 강사님도 오픈 때부터 그대로시고 수업도 체계적으로 더 잘 가르쳐주세요 센터 실장님과 매니저님도 친절하시고 주변 다른 센터들에 비해 시설 대비 가격도 저렴해서 앞으로도 쭉 재등록 예정입니다! 추천해요!!!,매장이 깨끗하고 쾌적해요~ 수업이 다양해서 좋고 쌤들이 자세를 잘 잡아주세요~^0^ 요가쌤.필라테스쌤.모두 만족!!👍 1년째 이용중인데 확실히 라인이 달라져요~~☺️,필라테스 기구.요가.유산소 운동까지 다양하게 운동할수 있어서 너무 좋아요. 예약제로 운동 시간을 미리 예약할 수 있어서 스케줄 관리도 편하고. 운동이 끝나면 기구 소독을 하고 이동하니 코로나인 시기에도 안심하고 운동할수 있네요.,"통합 프리미엄 센터라서 정말 편하게 이용하고 있어요~ 기구필라테스, 플라잉요가, 정통요가, 번지플라이, 유산소룸까지 진짜 모든 것을 한곳에서 이용할 수 있어서 좋아용~!! 저는 요즘 플라잉요가 배우고 있는데 너무 잘 알려주셔서 재밌고 효과만점이에요.",기구필라테스 수업도 체계적으로 잡아주셔서 근력이 생기는것 같아요. 매주 금요일에 요가수업도 하니 한주의 마무리가 즐겁네요~~,인테리어 보고 깜짝 놀랐어요~ 너무 고급스럽고 프라이빗하게 구성되어 있어서 운동하기 정말 좋더라구요!! 시설도 만족!! 쌤 친절함은 대만족!!,자세를 너무 잘 잡아 주셔서 운동 효과가 좋아요. 그리고 제가 허리에 통증이 심했는데 체형교정하면서 통증도 많이 완화되고 있습니다~~,"회원이 많아서 빈 곳만 쇽쇽 사진 찍었어요! 이사와서 운동 시작한 곳인데 상담도 잘 해주시고 가격도 합리적이에요. 플라잉요가 필라테스 매트요가 번지플라이등 여러 수업이 있어 골라듣는 재미가 있고, 폰으로 예약하는 방식이라 편리해요. 앞으로 이 동네에선 여기서 운동 쭉 다닐 것 같아요. 아! 유산소룸(런닝머신)도 있는데 수업이 없는 날에도 쓸 수 있어서 좋아요.",규모가 엄청 크고 쾌적해서 마음에 들었어요. 그리고 기구 필라테스 배우고 있는데 자세도 잘 봐주시고 항상 깨끗하게 관리되서 좋습니다.^^,두번째 재등록했어요. 강사분들도 개인강습처럼 하나하나 잡아주시고 나의 체형과 몸상태에 맞게 티칭해주세요. 운동후에 마시는 커피도 아주 맛있어요. 운동맛집 커피맛집입니다!
6,#운동시작 #인증,,,,,,,,,
7,,,,,,,,,,
8,결혼후 10일차 제대로 운동해보라는 남편의 권유에 알아보던중 친구가 고투 면목점을 장기간 다니고 있어 추천받아 이용하게 되었네요 처음 헬스장의 첫인상은어르신들께서 트레이닝된 자세로 너무 열정적이게 운동하는걸 보고 정말 자극을 받았어요! 벌써 10회 등록후 PT가 끝났네요 제대로 하려면 10회는 어림없는횟수예요 더끈어야 제대로 할수있죠! 헬스장에서 어떻게 한시간 있나 했던 저는 이제 웨이트는 바른자세와 습관의 중요성도 몸소 느낌 하루는하체 스쿼트로 지옥도 맛봤다지요~~^^ 운동은 꾸준히 해야 효과가 있고 하니 PT받으며 배운거 기록하고 꾸준히 운동하면서 온전히 내꺼로 만들어야겠어요 최윤정쌤과 함께한 pt는 정말 하길 잘한거같아요! 기구 종류도 다양하게 많고 GX룸등 다양해서 지루함없어요! 쌤 감사했어요!,"재등록 할 만큼 정말 맘에 드는 헬스장입니다. 레이나PT쌤은 체계적으로 가르쳐 주시고, 자세 교정에, 아픈곳까지 치료해 주시는 능력까지 있으세요. (신기할정도임ㅎㅎ) 제가 PT를 재등록 할 만큼, 지인을 소개해 줄 만큼, 좋은 헬스 장 입니다.","참 여러 헬스장을 다녀봤지만 지상층에 이만한 공간을 가진 곳은 찾기 힘들거에요. 요즘에야 지상층, 고층에 헬스장들 많다지만 지상층에서 이정도 공간을 통째로 쓰는 헬스장은 거의 없을겁니다👍 그리고 센터에 계신 선생님들 정말 모두 운동에 대한 열정도 요기 면목점에 대 한 자부심도 대단하신 분들이십니다🔥🔥 나유미쌤에게 운동 배운지도 3년은 넘어가고있는데 그 전에 혼자 아둥바둥 다치고 몸 상해가면서 했던것들 정~말 많이 바뀌었어요. 쌤 수업 강도 절대 쉽지 않아요ㅋㅋ 근데 왜 그런 과정이 필요한지 몸이 알아주게되는것 같아요. 왜 이 동작을 연습해야하는지, 왜 성급하게 다음진도로 나가면 안되는지 회차가 지날 수록 더 깊이 알아가게 됐습니다. 나유미쌤 수업은 정말 빌드업 최강코스에요👍👍",라운더솔더라... 어떤운동을 시작해도 항상 3개월쯤되면 부상이 따라오곤했는데... 면목점 유미쌤을 만나고나서는...체형교정후 다양한운동을 부상없이 몇년간 쭈욱~~ 즐겁게 운동을하고있네요^-^*,민영준 트레이너님께 PT 받은지 3개월 정도 됐습니다! 항상 꼼꼼히 자세 봐주시고 설명도 알아듣기 쉽게 해주셔서 개인운동 할때도 런닝머신만 타다가 집에 가는게 아니라 올바른 자세와 운동기구 사용법으로 운동할 수 있게 됐어요ㅎ 시설도 항상 깔끔히 관리돼있어서 쾌적하게 운동할 수 있어 좋습니다👍🏻,"최윤정 선생님에게 피티 받고 있는 중입니다^^ 운동을 오랫동안 쉬어서 몸이 많이 굳어있고 체력이 많이 떨어져있는 상태였는데, 수준에 맞게 친절하고 쉽게 자세를 잘 알려주셔서 편안하게 수업에 잘 따라갈 수 있었습니다~ 제 몸이 어떤 상태인지 객관적으로 잘 알려주 시고 어떻게 자세교정해야 할지 코치도 잘 해주셔서 참 좋아요~ 그리고 새로운 스트레칭, 근력운동이 나올때마다 밴드에 사진과 영상과 함께 유의해야할 점들도 메모로 남겨주셔서 개인운동할 때 도움이 많이 되고 있습니다~ 그동안 피티쌤 한 네명정도 거쳐갔었눈데 최윤 정쌤한테 받은 피티가 가장 만족도가 높은 것 같아요^^",일단...하..제 잘못이죠 잘알아보고 다녔어야했는데 가격에 비해 시설이 정말...2000년대 초반 시설수준으로 열악합니다. 네..사실 시설은 중요하지 않다고 생각합니다만 팀장분이신지 남자 트레이너분 정말 불친절하시네요 고객에 입장에서 늘 좋게 대하는데 가는말이 고와도 오는말이 퉁명스러운건 무슨 경우입니까... 살면서 이런 리뷰는 또 처음 남겨봅니다 너무 심각하다고 느껴서....그냥 빨리 회원권 남은 기간 하고 끝내겠습니다. 앞으로 고투라는 체인자체에 불신이 생긴것같네요 번창하세요,유미트레이너쌤께 열심히 받고있어요.허리통증때문에 시작했는데 자세가 너무좋아지고 통증이 없어져서 운동도 배워야 되는걸 느꼈어요. 수업이 빡씨긴한데 좋아지는걸 알아버려서 계속 같이 운동하고싶어요!!,"시설도 좋고, PT쌤도 좋으시고, 관리 직원도 친절 합니다.",운동하기에 시설도 깔끔하고 넓어서 좋아요! 선생님께서 자세도 잘 잡아주시고 체계적으로 스케줄 관리해주셔서 믿고 다니고 있습니다:) 나유미선생님 덕분에 몸이 건강해지고 있어여~!
9,센터가 넓고 좋아요 얼른 코로나가 줄어서 GX 수업이 늘어나길 바라요 :),조아요,굿,,,,,,,
