,Unnamed: 0,company_id,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close
0,0,1150285601,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,08:00,20:00,10:00,18:00
1,1,272888535,06:00,23:30,06:00,23:30,06:00,23:30,06:00,23:30,06:00,23:30,09:00,21:00,09:00,18:00
2,2,18788499,06:00,23:30,06:00,23:30,06:00,23:30,06:00,23:30,06:00,23:30,09:00,20:00,10:00,17:00
3,3,32085717,05:00,23:50,05:00,23:50,05:00,23:50,05:00,23:50,05:00,23:50,05:00,21:00,10:00,18:00
4,4,1530150594,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,08:00,17:00,09:00, 
5,5,21111585,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,20:00, , 
6,6,11691712,06:30,23:30,06:30,23:30,06:30,23:30,06:30,23:30,06:30,23:30,09:00,18:00, , 
7,7,37309187,06:00,01:00,06:00,01:00,06:00,01:00,06:00,01:00,06:00,01:00,06:00,21:00, , 
8,8,34346765,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,20:00,10:00,20:00
9,9,37638105,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,21:00,09:00,21:00
10,10,1061867273,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,10:00,21:00, , 
11,11,1213139053,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,08:00,19:00, , 
12,12,1806684520,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,09:00,21:00,09:00,21:00
13,13,1006755563,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,23:00,10:00,18:00
14,14,1693279616,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:00,19:00,09:00,19:00
15,15,34287354,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00
16,16,12032777,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,18:00,12:00,17:00
17,17,34287354,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00
18,18,34287354,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00
19,19,36105399,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,09:00,18:00, , 
20,20,36418609,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:30,19:00,09:30,18:00
21,21,405152522,06:30,22:00,06:30,22:00,06:30,22:00,06:30,22:00,06:30,22:00,09:00,17:00, , 
22,22,37233073,05:30,23:00,05:30,23:00,05:30,23:00,05:30,23:00,05:30,23:00,08:00,16:00, , 
23,23,37256941,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,10:00,18:00, , 
24,24,37704782,06:00,11:00,06:00,11:00,06:00,11:00,06:00,11:00,06:00,11:00,09:00,18:00, , 
25,25,37814798,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,00:00,24:00,00:00,24:00
26,26,38241100,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,18:00, , 
27,27,823249514,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00, , , , 
28,28,1278400640,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:00,19:00, , 
29,29,73553317,06:00,23:30,06:00,23:30,06:00,23:30,06:00,23:30,06:00,23:30,09:00,21:00,09:00,18:00
30,30,32489668,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,13:00, , 
31,31,1578353949,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,08:00,14:00, , 
32,32,1134766409,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:00,17:00, , 
33,33,1025976659,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00, , 
34,34,1463857548,19:00,21:00,19:00,21:00,19:00,21:00,19:00,21:00,19:00,21:00, , , , 
35,35,1346017056,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,10:00,18:00, , 
36,36,1499931973,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,18:00, , 
37,37,1025953476,07:00,22:30,07:00,22:30,07:00,22:30,07:00,22:30,07:00,22:30,07:00,22:30, , 
38,38,1470718226,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,18:00, , 
39,39,1697698006,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00, , , , 
40,40,19546029,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00, , , , 
41,41,1614859791,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00
42,42,1329429055, , , , , , , , , , , , , , 
43,43,1435552555,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,10:00,16:00, , 
44,44,1102389103,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00, , , , 
45,45,1305325861,06:30,23:00,06:30,23:00,06:30,23:00,06:30,23:00,06:30,23:00,10:00,18:00,10:00,18:00
46,46,1975088571,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,17:00, , 
47,47,1097785725,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,16:00, , 
48,48,1452177609,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,10:00,18:00, , 
49,49,1400389920,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,20:00,10:00,20:00
50,50,1042707383,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,17:00, , 
51,51,1160853922,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,10:00,16:00, , 
52,52,1096094842,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,23:00,10:00,18:00
53,53,32424100,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,18:00, , 
54,54,1740587644,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00
55,55,1964150912,06:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,21:00,09:00,21:00
56,56,1028637040,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,09:00,13:00, , 
57,57,1146239356,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,16:00, , 
58,58,1424393208,06:00,00:00,06:00,00:00,06:00,00:00,06:00,00:00,06:00,00:00, , , , 
59,59,1186665953,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,17:00, , 
60,60,35263279,07:00,22:30,07:00,22:30,07:00,22:30,07:00,22:30,07:00,22:30,10:00,16:30, , 
61,61,1317587781,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,12:00,20:00,12:00,20:00
62,62,1323084775,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,20:00, , 
63,63,1877534839,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,14:00,15:00,21:00
64,64,1075862761,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,10:00,20:00,10:00,20:00
65,65,1318520369,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,20:00,10:00,20:00
66,66,1540025450,07:00,24:00,07:00,24:00,07:00,24:00,07:00,24:00,07:00,24:00,07:00,24:00,07:00,24:00
67,67,34480326,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,17:00, , 
68,68,1141441284,07:00,24:00,07:00,24:00,07:00,24:00,07:00,24:00,07:00,24:00,10:00,18:00,10:00,18:00
69,69,1646071896,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,09:00,17:00, , 
