company_id,kind,tidy,various,wide,reasonable,pose,advice,parking,class,GX,care
0,,,,,,,,,,,
1,,,,,,,,,,,
2,,,,,,,,,,,
3,48,48,36,19,13,34,32,8,24,5,
4,53,43,45,16,9,41,21,6,42,2,
5,130,99,79,65,33,96,82,10,85,22,
6,12,11,7,3,9,8,11,2,5,2,
7,,,,,,,,,,,
8,25,22,10,10,13,3,10,6,13,1,
9,4,1,1,4,7,,1,3,1,,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,23,17,20,6,5,9,15,12,4,3,
15,37,25,20,9,16,32,23,,28,2,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,130,109,49,24,57,57,67,6,49,8,
19,32,33,20,8,14,16,18,,15,1,
20,52,47,27,28,30,16,24,10,14,4,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,21,19,3,,4,24,17,1,24,,3
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,24,17,14,5,6,27,20,,18,,19
41,,7,,,1,,,2,3,,
42,,,,,,,,,,,
43,101,111,82,77,17,17,42,14,16,22,
44,14,11,1,1,1,17,13,,17,,16
45,,,,,,,,,,,
46,,,,,,,,,,,
47,13,14,3,,14,14,6,,10,,15
48,35,28,18,11,7,39,23,2,28,,22
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,12,6,4,,4,15,7,6,14,,12
54,,,,,,,,,,,
55,,,,,,,,,,,
56,10,8,4,,,13,5,,9,,11
57,,,,,,,,,,,
58,,,,,,,,,,,
59,,,,,,,,,,,
60,31,23,8,,2,36,15,2,26,,31
61,,,,,,,,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,223,219,172,113,88,102,156,15,95,27,
65,,,,,,,,,,,
66,6,6,1,,4,8,2,,8,,8
67,14,9,,,2,14,12,2,13,,12
68,25,29,17,7,24,10,17,3,6,9,
69,,,,,,,,,,,
70,,,,,,,,,,,
71,,,,,,,,,,,
72,20,11,6,,4,19,13,,23,,21
73,119,141,93,46,35,12,47,16,5,2,
74,,,,,,,,,,,
75,,,,,,,,,,,
76,10,13,12,3,7,8,7,4,9,,3
77,35,31,19,7,2,30,9,1,28,17,
78,,,,,,,,,,,
79,76,71,62,34,26,40,42,10,36,5,
80,,,,,,,,,,,
81,10,7,9,6,11,1,5,3,4,,
82,47,38,11,8,19,53,31,1,33,,41
83,,,,,,,,,,,
84,12,13,4,,1,12,10,1,11,,
85,,,,,,,,,,,
86,,,,,,,,,,,
87,8,7,1,1,1,6,6,,6,,6
88,,,,,,,,,,,
89,,,,,,,,,,,
90,,,,,,,,,,,
91,,,,,,,,,,,
92,,,,,,,,,,,
93,29,25,4,,1,31,25,1,23,,16
94,179,147,30,6,46,193,54,,172,,98
95,55,52,8,4,12,59,24,4,50,,50
96,44,37,16,3,12,47,32,4,26,,50
97,182,157,83,36,137,82,166,6,99,25,
98,3,2,1,,,3,3,10,4,,
99,17,12,2,10,2,14,6,,16,3,
100,60,75,59,21,36,49,46,,31,5,
101,7,10,4,,,9,1,,10,,10
102,,,,,,,,,,,
103,8,9,2,,2,8,6,,6,,8
104,,,,,,,,,,,
105,,,,,,,,,,,
106,,,,,,,,,,,
107,,,,,,,,,,,
108,17,16,,,4,18,16,,18,1,
109,,,,,,,,,,,
