id,name,img,grade,lat,lng,phoneNumber,address
0,웰씨짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201109_117%2F16049164886477k4Ho_JPEG%2FVQgjwLMNqPaMSc5QzYAK5w1N.jpg,,37.497123064279656,127.04855051406336,02-566-6301,서울특별시 강남구 선릉로63길 9 (역삼동)
1,TABFIT,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210721_48%2F1626843938799iewrH_JPEG%2FnNnsXfI0hWUU9A72qfUaQlZX.jpg,5,37.50249870755614,127.05453205703077,565-1259,"서울특별시 강남구 역삼로 458, 지하1층 (대치동, 영미빌딩)"
2,잭스 피트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200508_166%2F1588917361641dEFYW_JPEG%2FFKeaRrWbpwK8wa7_OWAdAYPJ.jpg,,37.50925964095157,127.03069062165576,518-8974,서울특별시 강남구 논현로116길 6 (논현동)
3,드림팩토리짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211116_294%2F1637023325060kKtRK_JPEG%2FKakaoTalk_20211104_215025277_02.jpg,,37.50243885882252,127.03296675054773,566-7095,"서울특별시 강남구 논현로 513 (역삼동,2층)"
4,헬스보이짐 선릉점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220510_195%2F1652135851512UacKU_JPEG%2FKakaoTalk_20220510_073706815.jpg,,37.5039650857982,127.04285551325094,562-4228,"서울특별시 강남구 테헤란로 317 (역삼동,지층)"
5,헬스보이짐 강남역점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220630_243%2F1656539618820AL4P5_JPEG%2F1.jpg,4.9,37.49655498023284,127.02674527292265,562-0161,"서울특별시 강남구 테헤란로2길 27, 지하1,2층 (역삼동)"
6,GOTO 논현,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191220_94%2F15768328937005dwls_JPEG%2FI9Pc7YFabClhHGrsYsr_9T3B.jpg,4.9,37.51170319326257,127.01860242392222,,"서울특별시 강남구 강남대로 556, 논현빌딩 지하1층 (논현동)"
7,U.N.D 퍼스널트레이닝,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211101_143%2F1635751652341t2GsR_JPEG%2Fc3-IOl9m71PgLUtkiA23Xa3q.jpeg.jpg,,37.524285325086566,127.04216003069149,02-518-5777,"서울특별시 강남구 도산대로 447 (청담동,(2층))"
8,피트니스 라운지 도곡점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220719_7%2F1658234773270OsKz5_JPEG%2F%2528dot_kim%2529_butfit_crop_-43.jpg,,37.488672579380484,127.04921217075393,,"서울특별시 강남구 언주로30길 21, B201-2호 (도곡동, 아카데미스위트)"
9,GOTO 수서,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191220_282%2F15768299831158syhO_JPEG%2Fy8PjoS9rXrSFLKIE3M8xrPpq.jpg,3.93,37.49269400602168,127.07273820828834,02-554-5041,"서울특별시 강남구 개포로 615 (개포동,석탑프라자 7층)"
