company_id,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close
0,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,07:00,22:00,09:00,19:00
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,06:30,22:00,06:30,22:00,06:30,22:00,06:30,22:00,06:30,22:00,10:00,16:00,,
4,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,10:00,19:00,10:00,19:00
5,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,19:00,10:00,19:00
6,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,20:00,10:00,20:00
7,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,08:00,18:00,00:00,24:00
8,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:00,18:00,,
9,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,19:00,10:00,19:00
10,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,16:00,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,06:00,23:00
13,,,,,,,,,,,,,10:30,22:00
14,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,09:00,21:00,09:00,21:00
15,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,10:00,19:00,10:00,19:00
16,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,08:00,19:00,10:00,18:00
17,,,,,,,,,,,,,,
18,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,10:00,18:00,10:00,18:00
19,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,08:00,20:00,,
20,06:00,23:30,06:00,23:30,06:00,23:30,06:00,23:30,06:00,23:30,10:00,18:00,10:00,18:00
21,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:00,18:00,,
22,09:00,24:00,09:00,24:00,09:00,24:00,09:00,24:00,09:00,24:00,10:00,20:00,,
23,,,,,,,,,,,,,,
24,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:00,18:00,09:00,18:00
25,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,11:00,19:00,,
26,,,,,,,,,,,,,10:00,새벽 02:00
27,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,16:00,,
28,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,10:00,15:00,,
29,08:00,22:30,08:00,22:30,08:00,22:30,08:00,22:30,08:00,22:30,,,10:00,17:30
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,17:00,,
33,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,,,,
34,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,09:00,18:00,,
35,,,,,,,,,,,,,,
36,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,,
37,07:30,22:30,07:30,22:30,07:30,22:30,07:30,22:30,07:30,22:30,10:00,15:00,,
38,11:00,20:00,11:00,20:00,,,,,,,,,,
39,,,,,,,,,,,,,,
40,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,,
41,13:00,24:00,13:00,24:00,13:00,24:00,13:00,24:00,13:00,24:00,08:00,24:00,08:00,24:00
42,,,,,,,,,,,,,,
43,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,20:00,,
44,,,,,,,,,,,,,10:00,22:00
45,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,12:00,18:00,,
46,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,13:00,17:00,,
47,,,,,,,,,,,,,07:00,23:00
48,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:00,17:00,,
49,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,20:10,,
50,,,,,,,,,,,,,,
51,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,,
52,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,23:00,10:00,18:00
53,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,,,,
