company_id,review0,review1,review2,review3,review4,review5,review6,review7,review8,review9
0,친구랑 가요,좋아요,,,,,,,,
1,서진휘쌤한테 1년 수업 받은 평범한 회사원입니다. 장시간 앉아서만 업무를 하다보니 어깨도 말리고 근육이 거의 없었는데 꾸준히 선생님 수업 따르다보니 어깨도 펴지고 전혀 없던 등근육도 생겼어요. 체력은 덤으로 좋아졌구요! 개인 체형에 맞게 수업해 주시고 자세히 친절히 수업해 주셔서 만족합니다. 센터 내 다른 선생님들도 인사도 잘해주시고 친절하십니다. 아 그리고 깨끗하게 관리되는 것 같아요!!,"Tabfit에서 서진휘 선생님에게 피티 받고있는 트레이너입니다 계신 선생님들이 모두 훌륭해서 현직 트레이너들도 피티를 많이 받고, 인사도 밝게 잘해주셔서 운동하러 오기 즐거운 곳입니다 진휘 선생님에게 피티를 받으면서 운동 뿐만 아니라 멘탈적인 부분도 많이 강화되고 식습관, 생활패턴 전부 개선해주시며 수업 이외에도 피드백을 많이 주십니다! 항상 감사드리며 적극 추천합니다","친절한 1차 상담 후 서진휘쌤께 피티받고 있습니다! 
혼자 운동하면서 삐뚤어지는 자세도 잘 봐주시고 통증없이 혼자서도 운동을 더더 잘할수 있게 욕심나게 만드는곳!! 😍 모든 쌤들이 매우 열정적이고 친절하셔서 갈때마다 으쌰으쌰합니다! 체고👍","두번째 등록 인증. 텝핏 정말 최고 입니다. 수업 퀄리티 시설 선생님들 인성 등등 뭐하나 빠짐 없이 완벽한 센터. 옥외 현수막에 ‘디테일의 차이’ 라고 써져있던 문구를 보고 반신반의 했으나 그 차이를 몸소 느껴 재등록 합니다. 운동에 많은 관심있으신 분들이나 처
음이라 두려우신 분들 주저말고 텝핏으로","서진휘 선생님께 일년 넘게 정말 만족하며 레슨 받고 있습니다. 제가 불균형이 있고 관절 통증이 있는데, 그런 부분 모두 고려해 주셔서 섬세하게 티칭해 주세요~ 원하는 니즈가 있어서 말씀 드리면 최대한 신경써서 레슨에 반영해 주시기도 하구요. 동작에 대한 설명도 디테일하게 해주시기 때문에 운동이 처음이신 분들부터 대회 준비하시는 분들까지 모두 만족하실거예요!! 저는 집에서 왕복 3시간이 넘는 거리지만, 진휘 선생님 수업 듣기 위해 즐겁게 다니고 있고 앞으로도 쭉 이어갈 생각입니다:)) 탭핏은 센터 자체가 열정적으로 운동하는 분위기라 센터에 가는 것만으로도 동기부여가 되요!! 추천합니다:)","제 인생의 터닝포인트가 된 곳입니다. 웨이트를 한지는 2년가량 됐었음에도 기능적으로 불편한 곳이 많았는데, 선생님께서 친절하게 하나하나 다 짚어주시면서 많은 부분들을 개선했습니다. 선생님들 다 좋으신건 기본이고, 가격도 합리적이구.. 센터 분위기나 시설도 당연히 좋습니다. 편도 1시간 10분 걸리는 거리임에도 꾸준히 찾아가게 되네요... 멀어서 갈 땐 피곤해도 뿌듯함에 차서 귀가하게 됩니다. 강추에용.","Tabfit 서진휘 코치님께 PT받고 있는 회사원입니다. 운동한답시고 여러군데 다녀봤지만 몸의 변화가 있는 곳은 여기밖에 없는 것 같아요ㅋㅋ체계적이고 항상 열심히 응원해주시는 코치님 덕분에 동기부여 제대로 받으면서 하고 있습니다😊그러다보니 이직해서 멀어져도 가게 되네요ㅋㅋ개인운동할때 몰랐던 부분 잘 안되었던 부분 기억해가서 코치님께 여쭤보면 피드백 대박!! 식단, 유산소, 웨이트, 자세교정까지 체계적으로 관리를 해주시다보니 믿고 다니는 인생 샾이 되어버렸습니다! 거북목 땜에 두통도 있었는데 코치님이 가르쳐주신 스트레칭하고 자세에도 신경쓰다보니 두통도 없어지면서 가벼운 몸이 되어버렸습니다ㅋㅋ다양한 운동을 할 수 있는 머신, 몸 좋으신 코치님들이 사방에 있으니 동기부여는 기본! 적극 추천드립니다👍","보겸쌤한테 피티 받고 있는데요, 첫 20회 이후 한 번 더 횟수 늘려서 다니고 있어요
식단도 너무 부담스럽지 않게 개개인에 맞춰서 잡아주시고, 무엇보다 동작 할때 어떤 근육 자극되는지 세세하게 알려주셔서 너무 좋아용! 또 갠운동할때도 매번 오셔서 자세 교정해주셔서 혼자 운동가도 걱정 없슴당🥹 
다른 쌤들도 항상 부지런하시고, 친절하시고 기구 셋팅 먼저 도와주십니다 추천해요!!","대한민국 최고의 헬스장ㅠ 진짜 탭핏 선생님들 친절하시고, 기구도 너무 좋아서 제가 운동을 잘 모르는데도 불구하고 다른 데를 가면 차이가 확 느껴져요
체력 좋아지는 것 뿐만 아니라 다이어트 효과도 있지만 무엇보다 정말로 건강하고 재미있게 운동할 수 있습니다! 헬스 선생님들도 많이 와서 배우시던데
초보자/입문자에게도 정말 좋은 곳입니다. 너무 좋아서 주변 사람들한테 엄청 추천하고 다녔어요. 저는 호중쌤-진휘쌤-보겸쌤께 수업 받아봤었는데 세 분 다 정말 좋으세요!","운동 경험도 전무하고 피티를 받아본적이없어서 시작하기전에 많이 걱정했었는데 선생님께서 초반에 무리가 가지않도록 차근차근 알려주시고, 제 운동 능력에 맞춰서 진행해주셔서 좋았습니다. 점진적으로 강도를 올려주시니 여자인 제가 부담스럽지않으면서도 성취감이 제대로
입니다👍 매 수업마다 꼼꼼하게 자세 체크 해주시면서 자극 부위까지 잘 설명해주시고 수업때마다 정말 많이 배워갑니다. 벌써 여러번 이휘재 선생님과 PT를 하면서 구부정했던 자세부터, 점점 좋아지는 제 몸을 보면서 앞으로도 열심히해야겠단 생각을 합니다. 위치와
 시설도 좋고 쾌적. 다양한 머신, 친절하고 멋진 쌤들까지👍 추천합니다"
2,시설좋아요,,,,,,,,,
3,"회사가 근처라 등록해봤는데 괜찮네요. 
6:30 오픈때 가면 지하에 프리웨이트존 사람이
없어서 혼자 쓰는것처럼 찍어봤어요 ㅋㅋ 2층도 찍으려했는데 다들 운동하시는데 도촬같아서 안찍었습니다. 직원분들도 항상 밝게 인사해주시고 시설좋아서 계속 다닐것같아요😄😄",출근전에 다니려구 등록했어요✌️ 헬스장이랑 필라 같이있어서 등록했는데 기구도 많구 시설 깔끔하구 선생님들 친절하셔서 좋아용 😍처음엔 커피사갔는데 커피머신 있더라구요!! 😋등록하는 날에 알려주셔서 매일 아아 만들어서 운동하러 올라가네요 ㅎㅎ 🥰❤️헬스장 지하랑 지상에 두개라 왔다갔다하면 좀 번거롭긴한데 넓어서 기구 안기다리구 운동할수있어서 좋아요!🙏,"회사가 끝나고 집근처까지 가서 운동을 하기엔 너무 지쳐 직장과 가까운 헬스장으로 등록했는데요 시설도 깔끔하고 친절해서 정말 좋아요~ 탈의실도 쾌적하고 넓구요~ 지하2층이랑 지상2층이 헬스장이라 기구사용할때 기다리지 않아도되어서 참 좋은거 같아요~ 그리고 
다이어트의 적이라는 커피 완전 좋아하는데 커피머신 있어서 운동전에 커피타마시는게 진짜 꿀맛입니다",최근에 굉장히 자주 사용하고 있는데 2층은 낮에 가면 햇빛이 들어와서 밖을 보면서 유산소운동을 할 때 안 지루하고 지하도 넓고 쾌적해서 편하게 렉을 사용할 수 있다는 게 정말 좋아요! 머신들도 엄청 다양해서 운동이 너무 재밌어요ㅎㅎ 제가 제일 좋아하는 기구 사진 첨부해보아용:)💕,요즘에 머신보다 프리웨이트에 재미붙인 헬린인데 2층은 머신위주 지하2층은 프리웨이트에 집중하기 좋아서 지하2층에서 거의 살다시피 하는 거 같아요ㅋㅋㅋ 덤벨 존 보고 눈 돌아갔습니다ㅎㅎ,예전에 다녔었는데 부상으로 안다니다가 다시 등록했어요 예전에 왔을때보다 지하에 기구가 더 많아져서 새로운 마음으로 운동중입니다^^ 시설관리도 잘해주시고 주기적으로 새로운 기구도 들어와서 다시 찾는것같아요. 앞으로도 꾸준히 다녀보겠습니다,기존에 운동하던 업체가 없어지면서 회사동료의 추천으로 그룹 필라테스 등록했어요. 현재까지 너무 만족하며 다니고 있어요😊,"요새 살이올라서 저녁마다 만족하면서 계속다니는곳이에용ㅋㅋ 처음갔을때도 친절하게상담해주시는게 인상깊었어요ㅎㅎ 기구도 최신식이구 넓고 깨끗해용
요번에 새로입고된 기구도 넘나좋네요😍","시설 진짜 좋아요~
저는 지상보다는 지하 웨이트존을 자주 가게 되는 것 같아요. 운동환경이 좋으니 빠지지않고 가게 되네요!!",필라테스 경험이 없어서 그룹수업과 일대일 강습 패키지로 등록했어요. 앞으로 열심히 해볼게요😊
4,"항상 파이팅 넘치시는 박병찬 트레이너쌤, 늘 퇴근 후 지친 몸 끌고가도 힘낼 수 있게 에너지 주시고 언제나 유쾌하게 수업 이끌어주셔서 정말 감사해요! 이전에도 헬스PT 여러번 도전해보았지만 열심히 해보려고 해도 자존감만 떨어지고 결과도 실망스러웠던 적 밖에 없
었는데 선생님은 그런 제 두려움이 다 사라질만큼 운동도 식단도 정말 꼼꼼히 체크해주시고 PT 시간 외에도 늘 최선을 다해 도움을 주세요. 또 평소에는 장난도 많이 쳐주시고 농담도 많이 하시다가도 제가 실력이나 건강에 대해 자조적인 농담을 하면 진지하게 누구나 
겪는 과정이고 나아지면 된다고 말씀해주셔서 주눅들지 않고 운동을 할 수 있게 됩니다. 좋은 선생님 만나 기쁘고 저만 열심히 하면 될 것 같아요ㅋㅋ 앞으로도 잘 부탁드립니다! :)","안녕하세요 김봉환 트레이너쌤에게 수업을 받는 회원입니다. 운동이랑 거리가 먼 사람이여서 대부분의 기구를 사용하는 법, 운동하는 법도 모르는 사람이였는데 쌤 덕분에 정확한 자세 운동하고, 하루하루 중량이 늘어가는 저를 보며 뿌듯함을 느끼고 있습니다. 이게 다 봉환쌤 덕분에 재미있게 운동할 수 있게 된 것 같아요🫶🏻 다들 헬스보이짐으로 달려가세요!!","시설도 좋고 트레이너 분들도 친절하셔서 갈때마다 기분이 좋아지는 헬스장이에요. 피티를 처음 김지환 트레이너 분께 받아보는데 꼼꼼하게 잘 알려주시고 식단관리도 해주시고,피티시간이 아니여도 잘 봐주세요. 피티받길잘했다는 생각이들어요.","직업특성상 구부정하게 앉아서 8-9 시간을 일하다보니 라운드숄더+하체부종+거북목 때문에 미루다 미루다 방문했습니다! 오랜만에 하는 운동이여서 잘 따라갈수있을까 걱정을 많이 했는데 유진쌤께서 동작 하나 하나 알아듣기 쉽게 가르쳐주시고, 제 몸 상태에 맞춰 체
계적으로 수업 진행 해주세요🙂 수업 시간 외에도 바른자세를 유지할수있도록 걷는습관, 서있을때 자세, 앉아있는 자세, 디테일하게 코칭 해주셔서 유진쌤 덕분에 몸이 점점 교정되고 몸이 가벼워진 기분이에요♥️ 그리고 다른곳에서도 1:1 필라테스를 해봤지만 유진쌤 
처럼 식단,유산소,홈트,스트레칭 등등 숙제 내주시고 밀착 관리 해주시는 선생님 처음이에요!!유진쌤 쵝오👍 불균형 그자체에 체지방이 덕지덕지 붙어있는 몸뚱아리 다듬어주셔서 감사합니당❣️",최홍정 트레이너쌤에게 두달 정도 피티와 식단 관리를 받으며 매주 몸의 숨은 근육을 하나씩 찾아가고 있어요ㅎㅎ 동작할때 사용하는 근육들을 자세하게 설명해주시고 잘못된 자세는 바로 캐치해 수정해주셔서 기구 사용과 동작 인지가 정말 빨리 늘었어요🙂 컨디션에 맞게 운동도 조절해주셔서 무리 없이 건강하게 몸이 좋아지는걸 느낄 수 있어요💗,"김지환 선생님하고 운동중인 회원입니다 항상친절하시고 열정적으로 지도해주시며, 제가 스케줄이 규칙적이지가 않은데 잘 배려해주어서 편하게 운동하고 있습니다 앞으로가 더 기대되네요! 시설도 깔끔하고 기구도 많아서 운동에 불편함이없습니다 추천합니다ㅎㅎ","헬스보이짐 생기기전부터 민교 쌤을 지켜봐온 회원입니다 몇년동안 혼자서 운동만 하다가 친구들과 바디프로필을 찍기로하고 용기내어 피티 등록했습니다! 항상 하다말다 반복된 운동러였는데 민교쌤의 코칭을 받으면서 많은 변화가 일어나는 중입니다! 운동방법, 루틴, 자세 잡
아주는 것은 당연히 어나더레벨로 알려주시고 쉬는 잠깐 동안 항상 열정 마인드에 대해서 말씀해주시는데 정말 동기부여가 많이 됩니다. 덕분에 이제는 육체뿐 아니라 정신적인 수련도 되는 것 같아 항상 감사함을 느낍니다. 어쩌면 민교쌤을 만난 것이 우연이 아닌 인연이라
고 생각이 들정도로 제 운동인생 최고의 선택이 아니였나라는 확신이 듭니다. 헬스보이짐 선릉점으로 모이셔서 꾸준한 습관 잡으시는 헬린이분들은 이 곳으로 주목해주시면 좋을듯합니다!!!🔥","✅ 상담때 제 체형을 바로 파악하고 관련해서 체계적으로 상담을 진행해줘 등록했어요. 혼자 운동하다 진전이 많이 없어 최홍정 트레이너분께 피티와 식단 관리 받기 시작하면서 체지방 쫙쫙 태웠어여🔥체계적인 운동과 식단관리 정확한 운동으로 부상 위험 XX 쌤 덕에 필
테 프로필듀 찍고 지금은 바프 도전중이에요💪🏻💪🏻 선릉 헬스장이 이정도로 넓고 깨끗한 것도 너무 좋아요💯💯💯","지금까지 웨이트만 하고 있었는데 우연히 필라테스를 접하고 저의 작은 근육들이 소리를 지르고 있어요🙄 자세 틀어짐과 근육 약한부위를 신예원 쌤이 의사쌤처럼 진찰 후 진행하는데 정말 필라테스로 땀을 그렇게 흘릴거라 상상도 못했어요!!! 전 운동할때 왜 그렇게 하는지 
자세한 설명을 좋아하는데 예원쌤이 딱 그렇더라구요. 예원 쌤의 자세한 티칭과 쉼없이 진행하는 운동량에 힘들지만 만족감을 느낍니다! 다들 필라테스의 그 이상하고 어이없는(?) 힘듦을 느껴봤으면 좋겠… 저도 하찮고 하찮은 작은 속근육들이 언젠간 존재감 뿜뿜하는 
그날까지🤗 P.S. 예원쌤 몸매가 엄청 예뻐서 운동중에 여자인데도 반합니다😏","병찬쌤과 바프 준비하면서 진짜 다양한 운동도 많이 알려주시고 자세도 꼼꼼히 다 봐주세요 .ᐟ .ᐟ
말 안듣는 저 이렇게 끌고 가주셔서 감사합니다.
매 수업때마다 부위별로 새로운 운동법도 많이 알려주시고 이제 바프 찍는 날 얼마 안남았는데 끝까지 더 박살내주세요오 .ᐟ 화이팅 👍"
5,"등록부터 친절하게 응대해주시고 오티 세번 체험 후 필테개인 수업 듣는데 재활쌤이라서 그런지 몸도 너무 개운하고 코어 힘도 단단하게 잡혓어요! 조만간 피티 오티도 받아보고 헬스 피티도 받을껀데 피티쌤도 실력 대단하시더라구요 
헬스보이짐 여러 지점 방문해봤는데 주차도 잘되어있고 시설도 제일 좋아요👍","헬스보이짐 강남역점 두번째 방문하는데, 필라ot를 받았습니다~~!!! 제가 거북목이 심해서 목이 많이 아팠는데 평소 자세 교정하는 법과 필라테스 운동으로 체형교정을 받았는데 한번 받고 다 나아졌다는건 거짓말이지만, 확실히 계속 꾸준히 받으면 무조건 좋아지겠구나 라는 확신이 들었고 필라테스 선생님께서 설명도 잘 해주셔서, 기분좋게 ot수업 받은것 같습니다 ㅎㅎㅎㅎㅎ 남은ot수업도 받구, 필라테스 pt 등록해서 꾸준히 받아볼 생각이에요💗💗",오늘 첫 상담을 받아봤는데 상담해주시는 분께서 친절하게 하나하나 알려주셔서 너무 감사했습니다 ㅜㅜ 헬스가 처음이어서 두려웠지만 오늘 상담후에는 운동을 열심히 하고싶은 마음이 생겼어여🔥🔥 강남역 최고 헬스장👍,필라테스 수업 듣고 있는데 선생님들 친절하시고 수업 재밋어요!! 시설깨끗하고 헬스장도 같이 이용할수있으니까 더 열심히 운동하게 되는 것같아요! 역이랑 가까우니까 운동도 잘 나오게 되네요😀,회사근처 운동할 곳 알아보다가 시설이 넓고 헬스랑 필라테스 관심이 있었는데 둘다 같이 할 수 있어서 바로 등록했습니다 선생님들 다들 친절하시고 운동도 잘 가르쳐주셔서 너무 만족 합니다! 기구도 다양해서 좋아요~~!!😄,코로나로 운동을 오래 쉬다보니 살이 너무 많이 찐 상태라 다시 운동을 시작하기 위해 강남역 근처 헬스장을 알아보아 헬스보이짐에 방문하게 되었습니다 ! 넓고 시설도 너무 좋은데다 상담까지 전문적이고 친절하게 해주시는 모습에 믿고 PT까지 등록하였습니다 👍👍,개인이랑 그룹 같이 할 수 있는 필라테스 알아보러 왔는데 친절하고 자세한 설명때문에 등록했어요. 만성적인 어깨랑 허리 통증때문에 여러군데 다 다녀보고 체험했는데 자세도 꼼꼼하게 봐주시고 체형분석도 전문적이라 개인레슨 하면서 요가랑 그룹필라테스도 같이 하기로 했네요 ㅎ 이번 여름에 몸도 고치면서 다이어트도 한 번 제대로 해보려구요. 늘 자세습관부터 고치는 거 알려주시고 밝게 맞이해주시는 우리 정현아 선생님 감사합니다!,"고관절 통증이있어서 골반교정 받고싶어서
필라테스 시작하게되었는데 
고관절 찝힘도 없어지고 골반이 많이 편해졌어요^^ 한나쌤덕분에 운동도 재밋어지고 체력강화도되어서 회사생활이 활기차졌어요!!",시설도 좋고 청결하고 만족스럽네요👍👍👍 운동하기에는 아주 적합한 헬스장인거같아요 ㅎㅎ 직원분들도 너무 친절하시고 운동도 잘 알려주세요 강남역 근처 최고 헬스장🔥,"강남에서 제일 시설이 넓고 쾌적합니다! 
헬스장이랑 필라테스 같이 있어서 둘다 이용 할 수 있는 점 너무 좋구요 선생님들 다들 친절하시고 필라테스는 현희쌤한테 개인레슨 배우고 있는데 자세를 꼼꼼히 잘 봐주셔서 너무 만족합니다~~~!!😊"
6,최근 PT 시작했는데 담당 트레이너신 김용희 팀장님 친절하시고 무엇보다 각 개인에 맞게 체계적으로 수업을 진행해 주셔서 운동을 시작하려는 분들께 강추해요~,굿 저렴하니 좋아요,지하철역 바로 앞이라 가까워서 너무 좋고 김용희 팀장님에게 피티를 받고 있는데 친절하고 꼼꼼하게 챙겨주셔서 너무 좋아요,아는 사람 간다고 하면 뜯어말리고 싶은 곳,#고투 #고투헬스 #고투논현점 #논현동 #헬스장 #논현역,한민규선생님 눈높이에 맞춰 친절하게 상담해주셔서 믿고 운동하고있습니다.,"김지영 트레이너쌤과 시작부터 지금까지 계속하고 있고 벌써 90회차완료에 총 1년 함께했습니다 ㅎㅎ 1년동안 친절하게 다 알려주시고 하셔서 요번 8월에 바디프로필까지 완료해서 내년에 또 한번 도전하려고 합니당 

김지영 PT쌤 최고에용👍🏻👍🏻♥️","지인 추천으로 내 생애 처음 PT를 받았는데, 제 몸 상태와 컨디션에 맞는 운동으로 무리하지 않게 진행해 주시고, 열정적으로 자세히 운동을 잘 가르쳐 주셔서 덕분에 체중도 줄고, 근육도 많이 생겼습니다. 김용희 PT 선생님 추천해요~","헬스장 처음 다니기 시작한 헬린이 입니다.
회사 근처라서 등록했는데 기구도 깔끔하고 시설도 좋아서 다니기 시작했는데 기구 사용을 잘 모르다보니 피티수업을 받아보고 싶어서 등록했습니다. 김지영 선생님 상담받고 시작했는데 조금 힘들지만 확실한 효과가 나타나고 있어서 만족합니다. 감사합니다!",전체적으로 깔끔하고 트레이너선생님들도 너무친절하세요~^^ 본인담당회원도아니닌데 인사도 너무잘해주시고 운동도 친절하게알려주셔서 열심히 운동중입니다~♡ 고투의 홍일점 김지영트레이너님 덕분에 하루하루건강해지고있어요:)
7,,,,,,,,,,
8,"4개월째 우아필라테스에서 6대1 필라테스랑 3대1 파워플레이트 다니고 있습니다. 쌤들도 다들 친절하시고 운동기구도 여러 종류 있어서 재미있게 운동할 수 있습니다. 수업시간이 다양하게 열려있어서 원하는 시간에 신청할 수 있어서 좋고 다대일 수업이지만 1대1
수업만큼이나 개인에 맞춰서 잘 지도해주십니다. 운동 시작하고 체력 유연성도 많이 좋아지고 자세교정에도 도움이 많이 되었습니다. 6대1 필라테스는 유연성과 근력을 늘리는데 도움이 많이 되고 기구도 두종류나 있고 매번 다른 동작을 가르쳐주셔서 지루하지 않게 배
울 수 있습니다. 3대1 파워플레이트는 원장님이 직접 가르쳐주시는 수업이고, 40분 수업이지만 2시간 넘게 운동한 것과 같은 운동효과를 줘서 도움이 많이 됩니다. 앞으로도 꾸준히 다닐 것 같아요😊",비기너프로그램 가입했는데 너무 좋습니다,"일요일 12시쯤 갔는데 카운터 남자분도 친절하시고
기구며 시설 등이 매우 만족스럽습니다. 제가 사는 청담동의 헬스장보다 더 쾌적하고 좋은거 같아요. 휴일에 자주 올 거 같네요. 득근하고 갑니다",필라테스에 대해 전혀 모르고 있었는데 재활 목적으로 운동하려고 몇일 전 체험 수업 후 등록했습니다! 친절하게 하나하나씩 봐주시는 모습에 세심함을 느끼며 앞으로 꾸준히 운동해보려고 합니다:-) 강추**,진짜 너무 힘들고 하기 싫다 싶어서 바로 등록했습니다 죽을거같은데 운동효과는 확실할 것 같아요,여기 24회 등록했어요~~~,"친절한 직윈
주차편리
시설 깔끔요",어제 체험하고 지금 다리가 아작나서 걷기 힘들어영......🫠,펑셔널 강사님이 정말 잘 가르쳐주세요,좋습니다
9,"사장님이 바뀌고 지금 할인 행사한다고 합니다 !
할인할때 시도하세요!",처음엔골프장도좋고 프로님도엄청잘가르치셨는데 코로나이후 요즘은 가격이싸고 금액에 비해괜찮아요,가격은 싸지만 딱 가격만큼입니다. 관리가 엉망입니다,"홈피에는 주1회 대청소한다는데, 런닝머신이랑 창가에는 먼지가 뽀얗게 쌓여있고 GX룸도 마찬가지, 자전거 페달 빠진지는 한달은 넘은것 같고...골프연습장 공배급기, 프로젝터는 안 고장난 게 없으면 서운하고...가격 싸게 하는건 알겠는데 관리좀 했으면 좋겠습니다...",굿,집에서 가까워서 등록합니다. 가격 저렴합니다. 운동기구 있을거 다있어용,친절해요,운동기구 종류가 많치는 않지만 집앞에 가깝게 갈수 있는곳이 여기밖에 없네요.. 3번째 재등록 하는건데 첫 오픈 이벤트로 등록했던 금액이 더 비쌌던걸로 기억합니다..,좋아요,"주로 오후에 있는 여기 남성 지점장이 안하무인에 너무 무례합니다. 독점이어서 그런가봅니다. 제게 처음 등록 가격도 잘못 제시하고 안내했음에도, 제대로 된 사과없이 고성과 함께 강압적인 태도로 제 사과와 추가납부를 강요하였고, 상임 분께 상담 및 도움 요청도 거부하며 제게 환불없는 회원권 박탈로 협박을 하였습니다. 전 잘못된 안내에 대한 보상 및 사과도 없이 협박적인 태도에 분개하여 이제 다른 곳에 다닙니다. 어떤 이유로든 이런 식의 고객 응대는 옳지 않다고 봅니다. 고투의 발전을 위해 고객응대 프로토콜 및 현장 운영진의 개편이 필요하다고 생각하기에 처음으로 이런 후기를 남깁니다."
