company_id,kind,tidy,various,wide,reasonable,pose,advice,parking,class,GX,care
0,,,,,,,,,,,
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,15,7,11,4,1,15,10,2,17,2,
5,,,,,,,,,,,
6,48,37,30,34,31,10,29,6,8,13,
7,8,6,7,6,4,5,2,5,4,5,
8,21,19,15,2,10,12,10,,12,,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,266,271,229,120,151,57,122,23,55,13,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,96,93,85,44,60,62,61,25,55,28,
17,63,71,57,30,25,31,29,6,34,8,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,33,36,18,4,9,41,21,1,33,,
22,,,,,,,,,,,
23,20,12,7,2,9,18,14,,9,3,
24,,,,,,,,,,,
25,17,4,,1,5,22,11,3,17,,20
26,74,44,45,39,8,73,58,3,51,10,
27,,,,,,,,,,,
28,29,9,6,1,43,43,9,,32,,34
29,64,24,19,20,16,48,35,,46,6,
30,72,66,27,19,5,89,25,1,76,,72
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,47,64,61,30,20,34,29,2,24,2,
39,,,,,,,,,,,
40,,,,,,,,,,,
41,,,,,,,,,,,
42,,,,,,,,,,,
43,125,107,83,28,43,75,47,,50,5,
44,504,445,404,258,291,165,235,45,153,53,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,37,14,3,,30,37,15,,25,,33
50,9,7,,,5,10,1,5,10,,7
51,,,,,,,,,,,
52,,,,,,,,,,,
53,52,57,27,,23,28,36,1,15,2,
54,,,,,,,,,,,
55,29,31,10,2,14,29,14,,22,1,
56,126,126,116,103,50,66,60,19,49,,47
57,382,341,324,98,222,227,268,23,229,29,
58,,,,,,,,,,,
59,12,9,3,2,8,7,4,,5,1,
60,30,36,20,4,6,23,13,,16,,
61,,,,,,,,,,,
62,40,28,8,2,12,42,10,,34,,13
63,,,,,,,,,,,
64,6,5,5,2,3,5,9,4,7,,9
65,,,,,,,,,,,
