id,name,img,grade,lat,lng,phoneNumber,address
0,나우휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211019_299%2F1634632821873UXA4z_JPEG%2FEMjFWVFj-7tJBwgjnSUVoOIz.jpg,,37.550623867021905,127.14140978140927,481-9679,서울특별시 강동구 양재대로 1626 (명일동)
1,스포힐 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210928_185%2F1632808249560nkFLP_JPEG%2Fe1Fg6nUARNYo0tcjz5IErZYF.jpg,4.78,37.54041920503921,127.1437685360871,02-470-3138,"서울특별시 강동구 명일로 243 (길동, 서울시산림조합빌딩)"
2,선린남여헬스클럽,,,37.528580953812906,127.13296398849043,487-6987,서울특별시 강동구 양재대로 1371 (성내동)
3,탑 헬스클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_150%2F1440997816482cYV5m_JPEG%2F106568517655521_0.jpg,,37.54271020356568,127.13863784059755,473-1119,서울특별시 강동구 양재대로 1535 (천호동)
4,고위드 피트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220516_114%2F1652679136615f12Fl_PNG%2F%25B0%25ED%25C0%25A7%25B5%25E5-%25B8%25ED%25C0%25CF2.png,,37.55385082764004,127.14101294173803,481-4864,서울특별시 강동구 양재대로 1661 (명일동)
5,피트니스 다움,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191202_25%2F1575241202329cRqyY_JPEG%2FbAst2JL4ukgPHcDPLpkmVfDD.jpg,,37.537256492360484,127.12382095633151,475-4131,"서울특별시 강동구 천호대로 1034 (성내동, 탑 메디칼센타)"
6,S휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220524_167%2F1653370069987GloGR_JPEG%2F%25C5%25A9%25B1%25E2%25BA%25AF%25C8%25AF%25C0%25CC%25B4%25EB%25C0%25C7b-a001.jpg,4.9,37.53138840685674,127.12749135851918,489-5566,"서울특별시 강동구 풍성로45길 18 (성내동, 중앙아파트)"
7,MY GYM,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220325_94%2F1648193069922weDQz_JPEG%2F20220130_144726.jpg,4.67,37.55459538858321,127.15119371414359,428-0061,"서울특별시 강동구 고덕로 256 (명일동, 명성프라자)"
8,썸바디 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200702_28%2F1593660167870x5HId_JPEG%2FKakaoTalk_20200702_122205459.jpg,4.87,37.54389502493582,127.13969865681618,482-0997,"서울특별시 강동구 양재대로 1550 (길동, 은호빌딩)"
9,와이키키휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160313_100%2F1457863712948g3sEX_JPEG%2F176263593852679_0.jpeg,,37.53529977213723,127.13655605346617,02-472-7677,서울특별시 강동구 양재대로 1450 (길동)
