company_id,review0,review1,review2,review3,review4,review5,review6,review7,review8,review9
0,"박효렬 쌤한테 pt 받고 복근이 보이기 시작했어요 
가격도 저렴한데 자세도 엄청 자세히 봐주시구 개인 시간 투자하면서 운동 알려주세요 개인 운동 할때도 거의 헬스장에 계셔서 물어보면서 하기도 좋았고 잘못된 자세도 그때그때 잡아주세요 ~~ 관장님도 엄청 재밌고 착하시구 이사만 안갔으면 피티 연장했을텐데 ㅠㅠ 꼭 받아보세요 now PT 최고임당 진짜 👍 서울에 이 가격에 이런 피티 받기 힘들어요.. 최고","관장님, 트레이너 쌤 모두 친절히 잘 지도해주세요! 명일동 터줏대감 헬스클럽이에요😊👍",조아요,친절함,,,,,,
1,굳,"서울시 강동구 길동의 스포힐휘트니스의 관장님 및 코치님 믿고 가보세요. 체중은 물론이거니와 체지방률 대박 잘 빠집니다. 타이트한 식단관리 및 근력,유산소 운동관리 프로그램으로 체계적으로 잘 알려 주십니다. 헬린이들도 꾸준하게 잘하게끔 신경 잘 써주는 정 있는 헬스
장입니다. 또한 운동기구 및 운동공간이 헬스 전용으로 저 뿐만 아니라 학생부터 어르신들까지 다른 회원님들도 이용하는 곳입니다. 다이어트,바디프로필 찍는 몸 만들기 혼자하기 어려우신가요? 스포힐과 함께라면 가능합니다. 단 최소한의 기간 및 저 뿐만 아니라 각자 회
원님들의 매일매일의 노력이 전제가 되어야 합니다. 직장인인 저도 스포힐에서 관장님 코칭에 따라서 다이어트뿐만 아니라 먼저하신 회원님들의 블로그 및 인스타그램에 있는 것처럼 바프 목표입니다.","여기 정말 저만 알고싶은 헬스장인데 바디프로필 버킷리스트 깨부순 기념으로 리뷰남깁니다~ 관장님이랑 코치님이 친절하시고 실력도 있으셔서 집 근처에도 헬스장이 많은데 굳이 무려 30분거리인 스포힐로 운동나가요!
무슨 수업이던지 선생님이 가장 중요하잖아요. 피티 강추합니다!! 가격, 수업퀄리티 빠지는게 없어요 (하.. 쌤들 더 바빠지셔도 제 피티는 꼭 해주셔야해요!!)","길동역이랑 멀지 않은 위치에 있어서 교통 편리하고, 무엇보다 센터 내부가 깔끔하고 기구 관리도 잘 되어 있어서 운동하기 좋아요 선생님들도 전부 몸 좋으시고 이론적인 설명도 잘해주셔서 신뢰가 갑니다! 혼자서도 할 수 있는 방법을 배워서 오래 운동할 생각이신 분들에게 특히 추천드립니다!",집에서 조금 거리가 있지만 그 동안 다녔던 센터와는 확연히 달라서 센터 오픈때부터 꾸준히 다니고 있는 곳이에요~ 시설도 깔끔하고 무엇보다 트레이너 쌤들이 친절하고 열정이 넘치셔서 주변 친구들에게도 마구마구 추천하고 있어요 ^^ 센터 분위기도 운동에 집중할 수 있어서 운동효과도 두배! 운동에 재미를 느끼고 있답니다~,"대표님과 직원분들 모두 친절하시고 기구와 실내가 깔끔해서 운동하기 좋아요! 체계적이고 꼼꼼하게 운동계획, 식단관리 해주신 덕분에 결혼전보다 더 살빼고 건강하게 운동하고 있습니다!",1년째 운동중이에요! 운동하기에 정말 쾌적하고 분위기도 좋아서 강추입니당!! 관장님과 트레이너샘 모두 실력도 좋도 성격도 너무 좋으세요 몸 만들고 싶다면 스포힐고고! 피티맛집 인정입니다요,헬스장 등록전에 일일권 끊고 한번 방문해봤는데 답답하지않게 탁 트여있고 기구도 다양하게 있네요! 시설도 깔끔하고 직원분들도 친절하십니다,피티맛집이라고 들어서 찾아왔고 바디프로필반 참여하고 있어요. 수업하면서 몸이 달라지는게 보이니 운동에 흥미가 생기네요. 감사합니다.,집근처라서 가볍게 왔는데 좋아요!! 쌤들두 항상 밝게 인사해주시구 모르는거 있으면 친절하게 알려주셔서 혼자와도 운동하기 아주 좋습니당:)
2,,,,,,,,,,
3,선생님이 탑입니다,좋음,,,,,,,,
4,공부하면서 목이랑 허리가 너무 아파 운동을 시작했어요. 이성연쌤께 피티도 꾸준히 받고 배운 운동들을 혼자 연습하면서 통증도 줄어들고 자세나 체형도 좋아졌어요ㅎㅎ 글고 피티 때 배운 운동을 쌤이 영상이나 사진으로 남겨 공유해주셔서 자세를 보며 연습하기도 수월했어요!! 피티 선생님들도 다 너무 친절하시고 최근 리모델링하면서 기구도 엄청 다양해지고 공간도 넓어져서 너무 만족스럽습니다!..,"성연쌤한테 작년부터 피티 꾸준히 받으면서 살도 많이 빠졌지만 무엇보다 자세나 체형 자체가 많이 좋아졌어요!! 항상 저한테 맞는 운동 프로그램 짜주시구 상담도 자세히 해주셔서 도움이 어엄청 많이 됐어요💪부족한 부분이나 좀 더 연습해야될 부분들 체크해주시구 영상이나 글로 기록 남겨주셔서 혼자 운동할때 참고하면서 하면 좋더라구요ㅎㅎ 운동의 'ㅇ'도 모르던 사람인데,,,,,쌤 덕분에 운동습관도 들이고 재미 붙이게 됐어용ദ്ദി ˉ͈̀꒳ˉ͈́ )✧ 
 그리구 원래 다니면서도 다 넘 친절하시구 시설이 쾌적하다고 생각했는데 최근에 리모델링 하면서 더 넓어지고 기구도 다양해져서 운동하기 더 좋아졌어요!! ☺️","PT를 몇년 해왔지만 지금처럼 운동이 힘들지만 재미난 적이 없었네요. 이성연샘!!! ^0^ 전문성이 확실히 다르세요!! 오롯이 내몸에 맞추어 프로그램을 짜주시고 꼭 영상으로 남겨 공유해주시니 끝나고 자세 운동부위 등을 확인할수 있어 다음번 운동에 정말 도
움이 됩니다. 운동을 나오지 못할때 조로코롬 운동내용을 짜주세용~~몸이 단시간에 변하는걸 직접 느낄수 있어 신기하고 힘들지만 확실한 동기부여가 되네요. 그리고 기구가 겁나 많아요 ㅎㅎㅎㅎㅎㅎ 다양하게 운동하니 지루할 틈도 없고 정말 운동되게 힘드네요 ^^;
;","다닌지 오래됐는데 리모델링하고나서 요 근방에서 시설 제일 좋아진 것 같아여ㅎㅎ 원래 다들 친절하셨고요... 피티 선생님도 전문적이라 저한테 맞는 운동법으로 수업 진행해주셔서 자세가 많이 좋아졌어요 🥹 혼자서 운동하는 법도 잘 알려주셔서 운동습관에도 많은 도움이 
됐답니다..","고위드피트니스 명일점 이성연트레이너에게 2년넘게 피티 받으면서 모든게 바뀌었습니다. 근육도 없고 무릎도 아프고 승모근하고 다 아팠고 몸이 삐뚤어진 느낌이였는데 보정이 많이 되었습니다. 근육하고 다이어트 뿐만 아니라 체형위주로 피티를 많이 해주셔서 오랫동안 
받게 되었고 확실히 운동을 바르게 하니까 들피곤 하고 의자에 앉거나 걷거나 할때 자세가 똑바로된 느낌이 확실하게 납니다. 앞으로도 꾸준히 피티를 받을예정이며 너무 만족스럽습니다. 성연선생님 화이팅.!","인포쌤들 피티쌤들 모두 친절하시고 심지어 운동하시는 분들도 모두 친절하세요! 그리고 가장 중요한 운동하기에 좋은 환경입니다! 근데 리모델링 하고나면 더 좋아진다는데 아주 두근두근 하군요,,,! 생기신 것과 다르게 친절하시고 운동도 재밌게 잘 알려주시는 송
마루쌤과 거즌 1년을 함께하며 제 인생 최고로 헬스장을 자주 가봤네요^^,,, 감사합니당🫡","고위드 피트니스 리모델링 하고 오픈날 처음 운동하면서 최순호 선생님께 PT수업을 받는 회원입니다. 현재 10회 중 3회째 받았는데 너무 만족스러워서 10회 재연장했습니다. 다른 곳의 PT 트레이너와 다르게 체계적으로 운동하는 방법을 알려주시고 운동할 
때마다 영상으로 남겨 주셔서 밴드에 올려주시고 혼자 운동하는 날에는 어느 부위를 운동해야 할지 루틴도 정해 주셔서 그에 맞게 운동할 수 있어서 좋았습니다. 다른데서 PT를 받아도 이렇게 하는 곳이 많지 않을거라 생각되는데 정확하고 체계적이고 꼼꼼하게 운동할 수
 있는 방법을 알려주셔서 완전 대만족입니다. 그리고 수업 알려주시는 선생님 뿐만 아니라 다른 선생님들도 친절하시고 또한 이번에 리모델링 하면서 최신 운동기구들이 많이 들어왔는데 너무 만족스럽습니다! 강추!!","🌟마루쌤🌟 다른 헬스장과 다르게 피티 받으면서 배운 자세 하나하나 아이패드로 찍어서 블로그에 올려주시는데, 혼자 운동할 때 동영상 보니까 자세도 더 교정되고 너무 좋아요..🤍 피티 배워도 운동 잘 안나가서 맨날 까먹는 저 같은 사람들한텐 최적입니다 혼자 운동 하면 원판 채우기 버거울 때가 많은데 그때마다 헬스장에 계신 다른쌤들도 도와주시고 다들 너무 친절하세요..이런 친절..나 울어.. 맨날 운동 안나온다고 잔소리 하고 닥달해주셔서 감사해요 쌤 저 안그랬으면 더 안나갔을거에요 ㅋ 이제 기구도 우당탕탕 다양하게 들어온다는데 벌써 가슴이 설레네요 주 5일 운동 해볼게요😖","이제는 하기싫어도 운동을 해야할 계절이 돌아왔군요 .. 그동안 돈써서 찌워논 제살을 , 돈내며 뺄 생각에 마음이 아프지만 그래두 항상 돼지라고 자극을 주며 응원해주는 마루쌤 덕분에 이번에두 연장했어요🥺 시설두 리모델링되면서 더 깔끔해지구 운동기구들도 좋아서 운동할 맛이 생기는고 같아용 ㅎㅎ 제 인생에 다신없을 멋진 바프도 생성한 곳이라 더 애착이 가는 피트니스네용 ㅎㅎ 결제는 했지만 아직 몸은 움직일 생각을 안해요🥲 그래도 이번여름 고위드에서 다시한번 겨울잠을 깨볼게용🤝 이번엔 20대 마지막 바프를 찍어보고자 다짐은 했으나.. 이루어진다면 다음 영수증 리뷰로 돌아올게용 번창하세요😆","이번에 리모델링 하고 새로운 머신도 많이 들어온다고 하셔서 완전 기대중입니다 ㅎㅎ
요새 운동 안해서 살쪘다고 놀리는 친절한 마루쌤한테 pt 받고 열심히 운동해서 이전에 바프 찍었을때 몸으로 다시 돌아가보겠습니다!! :)"
5,가성비 좋고 자유롭게 운동 하기 좋아요,네,네,네,,,,,,
6,스피닝이 있는 곳이 이곳 뿐이라 고민 없이 결정했어요. 여기가 좋은게 회원권 끊고 나면 운동기구 어떻게 사용하는지 하루에 5개 정도씩 20분 정도 설명듣는 프로그램이 무료로 있더라구요. 제대로된 헬스는 처음이라 운동기구 사용법을 모르는데 이렇게 알려주시니 잘 할 수 있을 것 같아요. 기구도 다양하고 공간도 꽤 넓습니다. 할인 조금 받아서 3달 회원권 끊었어용. 열심히 다녀야지!,"친절하고 깨끗합니다
찜질방도 있어 좋아요","매번 다니고 있는 곳인데 이번에 또 재등록 하게 되었습니다. 공간도 넓고 쾌적하며 주차자리도 많아 이용하기에 아주 만족스럽습니다
운동기구도 많고 모두들 친절 하십니다 
늘 번창하세요~",내부도 넓고 기구간 간격도 넓은편. 스트레칭 및 레이디 존도 있어서 주위 신경 쓰지 않고 편안하게! 맘껏 운동 할 수 있어서 좋아요 :),친절하게 설명 잘 해주셔서 여자 친구랑 함께 바로 결제했네요 시설도 좋고 깔끔하고 상담을 너무 잘해주셔서 합리적으로 결정 잘한거같습니다,오늘 동네형하고 상담하고 12개월 등록하고오는길입니다 상담해주시는게 정말친절하시고 생각보다 큰 크기에 놀랐네요 ! 이제 열씸히 운동하는 일만남았네요,넓어서 좋긴한데 깨끗하지 않아요..,굿,상담 너무 친절하시고 이해가 쉽도록 설명이 자세해요 시설도 깔끔하고 넓습니다.,시설이 넓고 깨끗해요. 렉이랑 머신들도 종류도 다양하고 관리가 잘 되어있어요. 직원분들도 친절하게 대해주세요!!!
7,"1년회원권 등록해서 다니고 있어요 일단 전창 유리창에 운동할맛 납니다 전층쓰고있어서 운동공간도 넓고 렉도 4개이상 있어서 겹치거나 기다릴 필요도 없고 헤머, 머신도 종류별로 다 있어요. 천국의계단이랑 런닝, 사이클 좋은걸로 다있어서 근력, 유산소 하기 다 만점임. 기구도 다 좋은걸로 바꿔놔서 새거라좋아요. 
헬스장분위기도 다들 점잖고 활력있어 좋아요 민선생님한테 PT받고있는데 여기PT선생님들수상경력도많으시고 수업 자세히친절하게해주셔서좋아요. 백점만점입니다","오랜만에 등록하러 갔더니 젊은 사장님으로바뀌었더라구요 사장님만 바뀐 게 아니라 기구들도 좋은 걸로 싹 바뀌고 시설이 점점 업그레이 되는 것 같아요 여기 최대 장점 중 하나는 고층에서 탁 트인 뷰💕 트레이너쌤들 다들 몸도 좋고 친절해서 누구한테 받을까 고민 많이하다
가 민쌤한테 피티등록했어요😆 운동에 진심인ㅋㅋ항상 열정적으로 가르쳐주셔서 감사합니당 우리 동네에 마이짐이 생겨서 너무 좋아요","원정운동 하기위해 마이짐 방문했을때 친절하게 상담해주셔서 감사했습니다. 창문이 넓어서 경치를 내려다 볼수 있고, 계단 유산소기구가 있어서 고강도 운동을 할 수 있어서 너무 좋았습니다. 또 실력 있으신 선생님들이 지도하시는 헬스장인거같아 바로 결제했습니다.기구 재입고 예정이라고 하셔서 앞으로 더욱 기대되는 헬스장인거 같습니다!! 감사합니다 ☺️",굿,"1일이용권 잘했어요ㅎ기구도 깔끔한 신식에, 머신들 자극이 만족스럽네요
스트레칭존 너무넓어서 짱",전단지보고 놀러갔는데 시설 좋아서 등록했네요 앞으로 잘 다녀보게요^♡^,전망이진짜 최고!!시설도 넘나조아여,엘레베이터 타기 힘든거 빼곤 좋아요ㅠ,잘이용합니다,"헬스장 뷰가 좋아서 답답한 느낌도 없고 쾌적하고 환기 잘돼서 좋아요 특히 고덕동근처 헬스장 다 다녀봤지만 여기 헬스장이 기구가 가장 좋고 운동하기 좋은곳 같아요 최근에 기구를 다 바꿨다고 하더라구요 트레이너분들이 운동 경력도 빵빵해서 잘 알려주고 너무 좋았어요 
고덕동헬스장에선 가장 좋은것 같음"
8,"운동할 때 자세를 어떤식으로 해야 부상이 없는지, 수업이 없는날도 운동루틴을 어떻게 해야하는지 가르쳐주셔서 단순 피티가 아닌 헬스하는 법을 내것으로 배우게 된것같아요.
첨에 헬스의 헬자도 모르는 초보였는데😂
지금은 너무 잘 다니고있어요","헬스 3달 + 피티 10회 + 20회 연장 + 헬스 3달 더 연장했어요 좋아요좋아요 피티 영업 없고 ,가깝고 기구 많아서 좋아요 지상이라 해질 때 오면 길동 뷰 맛집이에요 👏 매번 청소기돌리시고 닦고계시고 청소 엄청 열심히하셔서 깔끔하고 온수도 잘 나와요
 ㅎㅅㅎ 피티도 만족하고 피티쌤도 좋아요 ㅎㅎ 식단도 맛있게 짜주시고 운동도 개개인한테 잘 맞춰주셔요 사장님도 운동 잘 하고있는지 뭐가 중요한지도 지나가면서 확인해주시고, 친절하셔요 올해 목표는 헬린이 탈출 🏋️‍♀️","1. 얼마 없는 강동구 지상 헬스장 중 최고예요! 8층이라 뷰도 좋고, 환기도 잘돼서 운동환경이 지하에 있는 헬스장이랑은 비교불가입니당 2. 태어나서 처음으로 받은 PT라 걱정이 많았는데, 차근차근 알려주셔서 따라가기 쉬웠어요! 하찮은 질문에도 진심으로 답해
주셔서 좋았습니다. 돈이 1도 안아까웠어욤 3. 깨끗.. 말모.. 걍 깨끗.. 사장님이랑 직원분들 청소에 진심인 분들,, 4. 기구가 다양하고 좋아요! 그리고 매번 기구가 업데이트 돼서 신기해요 ㅇ_ㅇ 그리고 효율 미친 유산소 기구 천국의계단이 있어여,, 계단 처
돌이 됐습니당,,ㅎ 트레이너가 회원보다 많은 부담스러운 헬스장이 아니라 운동에 진심인 분들이 모여서 조용히 운동만 하는 곳이라 초보라도 눈치 안보면서 운동 할 수 있어요! 강추함당👍","처음 PT 20회 등록 후 운동하면서 수업도 추가하고 이용권도 연장 했어요! 생애 첫 PT 수업이었는데 기초적인 자세부터 제대로 잡아주시고 운동에 잘 적응 할 수 있게 가르쳐 주시고 매 수업 운동기록과 피드백을 정리해서 보내주시면서 혼자서 운동 목표를 세
워볼 수 있도록 도움도 주십니다 👍🏻👍🏻 그리고 센터가 왜인지 부담스럽지 않은 편안한(?) 분위기가 있어서 조용히 운동에 집중하시면서 다니고 싶으신분들이 오시면 좋을것 같아요! !! 시설관리도 깔끔하게 잘해주셔서 쾌적해서 기분좋게 운동할 수 있어요 : ) 회
원분들 운동에 집중하실 수 있게끔 관리해주시는것 같은게 느껴지는 센터입니다~~! 항상 감사합니다","별점 백만개 주고싶은 헬스장👍👍👍👍👍 10개월째 다니고 있는데 기구 관리 정말 잘 돼있고 항상 꼼꼼히 청소하셔서 시설도 깔끔해요! 기구도 계속 좋은걸로 교체하시려고 해서 시설이 계속 업그레이드되고 있어요 피티샘들 열정적이고 역량도 최고 수준이시라 수행능력 향상은 무조건 따라올 수밖에 없고 피티 안 받으셔도 왔다갔다 하시면서 회원들 자세 코칭 해주세요 운동 열심히 하시는 분들 많아서 자극도 되고 서로 배려하면서 기구 사용해서 좋아요! 그리고 뷰가 진짜 찐입니다,, 탁 트여있어서 갑갑하지 않고 시간가는 줄 모르고 운동할 수 있어요 ㅎㅎ 20대 내내 과체중으로 살았었는데 여기 다니고 다이어트는 물론이고 몸이 계속 발전하는게 보여서 행복해요😆 모자란 부분이 하나도 없어서 믿고 다닐 수 있는 헬스장입니당","여기서 꾸준히 피티 받다가 너무 만족해서 이제 리뷰 써봐요 회원권만 끊고 처음 아무것도 모르고 혼자 깔짝이는 저를 보고 쌤께서 오시더니 자세를 잡아 주시고 운동하는 법을 알려주셔서 정말 감사했어요 이 헬스장 장점은 초보들도 부담 없이 할 수 있는 머신이 정말 다
양해서 좋았어요 특히 힙운동 기구가 잘 되어있습니다 여기서 운동하고 몸이 정말 좋아졌어요 코로나 시국에 기구 청결에 예민한데 대표님이 진짜 하루 종일 청소하세요 이렇게 깔끔한 헬스장은 첨이에요..ㅋㅋㅋㅋ 여러 군데에서 피티 많이 받아봤지만 여기는 수업이 끝나면 
오늘 한 것들을 모두 정리해서 카톡으로 다시 한번 피드백 해주시고 수업 중간에도 모든 것을 기록해 주셔서 좋았습니다 그리고 뷰가 짱 유산소 할 맛 남 몸 멋지게 만들고 싶은 사람들 썸바디강추",독학으로만 운동을 하다가 처음 PT를 받게됐는데 트레이너쌤이 저의 몸상태에 맞게 올바른 운동을 지도해주시고 설명도 잘해주셔서 너무 좋았어요. 돈이 아깝지가 않았습니다. 무조건 강추!!,올려야지 올려야지 하면서 이제 리뷰 올리네요~ 다년간 여러 헬스장을 다니면서 항상 샤워실 포함 청결함을 가장 중요하게 보는데요 이 헬스장은 사장님이 직접 운영하셔서 그런지 매우 청결해서 좋았습니다 덤으로 기구 상태들도 관리가 잘 된편인거 같구요 추천합니다,"진짜 이동네에 여기만한 헬스장이 없어요. 동선 고민하고 운동기구도 이리저리 이동시켜주시고, 기구에도 신경 많이 쓰시는거 보이고 ㅎㅎ 이동네 떠나기 전까진 헬스장은 쭈욱 여기만 다닐거에요.",첨 운동시 운동프로세스 잘알려주심 더욱 좋을것같아요. 예전에는 운동 모모해라 알려주셧는데 샘에따라 다른가봐요
9,,,,,,,,,,
