company_id,kind,tidy,various,wide,reasonable,pose,advice,parking,class,GX,care
0,138,93,49,20,56,71,105,11,52,7,
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,53,22,39,7,27,52,30,1,44,2,
5,,,,,,,,,,,
6,62,29,37,8,36,71,53,1,57,,
7,,,,,,,,,,,
8,69,49,33,21,16,33,37,9,28,1,
9,6,10,,,2,,,2,,,
10,,,,,,,,,,,
11,375,412,340,363,191,63,196,97,43,39,
12,17,15,12,3,8,8,11,4,9,1,
13,20,16,10,4,18,7,6,1,1,4,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,98,68,39,21,17,86,75,3,78,11,
17,15,7,11,6,6,11,13,9,11,1,
18,21,19,,,6,,,2,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,64,61,74,58,39,19,48,,10,6,
22,28,28,4,,10,34,3,1,27,,18
23,10,8,7,5,4,3,1,2,1,1,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,53,26,13,1,28,44,42,,31,3,
27,25,20,18,10,10,11,14,3,13,14,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,125,103,126,75,68,91,38,7,59,6,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,8,5,2,,7,3,2,,2,2,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,31,15,11,6,7,35,20,,23,,15
40,60,61,29,16,27,32,40,9,17,11,
41,,,,,,,,,,,
42,,,,,,,,,,,
43,16,14,3,3,6,16,13,1,12,,7
44,18,17,9,6,14,15,10,,10,,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,122,78,77,18,27,129,12,,97,,78
49,,,,,,,,,,,
50,19,22,17,22,8,16,7,2,13,,
51,,,,,,,,,,,
52,6,5,,1,2,10,10,3,10,,8
53,,,,,,,,,,,
54,16,31,33,23,20,1,2,10,7,7,
55,50,45,27,21,1,41,32,4,32,7,
56,,,,,,,,,,,
57,28,23,4,2,5,32,18,2,27,,26
58,,,,,,,,,,,
