id,name,img,grade,lat,lng,phoneNumber,address
0,바운드짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200618_219%2F1592471829056yvugB_JPEG%2F-xbp9oHI2-S9-j2k8YodJlS-.jpg,,37.49623790437949,126.8885731737255,,"서울특별시 구로구 가마산로 280, 상가301,302호 (구로동, 구로2차순영웰라이빌)"
1,동양휘트니스,,,37.48509298693056,126.8829095815215,,"서울특별시 구로구 구로동로5길 2, 오봉빌딩 3, 4층 (가리봉동)"
2,DOB휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210524_244%2F1621848261105NFnEj_JPEG%2Fcx04levrzU8WtbNwADHpLfEC.jpeg.jpg,,37.49244033876857,126.84049995523058,02-2615-1402,"서울특별시 구로구 오류로8길 57, 6층 (오류동, 대성빌딩)"
3,아이캔짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190809_77%2F1565345338997M652p_JPEG%2FK406r5HALNYjKdbnVmIRkcpW.jpg,,37.492079213056535,126.8527878937817,684-7581,서울특별시 구로구 개봉로 71 (개봉동)
4,리얼바디짐 오류점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181214_240%2F15447486971256cDAv_PNG%2FCPsxSH_uhH5TyFcS1fwQ00Zx.png,4.3,37.49442452818817,126.83818261583072,,"서울특별시 구로구 경인로 176, 3층  301~304 및 306호 (오류동, 시티월드)"
5,워너비짐,,,37.50646093360307,126.84226470250498,,"서울특별시 구로구 고척로27길 107 (개봉동,3층)"
6,온리유휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220203_244%2F1643836110295picvh_JPEG%2F4.jpg,4.52,37.50188739357967,126.87878945731345,,"서울특별시 구로구 구로중앙로 174 (구로동, 구로역)"
7,클래스짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190214_17%2F1550121767585N09RS_JPEG%2Fa3wsIOfQ30aBo9a_4oCiReEE.jpg,,37.49353992858381,126.8529326608463,,서울특별시 구로구 개봉로19길 39 (개봉동)
8,오버탑휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220704_33%2F1656927495600Dz5xd_PNG%2F1.png,4.78,37.50334151445463,126.87820056232364,,"서울특별시 구로구 경인로 572, 스타팰리스 301~307호 (구로동)"
9,노블휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181211_55%2F15445052493308V4S4_JPEG%2Fq40GYb23DzqsnwZQ1RF9HYH5.JPG.jpg,4.1,37.48273483182122,126.89757731535562,855-6026,"서울특별시 구로구 시흥대로 551 (구로동,광희빌딩 B2)"
10,비나이더 구로점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220616_229%2F1655364222866Juk5C_PNG%2F220615_%25BA%25F1%25BA%25EA%25B6%25F3%25B4%25F5_%25B3%25D7%25C0%25CC%25B9%25F6%25BD%25BA%25B8%25B6%25C6%25AE%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA_%25BD%25E6%25B3%25D7%25C0%25CF_%25BA%25F1%25B3%25AA%25C0%25CC%25B4%25F5%25BF%25EB%25BA%25F1%25B3%25AA%25C0%25CC%25B4%25F5.png,,37.50101271351172,126.8867498080709,,"서울특별시 구로구 공원로 47, B1호 (구로동,두산베어스타워)"
11,IXU 웰니스 짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210125_247%2F1611548349322C0hXP_JPEG%2F3pyoLtZs_kIc1QtE-ti4WD4J.jpg,4.96,37.48604319409295,126.8956793388274,02-853-8753,"서울특별시 구로구 도림천로 446, 101동 B101호 (구로동,예성유토피아)"
12,로망 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220614_103%2F16551842019837qtCk_JPEG%2FKakaoTalk_20220614_142147344_09.jpg,,37.50761550261762,126.86022872626891,,"서울특별시 구로구 중앙로14길 31 (고척동,신성빌딩 5층)"
