company_id,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close
0,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,10:00,20:00,10:00,20:00
1,,,,,,,,,,,,,,
2,06:00,23:59,06:00,23:59,06:00,23:59,06:00,23:59,06:00,23:59,10:00,20:00,10:00,20:00
3,,,,,,,,,,,,,,
4,05:00,23:50,05:00,23:50,05:00,23:50,05:00,23:50,05:00,23:50,08:00,19:00,10:00,18:00
5,,,,,,,,,,,,,,
6,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,10:00,18:00,,
7,,,,,,,,,,,,,,
8,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,10:00,19:00,,
9,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,08:00,20:00,10:00,18:00
10,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,08:00,19:00,,
11,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,20:00,10:00,20:00
12,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,19:00,10:00,19:00
13,05:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,21:00,10:00,21:00
14,06:00,23:30,06:00,23:30,06:00,23:30,06:00,23:30,06:00,23:30,08:00,22:00,08:00,22:00
15,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,08:00,20:00,10:00,18:00
16,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00
17,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,09:00,18:00,,
18,,,,,,,,,,,,,05:30,22:00
19,,,,,,,,,,,,,,
20,08:30,23:00,08:30,23:00,08:30,23:00,08:30,23:00,08:30,23:00,09:00,15:00,,
21,06:00,23:30,06:00,23:30,06:00,23:30,06:00,23:30,06:00,23:30,09:00,18:00,09:00,18:00
22,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,10:00,17:00,,
23,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,08:00,20:00,,
24,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,,,,
25,06:00,23:59,06:00,23:59,06:00,23:59,06:00,23:59,06:00,23:59,10:00,20:00,12:00,18:00
26,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,09:00,18:00,,
27,,,,,,,,,,,,,00:00,24:00
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,06:00,23:50,06:00,23:50,06:00,23:50,06:00,23:50,06:00,23:50,08:00,20:00,,
31,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,10:00,22:00,,
32,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,11:00,15:00,,
33,,,,,,,,,,,,,,
34,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,10:00,18:00,,
35,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,10:00,17:00,,
36,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,10:00,18:00,,
37,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,08:00,12:00,,
38,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,10:00,18:00,,
39,,,,,,,,,,,,,,
40,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,10:00,18:00,,
41,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,
44,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,10:00,13:00,,
45,,,,,,,,,,,,,07:00,23:00
46,07:00,24:00,07:00,24:00,07:00,24:00,07:00,24:00,07:00,24:00,12:00,20:00,,
47,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,19:00,,
48,09:00,23:30,09:00,23:30,09:00,23:30,09:00,23:30,09:00,23:30,10:00,18:00,,
49,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,11:00,14:00,,
50,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,19:00,10:00,19:00
51,06:00,22:30,06:00,22:30,06:00,22:30,06:00,22:30,06:00,22:30,10:30,14:00,10:00,22:00
52,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,12:00,17:00,,
53,10:00,24:00,10:00,24:00,10:00,24:00,10:00,24:00,10:00,24:00,10:00,18:00,,
54,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,09:00,21:00,09:00,21:00
55,05:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,08:00,20:00,10:00,18:00
56,,,,,,,,,,,,,,
57,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,10:00,17:00,,
58,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,15:00,,
