company_id,review0,review1,review2,review3,review4,review5,review6,review7,review8,review9
0,"2번째 재등록인데 너무 잘이용하고있습니다 
원래 부천에 살다가 서울올린온지 별로 안되었는데 
지상층 헬스장 찾기가 어렵더라구요 ㅠㅠ 근데 바운드짐은 지상층이라 너무좋아요!! 센터 가입할때 해주는 체형체크,진단 해주셔서 너무좋았습니다 저는 정원상 팀장님한테 피티 등록했습니다💪💪 잘부탁드려요 쌤ㅋㅋㅋㅋ 이번여름을 위해 빠이팅입니다!!","영수증 리뷰 이벤트 좋습니다. 가격도 괜찮고~지상이라 코로나 걱정도 덜 되고 기구가 많더라구요~~ 무엇보다 상담을 친절하고 자세하게 해주셔서 등록 결정하게 됐어요.이것저것 물어보느라 귀찮으셨을텐데 웃으며 하나하나 설명해주시더라구요 ㅎㅎ 코로나로 오랜기간 운
동을 쉬었는데 이제 다시 시작해보려구요~!","오늘 또 재등록 했습니다 ㅎㅎ 운동을 꾸준히 한게 이번이 처음이에요 ㅋㅋㅋ 기부천사 였지만 이번엔 그래도 운동 꾸준히 하고 있어요~~!친절하게 상담해주셔서 감사합니다. 무엇보다 역시 PT하니 운동을 하게 되네요. 다들 운동 열심히 해서 여름을 즐기자구요. 아
자아자!!! 아자아자!!화이팅!!",원래 리뷰를 안남기는데 선생님들이랑 카운터 분들이 너무 좋으셔서 남겨요ㅎㅎ집 주변 이기도 하고 2주년 이벤트를 한다고 해서 방문했습니다ㅎㅎ계단부터 운동의욕이 뿜뿜 이더라구요ㅎㅎ대한예방운동협회 인증센터라 더욱 믿음을 가지고 센터에 들어갔는데 기구도 좋고 지상층 깨끗한것도 맘에 들었지만 무엇보다 선생님들이 너무 좋으셔서 맘에 더욱 들었어요ㅎㅎ다른 센터에 비해 인사도 너무 잘해주시고 궁금한거 있음 친절하게 알려주시고..너무 좋았던 기억밖에 없네요..집주위에 이런 좋은곳이 있었다니..평생 회원으로 등록하겠습니다ㅎㅎ잘부탁드립니다!!😁,"공간 자체가 일단 깔끔하고 쾌적해요. 그리고 직원 분들도 다들 친절하고 인사를 잘해주십니다. 특히 이동진쌤이 다양한 운동방법과 제 몸에 맞는 자세를 잘 알려주시고 식단까지 체크해주시고 조언을 많이 해주세요! 사람마다 몸이 다 다른데 제 몸에 맞는 운동과 자세를 꼼꼼히 체크해주시는 게 정말 좋았어요. 필라테스 다닐 때보다 저에 대해 더 알아가는 것 같아요. 종종 사기가 떨어지고 포기하고 싶을 때가 있는데, 노하우를 알려주시며 안심시켜주고 다시금 힘냐고 성취감을 느낄 수 있도록 해주십니당.",원준 선생님이랑 6개월 정도 피티 받았는데 근육량은 오르고 체지방량은 빠졌어요 그리고 체지방률도 많이 떨어져서 근손실 없이 건강하게 빼고 있어요!피티 받을 때 돈 날리는거 아닌가 이런 생각이 강하게 있었는데 막상 피티를 받으니까 그런 생각은 안 들고 잘 받았다 라는 생각만 남더라구요 :),"지수쌤이랑 함께 운동하니까 그동안 어떤 점이 문제였는지, 어느 부위가 약했었는지 하나씩 알아갈 수 있었어요! 막연한 운동이 아니라 목적이 있고 목표가 있으니까 훨씬 집중이 잘 되더라고요😆 매번 수업때마다 친절하시고 컨디션에 따라 필요한 운동과 적절한 강도로 진행해 주셔서 따라가는 데 무리가 없었어요!! 이번에도 지수쌤이랑 하는 피티 연장했는데 더 건강해질 것이라 확신합니다!!",짐에 다닌지 반년 좀 넘었는데 항상 깔끔하게 유지되어있어 좋아요~ 이동진 선생님과 피티 진행중인데 꼼꼼히 자세 체크받고 운동에대해 자세히 코칭받을수있어 너무 좋아요~! 추천추천🏋‍♂️,"다른곳에서 날린 시간과 돈이 너무 아깝습니다 진작 여기 올걸 그랬어요. 기구도 정말 좋습니다 저는 김성환 선생님께 수업받고 있는데요. 적극성만 있다면 정말 모든걸 알려주실분입니다. 통증있으면 즉각 자세교정. 눈높이교육. 밝은분위기조성. 친근감있는 말투. 거짓없
는태도. 식단체크. 다른선생님들도 정말 친절하시구요. 다른곳에서 교육할줄 모르는 가짜트레이너들한테 쓸데없이 시간과 금전 낭비하지마시고 다들 여기서 운동 제대로 배우셨으면 좋겠습니다.","김성환선생님과 수업을 계속 하기 위해 재등록했습니다~ 열심히 운동해서 건강하고 예쁜 몸이 될거예요!! (K어머니들 화이팅!!)
성환샘 사랑합니다🧡 감사합니다~🙇‍♀️🙇‍♀️🙇‍♀️"
1,다른데보다비싸요,,,,,,,,,
2,,,,,,,,,,
3,ㅇ,이동네 제일깔끔,직원이 별로 ㅠ,,,,,,,
4,"※고세라 트레이너님께 한달정도 PT받고있는데 너무 꼼꼼히 관리해주셔서 감동입니다😭 ※PT받을때마다 어디에 자극이 오는지 물어봐주시고 자극이 없다면 다시 자세를 꼼꼼히 봐주시고 틈틈히 칭찬도 해주시니 운동할맛이 납니다😆 또, 무리가지않도록 저의 최대치 무게
를 딱 알맞게잡고 운동하게 해주셔서 너무 좋아용 ※평소 승모근과 고관절이 안좋다고 말씀드리니 마사지도 해주시고 스트레칭 자세도 알려주셔서 꾸준히하니 정말 많이 좋아졌다는것을 몸소 체험하는중입니다😆(골치였던 고관절통증이 사라졌어요!ㅜㅜ) ※항상 그날 운동했던 기
록도 밴드에 올려주시고 식단도 잘못먹고있거나 부족한 부분이있다면 피드백 해주시면서 매일 관리해주시니 힘이 됩니다! 근육량은 늘고 체지방은 빠지고 있어서 넘모 행복합니당☺️ 고세라쌤 최고에요❤강추❤","정예진선생님한테 피티받고있는데 운동할 때 힘들지만 그만큼 너무 재밌어요 자극부위에 잘 들어가는지 제대로 알려주시고 자세 팁도 알려주셔서 운동할 때 도움이 많이 됩니다 피티받고 다음날 근육통 잘와요😁 식단도 먹지말아야 될 거 먹어도 되는 거 자세히 알려주십니다 
! 피티받을 때마다 동기부여 만땅으로 채워집니다☺️","📍운동 일단 태어나서 운동한 적 1도 없는 저질 체력인데 세라쌤께서 정말 기초부터 차근차근 알려주셨어요.신체와 체력을 충분히 상담하고 기초 체력부터 꼼꼼하게 쌓아갈 수 있어서 너무 좋았어요.🥹 📍식단 식단은 왜 이렇게 먹어야하는지 어떤 음식이 대처 가능한지 궁금
할 때마다 저세히 알려주셨어요! 📍운동체크 피티 할때만 관리해주시는게 아니라 개인운동에도 신경을 써주셔서 너무 좋아요🥹👏🏼👏🏼 카톡으로 개인운동 목록도 보내주시고 운동 체크도 해주셔서 진짜 최고 📍자세 교정&마사지 그저 운동만 하면 살뺄 수 있고 체력 기를 
수 있겠지 생각했는데 ㅋㅋㅋ저만의 착각이었죠... 운동하기전 자세 교정에 대한 상담과 마사지를 통해 운동을 했을때 최적의 효과를 낼 수 있도록 해주셨어요 세라쌤 최고👏🏼🥹","✔️정 정말정말 재밌고 하루하루 ✔️예 예상치 못한 결과가 눈에보이기시작한다! 다이어트뿐아니라 모든것을 ✔️진 진심으로 관리해주시는 예진쌤 짱 최고👍 1개월차 정예진쌤 피티 리뷰🤍 리얼바디짐 전에 다른곳에서 피티받았을때, 체지방은 잘 빠졌지만, 근육이 잘 안붙는 체
질이라고 하셨고, 6개월만에 요요가 와서 이번에 헬스장을 바꾸게되었고, 예진쌤을 만난지 한달째 놀라운 경험을 했어요! 절때 늘어나지않았던 근량이 예진쌤의 코칭과 식단 덕분에 한달만에1kg이나 늘었는데 체지방까지 함께 감량되어서 리뷰를 안쓸수가 없었습니다👍 
건강하게 운동하는느낌이 들고 정신도 맑아져서 예진쌤 덕분에 하루하루 너무 재밌게 운동하고있어요👍","정예진트레이너쌤한테 피티받은지 2달정도 됬습니당!! 헬린이였던 저는 근력향상을 목표로 정예진쌤의 상담을 받았고 믿고 바로 등록했습니다👏🏻👏🏻 기구사용법도 몰랐던 저는 예진쌤의 친절한 설명과 무게를 올릴때의 단호함과 카리스마넘치는 모습으로 저를 끌고가 주셔서 지
금은 조금은 무게를 느낄수 있는 레벨업 헬린이가 되었습니당ㅎㅎ👍🏻 식단도 짜주시고 중간중간 인바디 재면서 어떤부분을 보충해줘야 하는지 피드백을 주셔서 하루하루 건강해지고 있습니다😆😁 기구도 다양해서 부위별로 자극주면서 열심히 하고 있습니다ㅎㅎ피티 시작한걸 너무
너무 잘했다고 셀프칭찬중입니다!!굳굳","운동을 미루고 미루다, ""운동은 남는시간에 하는것이 아니라 시간을 내어 하는것""이라는 말에 마음먹고 리얼바디짐 오류점에 등록하게 되었습니다. 현재 고세라 선생님께 PT를 받으며 운동과 함께 생활습관, 식습관을 개선해나고 있습니다~ 근손실 없는 식단을 짜주시고
식단이 질려서 힘들어질때쯤 새로운 아이템을 추천해주셔서 식단유지에 탄력을 붙일 수 있었어요. 그리고 식단 재료 주문전에 선생님께서 성분표를 직접 검토해주셔서 식단에 많은 도움을 받고 있어요! 몸상태에 따라 수업을 진행해주시며 개인운동루틴을 짜주시고, 참고할 수
 있는 동영상을 보내주셔서 보다 수월하게 운동을 하고 있습니다! 또 최근 새로운 기구들이 많이 들어와서 즐겁게 운동을 하고 있어요~ 다가오는 여름 모두 리얼바디짐으로 오쎄요","직장인도 할 수 있다 ‼️헬린이도 쌉 가능이다‼️를 알려주신 예진쌤 감사합니다🫶🏻 몇 달간 야근, 불규칙한 식단으로 쓰레기가 된 몸을 더는 두고 볼 수 없어서 방도를 찾다가, 체계적인 상담에 이끌려 PT 끊었습니다. 헬스장에 발 한번 들여본적 없는 병아리인데,,🐥
예진쌤이 저의 체력과 목표에 맞게 식단과 운동 둘다 잘 코칭해주셔서 벌써 2주만에 건강 회복은 물론, 벌써 근력이 늘고 체지방이 줄면서 눈바디가 핏해지는 게 느껴지고 있어요!! 직업 특성상 재택근무와 근무 시간등이 유연한 편이라 걱정했는데, 시간도 맞춰서 조정해
주셔서 직장인 분들께도 강추입니다!! 2주만에 벌써 몸 느낌, 눈바디, 체내성분 변화가 느껴져서 넘 행볻합니다.. ㅠ 앞으로 변화가 더 기대가 되어서 연장하려고요!! 번창하세요☺","예진쌤 PT 강추 후기 🤍 예진쌤 만나고 몸의 변화가 정말*♾ 눈에 띄게 보이고 있어요! 두 달동안 체지방은 4.3kg 빠졌고, 근력은 1.3kg가 증가했습니다! 운동하면서 체지방은 빼고 근육 붙는게 어렵다고 많이 들었는데 예진쌤이랑 수업하면 정말 잘 
관리해주십니다 🏋️‍♀️ • 매일 아침 공복 몸무게 체크 • 매끼 식단 체크 (식단도 직접 짜주십니다!) • 네이버 밴드 운동 기록 수업시간 외에도 지속적으로 소통해주시면서 많이 신경써주세요! 저처럼 처음 pt 시도해보시는 분이나, 체지방•내장지방 많으신 분들 
예진쌤이랑 수업하시면 단기간에 효과 많이 보실거에요 ㅎㅎ 400자 제한으로 긴 후기는 메모 캡쳐로 대신합니다 😆😆 예진쌤 최고 👍👍🫶","고세라 트레이너님에게 운동 배우고 있는데, 진짜 너무 운동을 잘 가르쳐 주시고, 내가 이 운동할 때 자극이 안 오면 왜 안 오는지, 어떤 문제가 있는지 그리고 문제인 근육에 대한 스트레칭/마사지를 통해서 풀어주면서 타겟 근육에 자극을 제대로 오게 해주셔서 운동 
나오는게 너무 보람차고 몸이 가벼워 진 것 같아서 삶의 질이 높아져요😊 사실 PT가 끝이 아니라, PT 아닌날 혹은 이후에도 운동을 혼자서 할 수 있어야 하는데, 세라쌤이 운동기록도 잘 남겨주시고, 헷갈리거나 자극 잘 안오는 건 자세도 다시 봐주셔서 너무 
좋아요! 덕분에 거의 5월의 매일을 운동을 했던 것 같아요~! 이렇게 운동습관을 들이고 있어서 뿌듯합니다! 세라쌤 인기많아지면 안되지만,, 자랑은 해야겠어서.. 오늘도 리얼바디하세요!","고세라 트레이너 쌤한테 pt받고 있어요!!! 쌤 이 엄청 밝으시고 유쾌하셔서 힘든 운동도 즐겁게 하고있어요. 중간에 건강이 너무 안좋아지고 그 때 먹을 약의 부작용 때문에 살이 더 찌게돼서 많이 우울했는데 쌤 덕분에 점점 다시 돌아오고 있어요! 절대 무리한 운동 시
키지 않으시고 수시로 무리가 가지는 않는지 아프지는 않은지 체크해 주셔서 좋아요!"
5,👍👍👍,,,,,,,,,
6,코로나 전부터 온리유휘트니스를 다니고 있는 회원입니다 관장님께 리뷰 쓴다쓴다 말만하고 이제야 쓰네요...ㅎㅎ직장이 구로역 근처라 출퇴근길에 운동하면 좋겠다 싶어 온리유를 선택하였는데 지금까지도 열심히 다니고있습니다 관장님께서 늘 청소와 기구관리를 하셔서 그런지 시설대비 청결해서 너무 좋습니다 주변 헬스장도 좋고 화려했지만 몇년 안돼서 항상 헬스장 이름이 바뀌고 매년 사람이 바뀌더라구요...요즘같은 시국에 이해하는 하지만 소비자 입장에선 믿음이 가질 않았습니다 하지만 온리유는 코로나도 지혜롭게 이겨내시고 항상 기구도 새롭게 바꿔주시는게 회원입장에서 생각해주시는게 느껴지더라구요 헬스장 갈때마다 반갑게 인사하시고 밝은모습을 보면 저도 힘이 나서 즐겁게 운동하고있습니다 쓸말이아직도 많은데 더이상 쓸수 없는게아쉽네요,"코로나 초기부터 꾸준히 운동해온 사람으로서 이 곳은 근처 헬스장에 없는 기구들이 있습니다! 이번에는 horizontal leg press 기구가 들어왔네요! 이 기구를 하고 스쿼트를 하면 그날 대퇴사두는 완성입니다! 또한 다른곳처럼 유산소기구만 주
구장창 많은것이 아니라 머신, 랙들이 넘쳐납니다. 기다린적이 없어요👍","7월달부터 여름맞이 다이어트를 위해 PT등록을 했어요! 예전에 잠시다녔던 곳에서는 기구사용방법도 안알려주고, 맨몸운동중에서도 스쿼트나 런지같은 종류만 알려줘서 좀 아쉬움이 있었던 상태라 ㅠ 같은 상황이 될까 걱정이된 상태였는데 첫 수업을 듣고나니 걱정이 싸
악! 사라졌습니다 기구사용법 근육을사용하는방법 안전하게운동하는방법 등 엄청 자세하게 알려주시더라구요!! 덕분에 피티예약날이 아닌날에도 혼자 개인운동을 갈 수있을정도가 되었어요(헬린이로써 혼자운동할 수 있어서 매우 뿌듯ㅎㅎ) 다른 리뷰를 봤을때 다들 한번등록하면
 이 곳만 다니게된다고 하던데 저 또한 여기만다니게될거같네요 짱짱💪🏻 열심히해서 다이어트도 성공해보려구요 빠샷","우선 구로에 있는 헬스장을 몇몇 다녀보고 pt도다녀봤지만 구로 온리유헬스장이 가장 좋았습니다~ 위치도 구로역과 붙어있어 좋고, pt도 선생님이 수업전에 체계적으로 짜와주셔서 운동이 더 잘 되는 느낌입니다. 그리고 수업이 아니여도 친절하게 잘 알려주십니다. 가
격도 근처 헬스장에 보다 착하며 선생님이 친절하셔서 pt수업도 즐겁게 시간이 빨리 지나갑니다~! Pt하는 동안에 회원에게만 집중하시고 긍정적인 에너지를 주셔서 운동능력이 배로 나타납니다 아주 굿ㅎ 정말 좋으니 헬스장 찾으시면 여기 추천데스~ 구로역 근처 헬
스장 중 쵝오","한 번 등록하면 계속 재등록하게 되는 곳,,, 나만 알면 좋겠는데 더 유명해지면 좋겠는 곳,,, 온리유 말고 온리미 휘트니스가 될 순 없겠죠 아무래도... 여긴 더 알려질 필요가 있어요.. 쌤들도 다정하시고 센터 분위기도 차분해서 너무 좋아요! 저처럼 극 I인 사람도 우왕좌왕 기빨릴 일 없이 운동에만 집중할 수 있고, 선생님들이나 운동하시는 다른 회원님들도 그렇고 모두 친절하시고 분위기가 평화롭습니다🥺 가끔 개인운동 하고 있을 때 혼자 뚝딱거리면 언제부턴가 선생님과 함께 운동하고 있는 자신을 발견하게 되는데 그만큼 선생님들이 회원님들한테 신경을 많이 쓰시고, 스스로 운동할 수 있도록 먼저 다가와주시고 부담 1도 없이 잘 지도해주세요! 1년 째 여기 다니고 있는데 1년 내내 만족하면서 다니고 있습니당 💪","대략 1년정도 다니면서 느낀 장점들 1. 전문성 있고 친절하신 트레이너 선생님들 첫 등록 시 운동법이나 기구 사용법을 친절하게 알려주시고 그 후에도 운동 피드백과 새로운 기구가 들어 올 때마다 사용법을 꾸준히 알려 주십니다. 2. 다양한 기구 랙만 5대에 머신
도 싸이벡스, 해머스트렝스 같은 고급 머신들이 부위별로 다양하게 있습니다. 소도구들도 많이 있어서 다양한 운동을 하기 좋습니다. 3. 깔끔한 시설 운동공간과 락커룸, 샤워시설, 제공 되는 운동복과 수건까지 모두 매우 깔끔합니다. 4. 입지 조건 구로역 안에 있어서
 구로역을 자주 이용하는 저에게는 매우 편리했습니다. 덕분에 1년동안 즐겁게 운동하고 있고 앞으로도 계속 등록연장하면서 운동할 예정입니다.",구로역 근처에서 공부를 하다보니 운동할 장소가 필요했었었는데 마침 공부하는곳 바로 앞에 온리유휘트니스가 있어서 바로 상담하러 갔습니다. 일단 내부가 넓고 운동기구가 다양해 무척 마음에 들었습니다. 또한 상담도 아주 친절하고 자세히 설명해주어서 이곳에서 운동한다면 멋진 몸을 만들 수 있을거란 확신이 들었고 바로 등록하여 운동하기로 마음먹게되었습니다. 역 바로 안에 있기 때문에 교통도 좋고 시간이 부족한 수험생들이나 직장인분들도 자유롭게 운동할수 있는 곳이란 생각이듭니다. 만약 구로역 근처에서 헬스장을 알아보고 있는분이 계신다면 온리유휘트니스를 추천드리고 싶습니다!,"직장과 거리가 1분이내라서 퇴근하고 운동하기 아주 좋습니다. 무엇보다 제 담당 선생님이 인상 좋으시고 편안한 분위기속에서 친절하게 수업을 진행 해주시네요 저같은 헬린이들도 이해가 쉽게 근육 쓰는 원리 이론 자세등을 꼼꼼이 알려주세요. 헬스장도 넓고 퇴근시간때 
사람이 많이 붐비지 않아서 내가 하고싶은 운동 편안하게 할수있는 장점도 있고 가격도 합리적인거 같아요!",예전에 학창시절부터 몇달씩 운동했다가 관두길 6년정도 반복하고 이제 제대로 다시 운동하고 있는데 예전과 같이 친절하게 받아주시고 피티 신청을 안 했음에도 기구 설명이나 인바를 통한 운동방향 같은거를 자세하게 알려주셔서 정말 좋았습니다 ㅎㅎ,"벌써 몇번째 재등록하는데 피티 끝나고 운동을 안했더니 다시 살이 붙어서 돌아왔습니다 ㅠㅠ
피티 해주시는 세권쌤 전문적이고 친절하게 잘 알려주셔서 같이 운동하면 지금 제 근육 상태가 어떤지 진단하고 딱 맞게 알려주시는 느낌~~
그래서 뭔가 운동효과가 빠른시간에 나타나는것 같아요~ ㅋㅋ 쌤~ 번창하세요~~!!"
7,가성비 갑입니다,,,,,,,,,
8,"다음달에 여행이라 1달동안 빡새게 운동하려고 근처중에서 시설이 좋은 헬스장으로 상담받으러왔는데, 저 상담해주신 유한수 상담사 분께서 너무 친절하고 잘 설명해주셔서 바로등록했습니다^*^ 감사해요~",PT상담받으러 갔는데 금액만 알려주는게 아니고 몸이 어떤지봐주시고 저한테 맞게 계획을 잘 자주셔서 너무 마음에들어서 등록했어요~ 저한테 맞는 체형교정 PT쌤 배정해주셨는데.. 선생님 너무 잘만난것같아요 !! 시설도 좋고 에어컨도 빵빵하고 만족스러워요~ :),선생님이 친절하시고 꼼꼼히 가르쳐주십니다 인포데스크 김성윤 선생님 친절한 상담으로 수업 잘 받았습니다 6개월 헬스등록이벤트로 필라테스 수업받았는데 처음인데도 친절하게 잘가르쳐주셔서 즐겁게 수업 받았습니다,이 근처에 이렇게 좋은 시설 갖추고 체계적으로 지도해주시는 피트니스 없는 것 같아요!!! 제가 여러 곳 발품 팔아본 결과입니다! PT도 필라테스도 정말 세심하게 코치해주세요~ 김성윤CS님도 친절하게 상담해주셔서 편하고 쾌적하게 운동할 수 있습니다 정말 강추요😆❤,"오버탑휘트니스 슬기쌤 너무 좋아요 자세도 잘봐주고 스파르타식으로 해주셔서 힘들지만 운동은 너무 잘됩니다 식단도 잘 알려주고 완전 강추해요 그리고 넓고 시설도 너무 좋아서 사람 많아도 런닝 기다렸다가 타지 않는게 젤 좋아요! 슬기쌤 운동 잘 가르쳐주셔서 감사합니
다아!!","원래 눈여겨 보다가 오늘 드디어 등록하게 되었어요~ 구로구내에서 이렇게 좋은 시설을 찾기는 힘들꺼 같아요 가격도 저렴하고, 무엇보다 상담해주신 유한수팀장님이 너무 친절하게 설명해주시고 시설도 알려주셨어요!! 몸 건강하게 운동 해야겟어여","아침타임 선생님 너무 맘에 들어요.. 어디가시면 안되요~~ 시설도 깔끔하고, 상담직원(유한수cs담당)도 적극적이고 , 친절하고 ,개인별 맞춤 상담 잘 해주시니 꼭 다른 분들도 상담하고 이용해보시길.. 적극 추천이요~~^^",김성윤 직원님께서 꼼꼼하고 친절하게 상담 잘 해주시는 덕분에 궁금한거 말끔히 해결하고 등록까지 완료했어요! 이제 열심히 운동하려고요 추천드려요!,시설이 깔끔하고 기구가 다양해서 좋아요! 강사님들도 자세 자세히 봐주시고 시간대도 다양하게 잡혀 있어서 편한 시간대에 들을 수 있어요! CS 김성윤님 상담 친절하게 해주시고 운동 스케쥴도 같이 꼼꼼하게 잡아주셔서 좋아요!!,거의 7개월 째 필테 수업 받고 있는데 김성윤 C/S님 한결같이 친절하시고 언제나 자세한 설명으로 도와주세요~ 시설도 깔끔해서 추천드립니다~
9,여기 진짜 카운터고 일하는 사람들 다 대충말하고 싸가지 없어요. 진짜 가지마세요 냄새도 이상하고 저는 골프도 끊고 스쿼시도 하는데 어떻게 이렇게 사람한테 말할때 모두 다 싸가지 없이 말하는지요 사장님은 이 글 보면 직원교육 다시 시키세요.,오전에 운동할때 시설이 많이 깔끔하고 운동하는 분위가 너무 좋아요^^그리고 오전에 계시는 분께서 항상 깔끔하게 청소를 하시는 모습이 너무 보기 좋아요♡,재등록하러 방문했는데 너무 방가방가 해주심 여전히 깔끔하고 시원시원 낮시간은 스쿼시장이 비어있어 점심먹고 20분만뛰어도 효과좋을 듯 헬쓰장도 시원해서 여룸나야겠네요,직원분들 친절하시고 갈때마다 만족스럽네요~^^,수업 시스템이 나랑 안 맞아서 계약 전 전액 취소했는데 고객 보는데 앞에서 계약서를 “찢어버려~” 이러던 숏컷한 데스크 아줌마 수준 보고 참.. 수업 시간이 애매하다는 이유로 단순히 계약취소를 하려고 했던건데 데스크 아줌마 수준보고 취소하기를 잘했다는 생각이 들었음. 초반에 나는 상담받으러 왔다고 말했는데 그 아줌마가 그래도 생각해놓은데 있지 않냐는 무시하는 듯한 말투. 데스크 직원 바꾸세요~ 카톡상담에서는 취소하려면 직접 오라고 그러더니 그 데스크 아줌마는 안와도 된다고 기껏 다시 온 사람 헛걸음하게 만드려고 하고. 짜증만 났던 곳. 상담하러 왔다는데 결제하겠다고 결제 어떻게 하겠냐고 대뜸 물어보고 무조건 스쿼시 말고 스피닝부터 해라면서 명령조로 말함. 서비스직이 고객한테 꼰대조로 말하면 수준이 말다했죠,여기 원래 에어컨 잘 안틀어주나요? 돈내고 헬스장가서 운동하는게 쾌적하게 운동하고 싶어서가 큰데 에어컨 시원하게 틀어준 날이 없는거 같네요. 단 한 사람이라도 가서 운동하고 있으면 틀어주는게 맞다고 봅니다. 다 돈내고 일부러 헬스장 찾아가는데 이런 환경인줄 알았으면 애초에 다른데 가거나 집에서하지 누가 에어컨도 안틀어주는 헬스장가서 운동하고 싶겠습니까.. 앞으로 에어컨좀 잘 틀어주길 바랍니다. 다른 헬스장 다 다녀봤는데 한 명이 있든 여러명이 있든 상관없이 에어컨 빵빵하게 틀어줍니다. 그리고 거기 안경 안 쓴 나이 좀 있는 트레이너 굉장히 불편합니다. 행동이나 말 주의 좀 부탁드립니다.,운영시간이 길어서 출근전이나 퇴근후에도 자주 갈수 있을거 같아요 가격도 착해요~,열심히 하겠습니다,좋아요,두번째 방문인데 직원분들도 친절하시고 잘 운동하다 갑니당
