company_id,kind,tidy,various,wide,reasonable,pose,advice,parking,class,GX,care
0,6,8,3,1,3,,,,1,1,
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
6,15,14,13,7,7,10,4,,7,,
7,48,38,24,10,15,20,34,4,17,19,
8,37,20,12,3,22,34,28,1,23,1,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,118,101,95,47,33,78,79,14,53,8,
12,155,117,100,80,44,147,101,39,131,51,
13,96,85,52,21,50,45,49,3,37,4,
14,,,,,,,,,,,
15,9,8,7,3,2,1,2,,2,2,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,9,6,1,2,1,7,8,2,6,,
19,14,5,6,4,4,,,2,1,2,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,17,14,3,4,4,19,8,,18,,2
23,24,7,20,10,10,22,8,19,19,6,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,148,115,105,60,83,103,95,7,58,12,
27,73,60,49,26,35,16,35,15,13,11,
28,,,,,,,,,,,
29,6,7,,,,6,7,,9,,9
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,12,5,8,3,4,2,6,,4,5,
34,23,17,1,2,13,26,23,,24,1,
35,29,3,,,15,32,19,,31,,27
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,109,105,86,56,52,64,65,23,57,17,
41,19,20,16,1,4,18,16,,14,,15
42,,,,,,,,,,,
43,270,248,187,62,171,114,142,10,98,20,
44,,,,,,,,,,,
45,7,14,,5,2,,2,2,,1,
46,128,142,74,,78,52,54,,61,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
