company_id,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close
0,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,06:00,21:00,09:00,24:00
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,06:00,23:40,06:00,23:40,06:00,23:40,06:00,23:40,06:00,23:40,13:00,17:40,13:00,17:40
5,,,,,,,,,,,,,,
6,06:00,23:30,06:00,23:30,06:00,23:30,06:00,23:30,06:00,23:30,07:00,18:00,12:00,19:00
7,,,,,,,,,,,,,00:00,24:00
8,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,08:00,20:00,,
9,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,13:00,,
10,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,14:00,,
11,06:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,21:00,09:00,21:00
12,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,09:00,21:00,09:00,21:00
13,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,18:00,10:00,18:00
14,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,13:00,08:00,13:00
15,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,20:00,10:00,20:00
16,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,09:00,19:00,,
17,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,13:00,08:00,13:00
18,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,18:00,,
19,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,12:00,20:00,12:00,20:00
20,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,08:00,18:00,,
21,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,,,,
22,09:30,22:00,09:30,22:00,09:30,22:00,09:30,22:00,09:30,22:00,10:00,15:00,,
23,06:00,새벽 05:50,06:00,새벽 05:50,06:00,새벽 05:50,06:00,새벽 05:50,06:00,새벽 05:50,09:00,20:00,09:00,20:00
24,,,,,,,,,,,,,,
25,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,,
26,07:00,24:00,07:00,24:00,07:00,24:00,07:00,24:00,07:00,24:00,09:00,20:00,,
27,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,09:00,21:00,09:00,21:00
28,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,19:00,,
29,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,11:00,14:00,,
30,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,15:00,,
31,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,10:00,18:00,,
32,09:00,23:59,09:00,23:59,09:00,23:59,09:00,23:59,09:00,23:59,09:00,18:00,09:00,18:00
33,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:00,20:00,09:00,18:00
34,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,10:00,16:00,,
35,10:00,24:00,10:00,24:00,10:00,24:00,10:00,24:00,10:00,24:00,10:00,24:00,,
36,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,10:00,16:00,,
37,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,18:00,,
38,10:00,22:00,10:00,22:00,,,,,,,,,,
39,,,,,,,,,,,,,00:00,24:00
40,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,20:00,10:00,20:00
41,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,11:00,18:00,,
42,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,10:00,18:00,,
43,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,09:00,20:00,10:00,18:00
44,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,10:00,15:00,,
45,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:00,21:00,09:00,21:00
46,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:00,18:00,,
47,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,10:00,18:00,10:00,18:00
48,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,13:00,,
49,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,18:00,,
50,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,12:00,18:00,,
