company_id,review0,review1,review2,review3,review4,review5,review6,review7,review8,review9
0,다들 운동 열심히 하는 분위기라 운동 더 하게됨,연중무휴라 좋네요,이용하던 곳인데 주인이 바뀌어서 가입비를 내야하네요,굿 ❤️,좋아요 👍,친절해요,조하요,,,
1,좋아요,운동하기엔 좋아요,좋아요,,,,,,,
2,굿,굿,친절하시고 운동하기 좋아요,굿,,,,,,
3,,,,,,,,,,
4,어릴때 부터 다니던 곳. 육키로 감량 기원!!!,김미진 트레이너님 최고!!!!,열심히 운동할게요,좋군요,으싸으싸 운동하러가요~~~,좋아요,,,,
5,저아요,저아요,정직하게 장사하세요.,,,,,,,
6,폴 팀장님이랑 운동하면서 운동에 재미도 붙이고 근육도 많이 생겼습니다! 개인운동 할 때도 기구가 다양해서 지루하지 않게 운동 할 수 있어요ㅎㅎ 헬스장 분위기도 항상 생기가 돌아서 좋습니다😆😆,"오운완 ~ 🏃‍♀️
머슬톡에서 재미있게 운동 하고 갑니다 ~ 올 여름음 핫걸이 될거에요💪🏻","폴 팀장님이랑 여름 준비! 수업 너무 재미있고, 운동 완전 열심히 알려주십니다! 재밌게 운동하고 싶다면 폴팀장님 피티 추천합니다!",개강하고 2개월 정도 폴팀장님한테 PT 받고 있는데 식단부터 운동까지 하나하나 신경 써주셔서 근육량이 정말 많이 늘어 났어요~ 운동 처음 하시는 분이라면 정말 격하게 추천해 드립니다! (+ 좋은 기구가 다양하게 있어서 헬스가 안질리고 재밌어요~),"오운완
팀장님하고 운동하고나서 운동이 재밌어졌어요
혼자 운동할때도 기구가 다양해서 지루할틈이없어요~!! :)","머슬톡에서 팀장님과 함께 운동 1달차 
너무 재밌게 운동 잘하구 있어요! 
운동 할맛나는 머슬톡 강추!!!","운동에 재미붙인 20대 여자의 솔직담백한 후기 #다양한 운동 머신 #정이넘치는곳 #쾌적한 센터 최근에 이사와서 헬스장을 찾던 도중 운좋게 만난 머슬톡 휘트니스센터! 등록하길 찐으로 잘한 것 같다👍 제가 느낀 센터의 장점은! 1. 쌤들이 인사성이 너무 좋으셔서
덩달아 기분이 좋아집니다-^^* 2. 원하는 기구들이 많이 있어요! (웨이트/유산소 good👍) 여성들 힙 키울수 있는 친절한 기구들 다 모여있어요-!! (나홀로 운동하는 여자분들 여기에요..!!🙋‍♀️) 3. 이해하기 쉽도록 또 혼자서도 충분히 운동할 수 
있도록 꼼꼼하게 알려주시는 피티수업! (수업 아닐때도 모르는거 물어보면 친절하게 설명해 주셔서 너무 좋아요..👍) 광운대 헬스장 하면 ((머슬톡휘트니스))💫 친구와 혹은 혼자해도 굿!","예전에 머슬톡 잠깐 다니다 다른 곳에 가보기도 했는데, 결국은 넓고 쾌적한 건 여기뿐이더라고요 ㅠㅠ 다시 돌아와 열심히 운동중입니다💓
기구도 새로 들어온 것도 있고 깔끔해서 운동 하기도 좋고! 매니저님, 트레이너님들도 친절하셔서 가끔 자세도 봐주시고 운동할 때 안전하게 할 수 있도록 신경도 써주세요~~! 
머슬톡! 완전 내 집 같은 곳입니다🙃👍🏻",개강 얼마 안남아서 확찐살들 털어버리려고 헬스장 등록했는데 시설도 너무좋고 힙운동 기구가 많아서 맘에들었어요!,시설 너무 이뿌고 좋아여 피티쌤도 친절하시고 천국의 계단으로 살 진짜 많이 뺐어용 광운대 사시는 분들은 한번쯤 와보시면 조을 것 같아용 머슬톡 한번 다니시면 다른데 못가여 ㅎㅎ 🤟🏿
7,"석계점에서 타센터에서 배희주트레이너쌤(나나)과4년째운동을배웠고 쌤이직으로 저도 ~~~쌤따라 ㅋㅋㅋㅋ바디채널 공릉점으로 오게되었는데 시설도깔끔하고 우선 기구가 다양해서 너무좋아요 운동분위기맛집!!!피티쌤 실력은말해뭐해요 제 인생몸무게 다시찾으러 회원권피티
동시등록했습니다^^",평소에 퇴근 시간이 불규칙적이고 야근을 할 때가 많아서 24시간으로 하는 헬스장을 찾다가 역 바로 앞에 있다고 해서 상담하러 갔는데 직원분들 너무 친절하고 24시간 내내 열려있는데도 내부도 깨끗해서 바로 등록하고 왔어요! 역 앞이라서 접근성도 좋고 시간 상관없이 일 끝나고 바로 가서 운동 하고 갈 수 있어서 좋은 거 같습니다! 저처럼 늦은 시간에도 운동할 곳이 필요하신 분들 한 번 와서 상담 받아보세요!,마포에서 노원으로 이사 후에 가성비 괜찮은 센터를 찾던중 바디채널-공릉점을 추천받아 등록했습니다 ^_^ 무료O.T도 해주셔서 나나쌤한테 받게되었어요. 꼼꼼하고 체계적으로 알려주시고 무엇보다 운동을 흥미롭게 알려주시고 현실조언 많이 해주셔서 매일매일 출첵 해서 몸짱 되려구용! 피티도 물론 등록했습니당-! ㅎㅎ 적극추천!,"집에서 가깝고 교통도 편리한 곳을 찾다보니 바디채널 공릉점이 쏙 마음에 들어서 현재 이용중입니다. 😊PT 처음 받아보는데 이주명 PT 쌤도 너무 너무친절하시고 그날 그날 컨디션에 맞게 운동을 지도해주셔서 몸이 점점 건강해지는 기분입니다. 🤩 다른 PT 쌤분들도 항상 밝고 활력이 넘치셔서 갈때마다 기분이 좋아요 🥰 운동기구들도 관리가 다 잘되어 있고 특히 ! 스트레칭존이 따로 있는 것이 제일 좋아요 ! 샤워시설도 깔끔하구, GX 프로그램도 잘되어 있고, GX 프로그램 음악이 너무 씐나요. 신나는게 아니라 씐남 ㅋㅋㅋㅋ앞으로 꾸준히 이용할 예정입니다 ! 😁",오픈때부터 이용하고 있습니다 바디채널 헬스장 분위기가 너무 좋고 처음에 운동 할줄 몰라서 pt를 받게됬는데 건희 트레이너님께서 친절하고 재밌게 알려주셔서 꾸준히 운동하고 있습니다 앞으로도 계속 다닐 예정 ㅋㅋㅋ,매일 회사때문에 운동할 시간이 없었는데 24시간 운영이어서 너무 좋았고 트레이너분들도 너무 친절해서 계속 방문하게 되네요ㅠㅠㅠ !! 시설도 편리하고 깔끔해서 좋아요 사장님 번창하세요 🥺🙏🏻❤️❤️,머신이 많아서 고립운동하기 좋습니다. 그리고 24시간 운영해서 언제든지 올 수 있어서 좋습니다. 이건희 트레이너님이 안내 잘해주셨습니다!,"이사오고 꾸준히 운동하고 싶어서 처음으로 
PT등록했어요~ 운동하는 재미가 생겨나고 있어요!! 함현주 강사님 친절하구 똑부러지게 잘 알려주셔요~ 그래서 재등록했습니당ㅎㅎ",시설 깔끔하고 가성비갑 ㅎ 직원분들도 친절하시고.. 3개월 끊고 좋아서 1년원 재등록했네여,"트레이너님도 친절하시고 헬스장 어플 시스템도 잘 되어 있어서 편해요!
그룹PT라는 프로그램도 좋았어서 자주 이용했네요 ㅎ"
8,"근처에 PT할만한 곳 찾다가 상계역 쇠질 맛집 원탑 발리짐을 찾게 되었어요. 부모님도 여기 8년째? 다니시는 중인데 그만큼 선생님 한분한분 정말 너무 친절하시고 좋으셔요. 전에 다른 곳 피티 상담 받고 왔었는데 거기서는 맛보기로 그냥 같이 운동만 도와주는 느
낌이었는데 여기는 정말 전문지식을 가진 정우쌤이 어떤 근거로 이 운동이 왜필요한지 알려주셔서 운동에 집중하기 너무 좋아요. 히스토리 관리도 잘해주셔서 이전에 했던 운동에 대한 기록들과 함께 관리도 잘해주시구요! 저는 몸을 만들고 싶어서 피티를 시작했는데 정말 돈
아깝다는 생각 1도 안들고 너무 만족합니다! 추천추천!!👍👍👍","친구소개로 운동 잘 알려준다고 해서 등록했는데 따로 수업을 듣지않아도 오늘 운동 뭐하는지, 식단은 어떻게 하는지 물어봐주시면서 친절하게 지도 해주셔서 부담스럽지않게 알려주셔서 운동다니기 너무 좋아요👍 그리고 보통 헬스장은 지하에 위치해있어서 찜찜한 느낌이 없지않아있었는데 여기는 지상에 위치해있어서 좋은것같아요! 웨이트기구 관리나 탈의실관리도 잘되어있어요! 운동 처음 시작하시는 헬린이 분들에게 적극추천합니다! 열심히해서 득근해야겠어요~💪","선생님들이 친절히 자세 꼼꼼히 봐주시고 물어보면 항상 친절히 얘기주셔서 초보자분 부터, 자세로 고민하는 분들까지 추천드려요
다니면서 몸이 좋아진다는 얘기 많이 들어 기분이 좋아집니다ㅎㅎ","아들이랑 상담 갔다가 원래는 저만 상담하고 운동하려 했는데 너무 친절히 상담해주셔서 아들이랑 같이 6개월 결제 했네요. 기간 오래 끊으려 했는데.. 조금만 해보시고 마음에 드시면 추가로 연장하시라는 말씀에 여기는 영업이 아니라 진심이구나 생각이 들어서 결제 했어요. Pt도 추가 했는데, 기대가 됩니다~^^ 아!! 마스크는 상담후 서비스로 챙겨주셨어요 센스 👍","발리짐의 가장 큰 장점은 트레이너분들이 전문 지식을 갖고 운동방법과 원리를 이해하기 쉽게 설명해주시는 것 같아요!! 잘못된 자세 수정은 물론이고, 자세가 잘 안나오면 원인이 뭔지, 어떤 근육을 스트레칭 해야 제대로된 자세가 나오는지 정확하게 짚어주십니다!! 저는
오른쪽 어깨가 예전부터 고질병이여서 평생 벤치프레스를 못하고 살았는데, 선생님께서 말씀하신대로 스트레칭으로 근육을 풀어주고, 자세도 연습했더니 여기서 난생 처음 으로 벤치 성공했어요ㅠㅠㅠ 그때의 감동이란..!😭 다치지 않고, 정확한 자세로 운동 배우고 싶은 분들
에게 PT 완전 추천 합니다!! 저처럼 운동을 처음 배우더라도 내 몸 상태에 맞게끔 꼼꼼하게 다 알려주시니 걱정하실 필요 없어요! 덕분에 운동 지식도 많이 늘고 몸도 많이 좋아졌습니다!","평소에 다른 헬스장에서는 등록만 하고 다니지 않아서 돈이 아까웠는데 여기서는 pt가 아닌 날에도 체크해 주시고 알려주셔서 꾸준히 나오게 되는 거 같아요 :)
상담해 주신 대로 조바심 내지 않고 알려주신 대로 운동 다니고 있는데 식사량을 줄이지 않아도 근손실? 없이ㅋㅋ 살이 빠지고 있습니다ㅎㅎ
당장 살 빼는 방법이 아닌 꾸준히 운동을 다니고 식단 관리 하는 법을 알려주셔서 좋아요! 10키로 넘게 빠졌지만 뺄 살은 아직 넘쳐서 열심히 다녀볼 예정입니다!🥲",피티 받고 있는데 운동도 상세하게 잘 알려주시고 식단관리도 꼼꼼하게 잘 해주세요! 개인운동 할때도 트레이너 선생님들이 잘 봐주시고 친절하세요~ 운동하기 너무 좋은 것 같아요! 상계 발리짐에서 득근해보려고 합니다~😁💪🏻,"바디프로필 준비중인데 자세도 꼼꼼히봐주시고
식단도 추천해주셔서 큰도움이 되고있어요
꼭 피티아니어도 자세 봐주셔서 처음배우시는 분들한테 추천합니다~~~~~","요요를 방지하고자 웨이트를 체계적으로 배워야겠다고 생각하고 상계역 주변 상담을 다 받아봤습니다. 개인차는 있긴 하지만 발리짐처럼 신뢰가 가는 헬스장이 없었고, 타헬스장이 기구도 많고 그럴진 몰라도 사실 PT등록하지 않음 제대로 봐주는 곳이 없다는 느낌을 받았어요 전 어차피 체계적으로 배울꺼라 PT등록은 했지만 제가 생각했던 이상이였습니다. 오늘 운동은 뭘로 할지 고민없게끔 항상 일정 짜주시는 트레이너 쌤 그리고 담당트레이너 아니여도 모르는거 물어보면 정말 친절하게 봐주시고 PT수업 없으실때면 또 옆에서 봐주시고 진짜 최고예요 발목을 접질러 3개월정도 운동을 못하니 살은 찌고 다시 운동시작하려니 막막하고 멘탈도 나갔지만 다시 재밌게 운동할 수 있게 알려주신 덕분에 식단병행하면서 2주만에 2kg감량중에 있어요",피티수업받았는데 자세도 꼼꼼히 봐주시고 근육에 대한 설명이 좋아서 개인운동에도 잘 반영하여 운동하고 있습니다
9,인바디 설명 스트레칭 기구체험 까지 꼼꼼하게 설명해주십니다,저의 건강 지킴이입니다!!,짱짱짱~~,친절하시고 좋아요^^,좋아요,지친여름.마들커브스에서 활기찾고 너무 좋습니다.~!!,자세한 설명과 무료체험까지...결정하는데 많은 도움이 됐어요~,친절합니다,친절합니다,'
