company_id,kind,tidy,various,wide,reasonable,pose,advice,parking,class,GX,care
0,,,,,,,,,,,
1,,,,,,,,,,,
2,,,,,,,,,,,
3,7,4,5,1,,2,5,1,4,5,
4,,,,,,,,,,,
5,,,,,,,,,,,
6,,,,,,,,,,,
7,27,32,30,10,5,28,16,8,19,,
8,7,2,3,,3,4,4,,3,1,
9,36,34,27,9,18,18,19,16,9,12,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,16,13,10,3,18,7,10,3,5,2,
20,37,32,33,21,23,18,24,6,15,8,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,11,4,2,2,1,2,1,1,4,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,19,11,2,,6,19,6,1,16,,13
27,24,7,1,,2,23,12,1,21,,23
28,,,,,,,,,,,
29,,,,,,,,,,,
30,11,5,2,,,16,14,,12,,15
31,23,14,5,1,9,18,9,,15,3,
32,,,,,,,,,,,
33,20,8,5,,,21,14,,19,,17
34,12,11,1,,4,12,9,,9,,
35,16,22,18,17,6,15,13,1,14,,
36,24,13,8,,8,24,10,,25,,21
37,,,,,,,,,,,
38,151,157,91,40,48,109,88,25,92,5,
39,26,14,5,3,2,28,20,,22,,25
40,49,42,6,5,6,56,25,1,49,,48
41,53,55,36,31,25,16,31,5,14,4,
42,72,50,47,27,24,47,52,8,37,,33
43,34,34,8,5,19,40,27,,31,9,
44,,,,,,,,,,,
45,19,20,5,,7,19,9,4,21,,12
46,14,23,9,1,9,22,12,,20,,20
47,9,9,3,2,1,11,10,,10,,9
48,22,18,3,1,5,25,15,1,23,,21
49,11,5,3,1,1,11,8,,5,,8
50,,,,,,,,,,,
51,8,14,6,,4,13,6,,13,,9
52,,,,,,,,,,,
53,33,29,13,,11,23,33,,15,,27
54,14,15,3,1,2,10,11,,9,,9
55,,,,,,,,,,,
56,,,,,,,,,,,
