company_id,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close
0,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,10:00,19:00,,
1,,,,,,,,,,,,,,
2,09:30,23:00,09:30,23:00,09:30,23:00,09:30,23:00,09:30,23:00,10:00,20:00,,
3,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,09:00,20:00,09:00,20:00
4,,,,,,,,,,,,,,
5,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,19:00,10:00,17:00
6,,,,,,,,,,,,,,
7,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,19:00,10:00,19:00
8,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,21:00,10:00,18:00
9,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:00,18:00,09:00,18:00
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,09:00,23:00
12,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,11:00,18:00,,
13,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,10:00,19:00,,
14,06:00,23:30,06:00,23:30,06:00,23:30,06:00,23:30,06:00,23:30,09:00,18:00,,
15,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,11:00,,
16,,,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,07:00,17:00,07:00,17:00
17,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,10:00,18:00,,
18,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,13:00,18:00,,
19,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,10:00,20:00,10:00,20:00
20,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,08:00,20:00,10:00,18:00
21,,,,,,,,,,,,,,
22,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00
23,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,23:00,10:00,18:00
24,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,10:00,19:00,,
25,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,10:00,18:00,,
26,,,,,,,,,,,,,00:00,24:00
27,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,10:00,15:00,,
28,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,10:00,19:00,,
29,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,09:00,18:00,,
30,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,10:00,18:00,,
31,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,10:00,16:00,,
32,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,08:00,18:00,08:00,18:00
33,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,15:00,,
34,,,,,,,,,,,,,07:00,23:00
35,07:00,22:30,07:00,22:30,07:00,22:30,07:00,22:30,07:00,22:30,08:00,22:00,,
36,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,20:00,08:00,20:00
37,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,08:00,22:00,08:00,22:00
38,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,19:00,10:00,19:00
39,10:00,24:00,10:00,24:00,10:00,24:00,10:00,24:00,10:00,24:00,10:00,22:00,,
40,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,09:00,17:00,,
41,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,08:00,20:00,,
42,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,00:00,23:00,00:00,23:00
43,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,10:00,15:00,,
44,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,18:00,,
45,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,09:00,16:00,,
46,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:00,18:00,,
47,07:00,24:00,07:00,24:00,07:00,24:00,07:00,24:00,07:00,24:00,10:00,18:00,,
48,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,16:00,,
49,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,10:00,15:00,,
50,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,10:00,17:00,,
51,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,16:00,,
