company_id,kind,tidy,various,wide,reasonable,pose,advice,parking,class,GX,care
0,,,,,,,,,,,
1,,,,,,,,,,,
2,78,87,67,41,48,57,47,2,43,1,
3,,,,,,,,,,,
4,69,56,32,20,38,61,46,1,56,6,
5,,,,,,,,,,,
6,,,,,,,,,,,
7,7,13,7,6,,4,4,,4,3,
8,,,,,,,,,,,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,15,12,7,7,4,4,5,3,5,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,27,21,13,3,16,10,20,4,15,9,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,51,34,7,1,5,52,25,,48,,56
22,,,,,,,,,,,
23,,,,,,,,,,,
24,278,255,81,28,48,158,193,1,139,,48
25,,,,,,,,,,,
26,,,,,,,,,,,
27,15,11,10,10,7,2,10,4,4,1,
28,33,30,14,3,19,40,19,6,22,12,
29,40,35,32,10,11,14,13,,6,3,
30,36,43,49,28,27,17,9,2,9,6,
31,,,,,,,,,,,
32,31,32,22,14,16,12,23,,7,1,
33,,,,,,,,,,,
34,25,27,4,2,16,12,12,,9,10,
35,154,152,149,113,79,86,86,15,81,22,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,12,14,1,,5,12,4,,12,5,
39,9,7,1,,2,9,6,1,9,,
40,,,,,,,,,,,
41,,,,,,,,,,,
42,16,16,12,,13,10,9,,11,,5
