company_id,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close
0,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:00,18:00,,
1,,,,,,,,,,,,,,
2,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,18:00,10:00,18:00
3,,,,,,,,,,,,,,
4,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,20:00,,
5,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:00,20:00,,
6,06:00,23:59,06:00,23:59,06:00,23:59,06:00,23:59,06:00,23:59,06:00,21:00,,
7,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,20:00,,
8,,,,,,,,,,,,,,
9,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,,,,
10,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,13:00,,
11,06:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,18:00,09:00,18:00
12,07:00,23:50,07:00,23:50,07:00,23:50,07:00,23:50,07:00,23:50,10:00,20:00,10:00,20:00
13,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,09:00,21:00,09:00,18:00
14,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,20:00,10:00,20:00
15,07:00,23:50,07:00,23:50,07:00,23:50,07:00,23:50,07:00,23:50,10:00,19:50,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,17:00,,
19,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,10:00,17:00,,
20,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,19:00,,
21,10:00,24:00,10:00,24:00,10:00,24:00,10:00,24:00,10:00,24:00,10:00,18:00,,
22,06:30,24:00,06:30,24:00,06:30,24:00,06:30,24:00,06:30,24:00,10:00,20:00,10:00,20:00
23,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,21:00,,
24,06:30,23:00,06:30,23:00,06:30,23:00,06:30,23:00,06:30,23:00,10:00,14:00,10:00,14:00
25,14:00,23:30,14:00,23:30,14:00,23:30,14:00,23:30,14:00,23:30,,,,
26,,,,,,,,,,,,,,
27,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,19:00,10:00,19:00
28,09:30,20:30,09:30,20:30,09:30,20:30,09:30,20:30,09:30,20:30,09:30,12:30,,
29,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,18:00,,
30,06:00,23:50,06:00,23:50,06:00,23:50,06:00,23:50,06:00,23:50,10:00,17:50,10:00,17:50
31,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,10:00,22:00,,
32,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,08:00,20:00,,
33,,,,,,,,,,,,,,
34,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:00,20:00,09:00,20:00
35,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,09:00,21:00,,
36,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,18:00,,
37,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,20:00,10:00,18:00
38,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,11:00,15:00,,
39,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,15:00,,
40,06:30,23:00,06:30,23:00,06:30,23:00,06:30,23:00,06:30,23:00,09:00,18:00,,
41,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,10:00,16:00,,
42,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,10:00,18:00,10:00,18:00
