company_id,review0,review1,review2,review3,review4,review5,review6,review7,review8,review9
0,굿,,,,,,,,,
1,좋아요,친절한 헬스장,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,"최인태 선생님에게 pt신청받아 운동했습니다
매니저님이 상담도 친절하게 해주시고 적절한 코스도 추천하셔서 믿져야 본전인 마음으로 운동 시작하게되었는데 적절한 운동방향성을 제시해주시고 자세도 잘 봐주셔서 원래 제가 무릎이 안좋아서 스쿼트도 못하고 앉기도 힘들어했는데 근육이 늘어서 그런지 앉은다리해도 바닥에 편하게 앉고 매일매일 졸린적은있어도 체력이 늘어서 힘든적은 없네요!! 매일 매주 거울 볼때, pt수업 끝난뒤에 더 의욕생기고 보람이 느껴지는 수업입니다 운동 고민있으신분들은 꼭 pt반 받아보시면 만족하실겁니다~!!","체력이 좋지 않은 편이었는데 인태쌤과 함께하고 근육을 어떻게 사용해야 하는지 알게되고, 소방시험에서도 좋은 결과 얻을 수 있었습니다🤗🤗 PT는 비싸지만 받기 전과 받은 후의 차이가 확실한 것 같아요! 무조건 추천드립니다ㅎㅎ","헬스를 처음 접하게되어서 최인태선생님께 피티를 받고 꾸준히 운동하는 습관을 갖게되었습니다 식단부터 운동까지 스스로 할 수 있는 기반을 만들어주셔서 감사합니다! 51k에서부터 46kg까지 처음 찍어보는 몸무게를 만들었습니다 앞으로도 꾸준히 멋진몸 만들기위
해 노력하겠습니다🥰 운동은 내삶의 이유영",이빈 선생님 피티 진행했습니다!! 운동은 처음이라 걱정 많이 했는데 하나부터 열까지 꼼꼼하고 몸에 맞게 잘 알려주시고 가르쳐 주셔서 덕분에 회사 다니면서 꾸준히 해보려고 노력하고 있어요!!! 앞으로도 쭈욱 해볼 생각입니다 ㅎㅎ 이빈 선생님 추천해요!!!!!!,매니저님에게 수업 받고있는데 너무 좋습니다 처음에 상담을 너무 잘 해주셔서 무조건 매니저님한테 수업 받고싶어서 더 지불하고 받습니다. ㅠㅠ 그래도 후회 없네용 ㅎ,"최인태 선생님, 백지훈선생님과 함께하는 시간이 즐거워요 ❣️운동을 즐겁게 할 수 있게 만들어주셔서 감사합니다 !!",매니저님에게 무료수업을 받았는데 너무 유익하고 좋았습니다!!! 매니저님 최고!!! 가능만 하다면 매니저님에게 수업 받고싶어용,헬스 처음하면서 처음 와본곳인데 시설도 깔끔하고 인태쌤에게 pt 받았는데 기본부터 차근차근 자세히 잘 알려주셔서 부상없이 득근중입니다 운동하시려는분들 강추드립니다.,매니저님이랑 수업 받고 있는데 현재 한달만에 체지방만 7키로 감량 중입니다!! 그래서 20회 추가 했어용 ㅎㅎㅎㅎ 다들 매니저님께 상담 받고 운동 시작해서 지방이들 날리세용~^^,이쁘고 착한 민오쌤이랑 바프를 향해 열심히 운동중인데 넘 좋아요 ❤️ 5층이라 창밖보면서 런닝뛰는것도 좋아용 맨날 출첵중 ㅎㅎㅎ
5,좋아요,굳,굳,ㅎㅎ,친절하세요,헬스장 좋아요,,,,
6,"무엇보다도 관장님이 너무 친절하게 운동 봐주시구요 동네 비싼 헬스장 PT 보다 훨씬 경력 있으시고 운동에 대해 알고 계십니다 30년 경력의
관장님이 저렴하고 체계적으로 운동 알려주셔요 
가격도 굉장히 저렴하고 헬스 기구들도 다양합니다 합리적 선택이에요",가격이 정말 저렴하고요 관장님이 친절해요. 기구도 괜찮아요 😊 운동해서 건강해져요~~!,이 퀄리티이기에 가능한 가격..!,굿,조아요,관장님 친절하시고 접근성 좋습니다,저렴합니다,관장님이 친절하세요!,관장님이 세심하시게 PT해주시고 매우 친절하십니다. 다른 곳에서 PT받을 때 신체접촉이 꽤 있었는데 불필요한 접촉이 전혀 없으셔서 매우 안심이고 편합니다. 시설이 좋진 않지만 가격이 합리적이라 앞으로도 이용할 예정입니다.,관장님이 친절해용
7,"PT수업 이대현선생님 추천해요. 진짜강추! Senior트레이너시고 이미 유명하시지만 조금만 더 유명해지면 좋겠어요(저하고 PT시간 겹치는분 많아지면 곤란해지니까). 전 다른회원분 PT 양도받아 시작했는데도 첫수업부터 진심으로 수업해주셨어요. 4개월차 PT받고있고 선생님덕분에 체지방 8kg빼고 헬스 기본기를 다져가는 중이에요. 무엇보다 자세가 진짜진짜 좋아졌어요! 제가 무미건조한 남자 회원이고 운동신경이 부족한편이라 따라가는게 좀 더뎌요. 그런데도 선생님이 중간에 절대 포기하지않으시고 대충하시지 않아주셔서 그게 정말 프로페셔널한것 같아 추천합니다. 인포분들도 친절하시고, 헬스장 사방이 통창으로 트여있어서 운동하기 쾌적한데, 회원권은 그냥사면 조금 비싸니까 3-6개월짜리 이벤트 할 때 사면 좋은것 같아요 : )",트레이너님 너무 쉽게 잘 알려주셔서 헬린이는 제대로 된 스쿼트자세 데드리프트자세를 알게되어 너무 기쁩니댜🤤 배운대로 잘 운동해서 엉짱이 되어볼게요 ㅋㅋㅋ,친절하고 꼼꼼히 봐주세요,가격 대비 별로였습니다.,"군데군데 먼지 뭉쳐있고, 기구에 묻은 땀먼지는 잘 안 닦여있어요. 노래도 가끔 발라드같은거 나오면 너무 쳐집니다
그 외에는 기구 새로 많이 들어오고, 바뀌는 중이여서 괜찮은 것 같아요",좋아요,좋아요,좋아요,"이 주변 헬스장 중 제일 비싼듯함
피티도 매우 비쌈",선생님이 정말 친절하시구 기구가 많고 정리정돈이 잘되어있어서 쾌적한 환경에서 운동할수있어요!
8,,,,,,,,,,
9,안다르 직원분 너무 친절해서 행복한 소비했습니당 ♥️,건강을 위해,다이어트 맛집이다 진짜ㅋㅋ 우리동네에 김신영 다이어트 시켜준 곳이 있다니 바로 상담받고 등록ㅋㅋㅋ 지난달 부터 시작했는데 한달동안 6키로 빼서 재등록 함~ 트레이너쌤이랑도 잘맞고 넘 좋아용~ 여름휴가까지 열다이어트!!,"예전에 다녔을 때 살을 많이 뺏었어요. 곧 여름이라 다시 다이어트 좀 할라고 등록했는데, 마침 이벤트도 해서 좋네요!!",굿,좋아요,,,,
10,굿,체험이랑 상담받고 넘 좋아서 그자리에서 p.t등록하고 운동중이에요 친절하시고 운동도 너무 잘 가르쳐주셔요 근력부족 팔랑팔랑 마시멜로인데 근육생기고있어서 신기해요,무료체험인데 인바디 측정해서 몸상태 체크하고 기구 한바퀴 돌면서 모두 설명 해주셨어요. 여성전용이고 친절하셔서 편안한 분위기였습니다~~^^,"최고입니다~ 이것저것 질문했는데도 친절하게 답변해주셔서 감사했어요ㅎㅎ 상담도 잘 해주시고요~
운동도 정말 도움 많이 될 거 같아요! 곧 등록하러 가겠습니다 ㅎㅎ",처음 방문하였는데 친절하게 안내해주셔서 편안하게 인바디재면서 체험하였습니다~,친절하게 상담해주셨어요. 무료체험도 도움이 됐어요.,친절한 인바디 상담과 커브스 상도클럽에 대한 소개와 모든 기구 사용법까지 안내해주셨어요. 감사합니다~!,친절한 상담과 쾌적한 시설 좋아요~,"친절한 체험 감사드립니다 ~~
조만간 운동시작하러 갈께요 ~~^^",친절히 안내해 주셔서 감사합니당 !!! ㅎㅎ
0,굿,,,,,,,,,
1,좋아요,친절한 헬스장,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,"최인태 선생님에게 pt신청받아 운동했습니다
매니저님이 상담도 친절하게 해주시고 적절한 코스도 추천하셔서 믿져야 본전인 마음으로 운동 시작하게되었는데 적절한 운동방향성을 제시해주시고 자세도 잘 봐주셔서 원래 제가 무릎이 안좋아서 스쿼트도 못하고 앉기도 힘들어했는데 근육이 늘어서 그런지 앉은다리해도 바닥에 편하게 앉고 매일매일 졸린적은있어도 체력이 늘어서 힘든적은 없네요!! 매일 매주 거울 볼때, pt수업 끝난뒤에 더 의욕생기고 보람이 느껴지는 수업입니다 운동 고민있으신분들은 꼭 pt반 받아보시면 만족하실겁니다~!!","체력이 좋지 않은 편이었는데 인태쌤과 함께하고 근육을 어떻게 사용해야 하는지 알게되고, 소방시험에서도 좋은 결과 얻을 수 있었습니다🤗🤗 PT는 비싸지만 받기 전과 받은 후의 차이가 확실한 것 같아요! 무조건 추천드립니다ㅎㅎ","헬스를 처음 접하게되어서 최인태선생님께 피티를 받고 꾸준히 운동하는 습관을 갖게되었습니다 식단부터 운동까지 스스로 할 수 있는 기반을 만들어주셔서 감사합니다! 51k에서부터 46kg까지 처음 찍어보는 몸무게를 만들었습니다 앞으로도 꾸준히 멋진몸 만들기위
해 노력하겠습니다🥰 운동은 내삶의 이유영",이빈 선생님 피티 진행했습니다!! 운동은 처음이라 걱정 많이 했는데 하나부터 열까지 꼼꼼하고 몸에 맞게 잘 알려주시고 가르쳐 주셔서 덕분에 회사 다니면서 꾸준히 해보려고 노력하고 있어요!!! 앞으로도 쭈욱 해볼 생각입니다 ㅎㅎ 이빈 선생님 추천해요!!!!!!,매니저님에게 수업 받고있는데 너무 좋습니다 처음에 상담을 너무 잘 해주셔서 무조건 매니저님한테 수업 받고싶어서 더 지불하고 받습니다. ㅠㅠ 그래도 후회 없네용 ㅎ,"최인태 선생님, 백지훈선생님과 함께하는 시간이 즐거워요 ❣️운동을 즐겁게 할 수 있게 만들어주셔서 감사합니다 !!",매니저님에게 무료수업을 받았는데 너무 유익하고 좋았습니다!!! 매니저님 최고!!! 가능만 하다면 매니저님에게 수업 받고싶어용,헬스 처음하면서 처음 와본곳인데 시설도 깔끔하고 인태쌤에게 pt 받았는데 기본부터 차근차근 자세히 잘 알려주셔서 부상없이 득근중입니다 운동하시려는분들 강추드립니다.,매니저님이랑 수업 받고 있는데 현재 한달만에 체지방만 7키로 감량 중입니다!! 그래서 20회 추가 했어용 ㅎㅎㅎㅎ 다들 매니저님께 상담 받고 운동 시작해서 지방이들 날리세용~^^,이쁘고 착한 민오쌤이랑 바프를 향해 열심히 운동중인데 넘 좋아요 ❤️ 5층이라 창밖보면서 런닝뛰는것도 좋아용 맨날 출첵중 ㅎㅎㅎ
5,좋아요,굳,굳,ㅎㅎ,친절하세요,헬스장 좋아요,,,,
6,"무엇보다도 관장님이 너무 친절하게 운동 봐주시구요 동네 비싼 헬스장 PT 보다 훨씬 경력 있으시고 운동에 대해 알고 계십니다 30년 경력의
관장님이 저렴하고 체계적으로 운동 알려주셔요 
가격도 굉장히 저렴하고 헬스 기구들도 다양합니다 합리적 선택이에요",가격이 정말 저렴하고요 관장님이 친절해요. 기구도 괜찮아요 😊 운동해서 건강해져요~~!,이 퀄리티이기에 가능한 가격..!,굿,조아요,관장님 친절하시고 접근성 좋습니다,저렴합니다,관장님이 친절하세요!,관장님이 세심하시게 PT해주시고 매우 친절하십니다. 다른 곳에서 PT받을 때 신체접촉이 꽤 있었는데 불필요한 접촉이 전혀 없으셔서 매우 안심이고 편합니다. 시설이 좋진 않지만 가격이 합리적이라 앞으로도 이용할 예정입니다.,관장님이 친절해용
7,"PT수업 이대현선생님 추천해요. 진짜강추! Senior트레이너시고 이미 유명하시지만 조금만 더 유명해지면 좋겠어요(저하고 PT시간 겹치는분 많아지면 곤란해지니까). 전 다른회원분 PT 양도받아 시작했는데도 첫수업부터 진심으로 수업해주셨어요. 4개월차 PT받고있고 선생님덕분에 체지방 8kg빼고 헬스 기본기를 다져가는 중이에요. 무엇보다 자세가 진짜진짜 좋아졌어요! 제가 무미건조한 남자 회원이고 운동신경이 부족한편이라 따라가는게 좀 더뎌요. 그런데도 선생님이 중간에 절대 포기하지않으시고 대충하시지 않아주셔서 그게 정말 프로페셔널한것 같아 추천합니다. 인포분들도 친절하시고, 헬스장 사방이 통창으로 트여있어서 운동하기 쾌적한데, 회원권은 그냥사면 조금 비싸니까 3-6개월짜리 이벤트 할 때 사면 좋은것 같아요 : )",트레이너님 너무 쉽게 잘 알려주셔서 헬린이는 제대로 된 스쿼트자세 데드리프트자세를 알게되어 너무 기쁩니댜🤤 배운대로 잘 운동해서 엉짱이 되어볼게요 ㅋㅋㅋ,친절하고 꼼꼼히 봐주세요,가격 대비 별로였습니다.,"군데군데 먼지 뭉쳐있고, 기구에 묻은 땀먼지는 잘 안 닦여있어요. 노래도 가끔 발라드같은거 나오면 너무 쳐집니다
그 외에는 기구 새로 많이 들어오고, 바뀌는 중이여서 괜찮은 것 같아요",좋아요,좋아요,좋아요,"이 주변 헬스장 중 제일 비싼듯함
피티도 매우 비쌈",선생님이 정말 친절하시구 기구가 많고 정리정돈이 잘되어있어서 쾌적한 환경에서 운동할수있어요!
0,굿,,,,,,,,,
1,좋아요,친절한 헬스장,,,,,,,,
