company_id,kind,tidy,various,wide,reasonable,pose,advice,parking,class,GX,care
0,24,24,4,8,4,3,9,6,4,,
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,42,47,32,11,23,34,11,7,14,4,
6,248,239,222,156,120,129,155,27,107,14,
7,,,,,,,,,,,
8,,,,,,,,,,,
9,48,37,25,12,20,42,28,3,34,9,
10,72,4,2,2,66,71,71,1,71,2,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,19,21,11,3,4,17,8,5,13,2,
14,40,29,26,9,33,21,20,6,12,6,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,16,10,5,7,3,10,15,1,10,1,
18,,,,,,,,,,,
19,42,40,48,37,38,21,14,12,16,4,
20,10,6,8,3,3,14,6,,13,,10
21,11,4,4,1,10,7,8,,6,1,
22,,,,,,,,,,,
23,6,4,2,,,9,4,1,10,,8
24,18,15,5,5,9,9,9,,12,1,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,108,89,57,30,25,86,58,15,73,2,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,10,11,9,3,6,19,7,,20,,18
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,85,41,9,3,8,84,50,6,65,,83
41,7,6,2,2,2,5,4,,10,2,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,9,1,3,1,4,8,3,,8,1,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,36,26,19,17,24,43,20,19,38,,35
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,13,6,6,3,3,12,3,1,13,,11
54,,,,,,,,,,,
55,,,,,,,,,,,
56,8,9,3,,3,13,7,,13,,12
57,61,63,34,26,33,16,47,3,12,6,
58,,,,,,,,,,,
59,,,,,,,,,,,
60,,,,,,,,,,,
61,,,,,,,,,,,
62,,,,,,,,,,,
63,10,8,8,,5,11,8,,12,,
64,155,126,117,86,46,55,91,20,47,7,
65,,,,,,,,,,,
66,38,37,11,,15,39,24,,32,1,
67,20,19,5,1,3,26,9,,22,,24
68,,,,,,,,,,,
69,59,54,50,14,38,30,25,13,22,2,
70,,,,,,,,,,,
71,74,59,26,8,7,72,52,2,63,,57
72,,,,,,,,,,,
73,,,,,,,,,,,
74,47,28,5,,18,50,23,,42,,40
75,,,,,,,,,,,
76,,,,,,,,,,,
77,,,,,,,,,,,
78,,,,,,,,,,,
79,,,,,,,,,,,
80,11,6,6,,4,11,6,,8,,12
81,,,,,,,,,,,
82,37,40,8,3,10,38,30,4,33,1,
83,,,,,,,,,,,
84,,,,,,,,,,,
85,129,117,115,45,55,81,73,8,65,7,
86,,,,,,,,,,,
87,65,54,18,5,19,59,1,,50,,47
88,,,,,,,,,,,
89,71,75,16,10,21,87,51,2,61,,65
90,30,22,17,9,8,24,15,1,20,3,
91,,,,,,,,,,,
92,46,42,32,18,22,40,25,,27,11,
93,39,40,9,1,4,47,31,,43,,36
94,5,4,5,5,5,9,6,2,7,,4
95,,,,,,,,,,,
96,39,23,3,2,13,42,17,4,40,,41
97,,,,,,,,,,,
98,,,,,,,,,,,
99,,,,,,,,,,,
100,14,16,7,3,6,16,4,,11,,11
101,52,54,23,20,19,37,33,3,28,,35
102,13,41,43,,38,7,10,,10,,16
103,,,,,,,,,,,
104,45,43,30,6,27,23,27,3,18,4,
105,,,,,,,,,,,
106,,,,,,,,,,,
107,,,,,,,,,,,
108,15,10,3,6,2,17,10,2,13,,17
109,,,,,,,,,,,
110,11,13,5,1,4,16,9,2,12,,9
111,,,,,,,,,,,
112,,,,,,,,,,,
113,,,,,,,,,,,
114,,,,,,,,,,,
115,,,,,,,,,,,
116,,,,,,,,,,,
117,15,19,13,3,12,17,16,2,23,6,
