id,name,img,grade,lat,lng,phoneNumber,address
0,서초헬스크럽,,4.57,37.503798869695814,127.01831003455086,542-5457,"서울특별시 서초구 사평대로 349  (반포동,2층)"
1,한전아트센터스포츠클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191209_166%2F1575878961958FTQ2V_JPEG%2F30PkxuprHkmVGSGAyPXYNOQG.jpg,4.4,37.485699203471825,127.02510793177123,2055-1331,서울특별시 서초구 효령로72길 60 (서초동)
2,우성헬스 2,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180919_185%2F1537343918834AXH1z_JPEG%2Fhst30Pldpvx1Goz6KJvKd4Ht.jpg,,37.4882372676565,127.01200667188249,582-1817,"서울특별시 서초구 서초중앙로 72  (서초동,지하1층)"
3,코아텔휘트니스클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220519_6%2F1652911952591BNjyd_JPEG%2FIMG_6827.jpg,4.5,37.49395998442084,127.02499118441133,6288-3301,"서울특별시 서초구 강남대로53길 11  (서초동,지하2층)"
4,대한퍼스널트레이닝,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220216_78%2F1645009957090LNUK9_JPEG%2FP20181228_153232961_CD8D641A-5DBB-457B-8324-4A6E94EB80BB.jpg,,37.510018747949026,127.01704953925905,515-2108,"서울특별시 서초구 사평대로55길 139  (반포동,미성빌딩4층)"
5,휘트니스 모션,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220720_132%2F1658292664511dz7ks_JPEG%2F%25C8%25AD%25B8%25E9_%25C4%25B8%25C3%25B3_2022-07-14_120018.jpg,4.31,37.49156531986657,126.98797735780988,02-595-9922,"서울특별시 서초구 방배로 205 (방배동, 3층)"
6,휘트니스에프엠 교대점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220714_64%2F1657783411248DWdxu_JPEG%2F234.jpg,4.88,37.49409810227865,127.01297047351528,585-8337,"서울특별시 서초구 서초대로 314 (서초동,지1층)"
7,플라이 짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220712_251%2F1657590923662M05WT_JPEG%2F5e546f2ba6b5facde2450b74_qedgolf-intro.jpg,4.89,37.48436252463435,127.02661088009509,3474-8974,"서울특별시 서초구 서운로 3 (서초동,(지하1층))"
8,안전지대 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181207_133%2F1544179372358bfaVJ_JPEG%2F7btEbXokjT75YFU8i9uzbGx7.jpg,4.5,37.49704635322045,126.98077441157227,595-9682,"서울특별시 서초구 동작대로 230 (방배동,(지하1층))"
9,마크짐휘트니스,,4.76,37.48608525905329,127.00697377800884,521-1180,"서울특별시 서초구 반포대로 63  (서초동,진석빌딩 지하1층)"
10,플레이핏 앤 필라테스,,4,37.49959785381337,127.00900748240218,595-3060,"서울특별시 서초구 서초중앙로 199 (반포동,(지하1층))"
11,언남문화체육센터,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20151208_21%2F1449553247323A6UTb_JPEG%2F167158547064711_0.jpeg,4.41,37.47290948855394,127.04026742834283,577-7718,"서울특별시 서초구 동산로13길 35 (양재동,언남중고공공복합시설 지하중층)"
12,고투(GOTO) 방배,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200603_160%2F1591150999703Ua07e_JPEG%2FeQiHHVXCpW5NKBcn1zfl89QV.jpg,4.17,37.48603329677428,126.99222945498633,525-5944-5,"서울특별시 서초구 방배로 132, 지하1~2층 (방배동)"
13,피트니스파이브,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220707_181%2F1657182379597WV9hz_PNG%2F%25BF%25A9%25B8%25A7%25C0%25CC%25BA%25A5%25C6%25AE.png,4.72,37.49540591929723,127.01357552324967,02-565-5008,"서울특별시 서초구 서초중앙로24길 27 (서초동, G-five B112호, B113호)"
14,리스펙짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220629_15%2F1656482050600kz6WO_PNG%2FKakaoTalk_20220605_231310180.png,4.4,37.490682111766304,127.00573027483692,587-7330,"서울특별시 서초구 반포대로 118 (서초동, (지1층))"
15,피트니스팩토리24,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180827_300%2F1535364832414gvny0_JPEG%2FtDkH93gItXBgPdDfhUKbSFVW.JPG.jpg,4.7,37.47877786779597,127.03616613833275,,"서울특별시 서초구 강남대로 156-1, 극동빌딩  4,5층 (양재동)"
16,NKB PT GYM,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_70%2F1441072225280uzU5N_JPEG%2FSUBMIT_1326697081950_21033581.jpg,,37.48904733490225,126.99070932729632,,"서울특별시 서초구 서초대로25길 지하 27 (방배동, 배양빌딩)"
17,위아더 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190711_159%2F1562832390575fJL9n_JPEG%2FwKEcuCdQ-iOw2AyagFm82AF8.jpg,4.88,37.49567429239248,126.98263742086034,3478-1902,"서울특별시 서초구 방배중앙로 187 (방배동, (2,3층))"
18,the Fitness LAB,,,37.493895649596936,126.99068600143039,,"서울특별시 서초구 동광로 101, 우림빌딩 2층 (방배동)"
