company_id,review0,review1,review2,review3,review4,review5,review6,review7,review8,review9
0,"센터 등록 한지는 2주정도 됐고 최대한 이용을 많이 해보고 후기를 남기려고 하다보니 이제야 남기네요 수영+헬스 6개월 결제했고 집이랑 5분거리에 있어서 위치면에서도 (저에게) 너무 훌륭합니다 무엇보다 수영/헬스 의 시설이 깨끗합니다. 수영은 강습을 따로 신청
해서 듣고 있는데 제가 듣는 반의 강습선생님의 수업도 아주 만족하고 있습니다. 초보반 수업을 듣고 있는데 초보의 입장에서 눈높이 교육이라 금방 이해도 되고 재미도 있습니다 헬스는 이번에 무료 pt 수업 한번 들었는데 pt선생님의 지도 또한 너무 훌륭했습니다. 무
료라고 하기에는 퀄리티가 상당했고 추후에 pt계획이 있긴 했지만 날짜를 당겨 pt계획도 고민 해 볼 정도로 훌륭했습니다. 전반적으로 부대시설/강습선생님들 실력/환경 이 훌륭해 적극추천합니다.",무엇보다 시설이 진짜 좋아요~! 대욕탕이 있고 세신사도 있는데 가격이 너무 합리적이에요 주차시설이 최고!! 운동할 맛 나는곳~ 상담을 자세하게 친절하게 해주심,가까워서 자주 이용하고 있어요,수영장 이용하기 좋은거 같아요,수영하기 좋아요,수영장 좋아요,직장 가까운 곳에 수영장이 있어서 자주 이용하고 있어요,"수영장만 이용하다가
오늘은 헬스장 이용했어요..","처음 가입 상담 때부터 친절히 상담해주시고 이용 프로그램을 개인에 맞추어 합리적인 가격에 이용이 가능해요
무엇보다 시설도 깔끔하고 청결해 20-30대에게도 강력히 추천합니다
처음 홍보만 더욱 잘 된다면 더 많은 사람들이 이용할 수 있어 보여요",물온도가 차갑지 않아서 자유수영하기 좋아요
1,"아쿠아로빅 고인물들 자리텃세가 어마무시한 곳
한전스포츠센터 관리부서도 하청업체도 이 고인물들 손 놨나봄 
원래 청소해주시는 어머님 관두시고 샤워쟝 바닥 미끌거리고 관리 부실해짐",리모델링해서 샤워실 탈의실 내부 수리완료 주차 무료되고 굿굿,가성비 좋아요,타센터들처럼 (월경)가임기여성 할인 생기면 좋을것 같아요,좋아요,수건 월 4000원~ 편리해서 좋아요,락커 3개월 만원이에요~ 편리해서 좋아요,좋아요,"수영장 깔끔~
다양한 프로그램들이 있어서 좋음.",리모델링후 넘 비싸졌어요
2,,,,,,,,,,
3,"주말에 강남역 올일이있어 저번에 방문했던 헬스장 또 방문했습니다. 운동도 열심히 하고 사우나시설이 너무 좋아서 몸도 잘 지지고 갑니다. 개운하네요
또 방문하겠습니다.",강남역 주변에 이만한 곳 없어요 ~ 깨끗하고 탕이모님들 넘 친절해요 냉탕 매니아로서 탕 넓어 좋구 물관리 잘되어 좋구 피부가 뽀득뽀득 맨들맨들 ~~~ 몸이 무거울 땐 황토찜질방에서 피로 풀기에도 좋아요 !!,"강남역 근처 사우나 중에 시설 깔끔하고 
직원분들도 친절해서 좋아요",친절하시고 시설이 좋습니다,우선 운동과 사우나가 같이있다는점이 가장 큰 이점이고 강남역에서 도보 1분거리에있어서 너무 좋았습니다. 코치님도 엄청 친절하시고 자세교정도 같이 봐주셔서 많이 배우고갑니다. 앞으로 강남역 헬스장은 여기로 와야겠습니다. 다음에 또 오겠습니다.,시설이 깔끔하고 좋아요.,시설 깔끔하고 사우나랑 같이 붙어 있어서 운동하고 너무 좋은 거 같아요~!,"전체적으로 깔끔하고 직원분들이 친절하셨어용
혼자 운동하기 좋을듯",쾌적한거같아요 운동할때 사람들과 동선이 겹치지않아서 좋았고 주차를 3시간무료주셔서 좋았던거같아요,"코아텔 사우나 직원분들도 친절하고 
시설도 깔끔해서 좋네요~"
4,,,,,,,,,,
5,"1년회원권으로 강동균 트레이너님께 20회 모닝PT도 받고 꾸준히 체육관 다니며 3kg 감량하고 가볍게 근력 및 유산소 운동하고 있습니다. 강동균 트레이너를 비롯, 모든 트레이너들이 친절하고 성심껏 임하는 것을 아침마다 보게 됩니다. 시설도 깔끔하고 편리하게 되어있어 아침마다 건강한 몸 만들고 기분좋게 출근하는 건강루틴 강추합니다. 지금까지 다닌 곳중 가장 오래다닌곳이라 처음으로 리뷰 남겨봅니다.",다년간 다녔는데 너무 좋은 헬스장입니다. 선생님들의 PT 실력이 강남에서 최고인것 같아요.,"PT 상담받으러간건데 트레이너는 만나지도 못하고 데스크 쌤이랑만 이야기할 수 있어서 아쉬웠네요. 회원권 상담이랑 따로 구분해서 예약 받을 필요가 없을 것 같아요. 
피티 등록 전 앞으로 어떤 프로그램으로 짜여질지 선생님 배정은 어떻게 되는지 자세한 설명이 없었네요. 선생님 이력도 벽에 붙어있다고만 하고 설명은 안해주셨어요. 자세한 정보없이 등록하기에는 망설여져서 등록 안했습니다. 트레이너쌤이랑 한번이라도 이야기해봤으면 등록했을텐데 아쉽네요. 헬스장은 깔끔해보이고 보기 좋긴했네요.",작년부터 헬스장 다녔는데 시설도 깨끗하고 기구도 다른데 없는 기구들이 많아서 너무 좋아요!!,3층이라 쾌적한 느낌이 들어서 좋고 시설도 깔끔하고 운동하기 좋아요 👍,공간이 넓고 기구가 다양해서 좋구요! 지상에 위치해서 쾌적하고 사람들도 많습니다 :-) 이 근방에선 가장 좋은 것 같아서 계속해서 이용하려구요!!!,깔끔하고 쾌적해요 방배동에서 제일 힙한 헬스장ㅋㅋ,"피티수업 체험으로 받고 등록했는데
피티쌤도 잘 가르쳐주시고 헬스장도 지상에 있어서 쾌적해요 ! 열운할께요 ㅎㅎ",시설 깨끗해서 이용하는 사람이 많습니다,시설이 깔끔하고 다른 헬스장과 달리 항상 정돈되어 있어요!
6,시설도 넓고 기구도 많아서 계속 연장해서 이용하고 있어요! 혼자 운동하다가 별생각없이 박상영쌤한테 오티받았었는데 쌤의 열정믿고 바로 피티등록해서 7개월간 꼬박꼬박 운동 잘 다니고 있어요ㅋㅋㅋ🙂 수업끝난 뒤 피드백도 바로바로 정리해서 보내주시고 무리하게 무게를 올리는것 보단 정확한 자세로 운동할수 있게 알려주셔서 허리 바사삭 될뻔한 저를 구제해 주셨어요ㅋㅋㅋ 잠깐의 수업이 아닌 혼자서도 운동할수있게 해주셔서 재미들려 열심히 하고있습니당 다이어트할땐 맨탈도 아주아주아주 잘 잡아주시고 정말 진짜 쵝오에요.. 감댜합니다🙂,꾸준하게 이용하고 있는 피트니스FM 교대점입니다 시설도 쾌적하고 직원들도 친절하시고 주차도 편리해서 회원권 계속 연장해서 이용하게 되네요. 자세 잘 봐주시고 이런저런 운동 꿀팁주시는 남현쌤 항상 감사드립니다!,일단 교대역에서 가까워서 좋고요. 파워랙이 5개여서 눈치 안보면서 운동할 수 있어서 좋았습니다. 시설이 넓은데 관리도 잘 되고 있고 허남현트레이너님께 운동을 배울 때 자세 지도가 좋았고 친절히 설명을 해주셔서 안전하게 운동을 할 수 있어 좋았습니다.,"시설에 기구도 다양하고 시설도 깔끔하고 조명도 밝아서 운동할때 더 기운이 나는거 같아요! 거울도 많아서 자세 체크하기도 좋구요.
저는 2년째 허남현쌤한테 PT 받고있는데 다음주에 바프 찍어요!! 허남현쌤이 근육 골고루 자극 받을 수 있게 다양한 운동 알려주고 마음 약해질때 잘 잡아주셔서 엄청 의지하면서 준비중이에요!","코로나 이후 거의 운동 못하다가 체력 증진과 다이어트의 시급함을 깨닫고 다니게 되었는데요(🥲) 전철역과 가깝고 기구도 많고 시설도 깔끔해서 시간이 되면 바로 운동하러 가게 되는 것 같아요 :) 운동을 조금 더 체계적으로 배워보고 싶어서 성수쌤께 PT를 받고 있는데요, 정말 꼼꼼하게 어떤 자세로 어디를 신경써야하는지 잘 알려주셔서 정말 좋았습니다! 진짜 어떤 운동을 했는지.. 다음 날 근육 비명과 함께 뿌듯함을 느끼게 되는 것 같아요 🤣 거기에 식단도 꼼꼼히 체크해주셔서 제게 맞는게 무엇인지도 알 수 있었고, 덕분에 첫 PT 기간만에 스트레스받는 몸에서 탈출할 수 있었어요! 아직 배울게 많은 것 같아서 PT 추가 등록까지 했지요!! 😆 늘 감사합니다!!! 요점은 여기 정말 좋아요 성수쌤도 짱짱맨이요👍",서초동에서 헬스장 많이 다녀봤는데 처음부터 여기올걸 그랬어요 ㅠㅠ 렉도 5개고 웨이트존 진짜 넓어요!,"넓은 공간 쾌적한 환경 파워렉도 넉넉해서 하고픈 운동 안밀리고 할 수 있어서 이번에 재등록했어요ㅎㅎ
샤워시설도 잘 구비되어 있어 편하게 이용 가능해요ㅎㅎ",교대역 근처 이곳저곳 돌아다녀보고 상담받아봤는데 fm이 제일 친절하고 시설이 좋았어요. 교대역에서 가깝고 유산소기구도 많아서 운동하기 좋은 환경입니당~^-^,역시 교대역 인근에서 피트니스센터 찾으신다면 피트니스 fm인거같아요!!! 운동기구 사용하다보명 땀에 절여있거나 먼지가 굴러다니는 곳도 있는데 여기는 그런거 전혀없습니다 ㅎㅎ 직원분들이 모두 위생에도 엄청엄청x100 신경쓰시고 기구들 상태도 좋고 그래요^^교대역 인근에서 운동하신다면 피트니스 fm추천드립니다!! 모두 코로나도 끝났는데 건강챙기고 득근해보아요💪🏻💪🏻,이 동네 헬스 상담받으러 돌아다니려고 처음으로왔는데 바로등록해버렸어요. 시설도넓구 깔끔하고 상담도 너무 친절하게해주셨어욥 ㅜㅜㅜㅜㅜ 감사합니당 ㅎㅎ 교대쪽에서 헬스다니실분 강추할게오!! 전 운동 열심히 하겠숩니다 ㅎㅎ
7,,,,,,,,,,
8,굿~,"운동기구 핵마늠 대표가 연예인임 진정한 상남좌들 쇠질하는곳 덤벨도 40키로짜리있고 샤워시설도 깨끗 진짜 줄서서 운덩할일은 없을듯 음악도 쇠질하기 좋음
가격도 쌈 근처에 헬스장이 여기뿐이 없어서 아주만족 환기도 잘되서 코로나걸릴일은 없을듯 오늘도 쇠질고",조아요,일일권으로 처음 와봤는데 시설도 좋고 넓어서 좋아요! 무엇보다 요즘같은 시기에 양쪽으로 문을 열어놔서 환기가 잘되는 것 같아여,"헬스장이 넓고 운동머신이 많아서 좋아요!! 
환기도 잘되고 가성비 짱!!!!👍🏻👍🏻",좋아요,,,,
9,"오랜기간 많은 헬스장들을 다녀봤지만 직원분들 모두 친절하시고 렉도 두개, 스미스머신도 두개 있어서 혼잡하지 않게 개인운동 할 수 있습니다. 원판 정리나 머신들도 깔끔하구요 아주 만족합니다. 특히 싸이벡스 레그프레스 머신은 다른 헬스장에서 는 좀처럼 찾기 힘들었는
데 그만큼 머신에도 많이 신경쓰시는 것 같아서 보자마자 바로 등록했어요!!!","거북목, 라운드 숄더때문에 병원에서 도수치료만 계속 받다가 운동을 해줘야한다 그래서 마크짐에 등록해서 카이쌤에게 피티를 받게됐어요! 운동 자세부터 호흡 식단까지 잘 가르쳐 주셔서 이번 하반기때에는 근육을 더 만들고 바프까지 도전해보려 합니다!",98키로 돼지였습니다 ㅜㅠ 다이어트 피티받고 83까지 감량 성공했습니다. 무엇보다 친구라도 그정도로 안해줄거같은데 정말 자세히 끈기있게 성심껏 지도해주셔서 감사드립니다. 항상쾌적하고 기분좋게 먼저 인사해주시고 처음가는 헬스장 유대감 느끼게 해주셔서저같은 돼지도 자신감 가지고 다녔습니다! 쌤 고마워요!!,운동을 한번도 안 배워봐서 집이랑 가까운 마크짐으로 방문했는데 카이쌤께서 자세하게 상담 도와주셔서 피티까지 받기로 하고 첫 수업 받았는데 스트레칭 방법부터 호흡법까지 디테일하게 알려주셔서 처음 시작한 운동에 비해 훨씬 수월하게 진행할 수 있었어요ㅠ 자세 봐주실때도 카이쌤께서 어느 부위에 자극을 느껴야되는지 정확하게 알려주셔서 그런지 계속해서 재밌게 운동할 수 있을 것 같아요ㅎㅎ 재밌고 유익한 수업 받고싶다면 카이쌤께 받는거 추천드려요!! 앞으로도 잘 부탁드립니다 카이쌤ㅎㅎ,"아직 두번 밖에 안 왔는데 시설 깨끗하고 넓어서 좋아요 :) 카운터랑 피티쌤들 다 너무 친절하고 뭣보다 소독 수시로 해줘서 진짜 좋습니다 기구마다 영상으로 사용법도 있고 운동하고 있는데 너무 못하면 가끔 피티쌤들이 와가지고 알려주고 가셔서 저같은 헬린이들한테 
좋습니다 ㅋㅋ집 가까우면 무조건 마크짐 추천!",헬린이로 처음헬스장 다니는데 친절한직원분들이 부담스럽지않게 조심히 상담해주시는것도 너무 맘에들었어요! 다른곳들알아본대들은 너무 공격적이라 무서웠는데ㅜㅜ 알아보니 기구?기계? 들도 다좋은거라고해서 잘등록한거같아요! 앞으로잘부탁드려용~!!!,"공익을 위해 본인이 겪은 일을 사실대로 적습니다. 22년5월31일자로 등록이 만기되어서 연장하려고 했더니 가격이 올랐더라고요. 이전 조건으로 연장 어렵냐니까 ""골프회원은 160만원씩해요.오늘(6월1일)매출이 저희2천이예요. 매출 안급하니까 안하실거면 마세요"" 하하 진짜 기분 나쁘더라고요. 2021년부터 나가고 직원 힘들어보여서 롤케익사다주고나름잘지냈는데, 좋을때는 친절하더니 돈 작다고 면박을 주시고 점장님 참.. 이런 마인드인 곳에는 다니기 싫어서 생각좀 해보고 온다니까 그럼 오늘 이용금액 1.5만원 내고 가라고 하길래 결제하고 그 영수증으로 리뷰 남깁니다(^^) 점장님. 돈도 좋지만 러닝머신 앞 거울에 앉은 먼지나 좀. 위생 좀.. (첨부된 사진 봐주세요. 저 옮겨붙은ㅠㅠ) 세무조사도 곧 받으셔야할거같아요","버스정류장 근처 접근성도 좋고
선생님들도 전문성있고 친절하세요!
바디빌딩에만 집중하는 다른 피티와는 다르게 몸의 기능성까지 신경써주셔서 더 발전할수있어 좋았어요! 추천합ㄴ다",쌤들 성격 너무 좋으시구 티칭 잘해주셔서 벌써부터 자신감 뿜뿜입니다 ㅎ 기구들도 다양하구 샤워 공간도 깨끗해서 진심 좋아요 😁😁😁,시설도 깔끔하고 경미한 부상을 당해 재활운동이 필요했어요 자세한 설명도 감사하고 좋아요
