company_id,review0,review1,review2,review3,review4,review5,review6,review7,review8,review9
0,,,,,,,,,,
1,"공부하느라 앉아만 있어서 체력도 떨어지는 것 같고 집에서 혼자 운동하니 지겨워서 오랜만에 헬스장에 왔습니다.
 와서 보니 시설도 좋고 깨끗해서 마음에 들었습니다.
 저는 김성창 트레이너님께 상담받았는데 시설이랑 가격관련해서 친절하게 상담을 잘 해주셨습니다.",성북구 헬스장 중에 제일 좋은거같아요! 상담도 친절하게 잘해주셔서 너무 감사했습니다 시설도 너무 좋고 기구도 제가 원했던 기구들이 다 있어서 너무 좋았어요 :) 다이어트나 교정 필요 하신 분들 한테 정말 강추 드립니당,"주변 헬스장 중에서 제일 상담 친절하게 해주셨어요. 다녔던 헬스장 중에 제일 기구도 많고 설명도 잘해주십니다😀 
예리쌤하고 PT 진행했는데 처음 운동하는 사람도 나중에 혼자 운동할 수 있도록 기구 사용법 확실하게 알려주십니다. 쌤이랑 운동하고 눈에 띄게 체력이 늘었어요! 기구 무게 올라가는거 보면서 처음보다 많이 발전했다고 느낍니다. 업타운 짱~",상담이 엄청 친절하시구 기구가 많아서 좋았어요 gx도 같이 할 수 있을 것 같아서 좋은 것 같아요!,"최근 헬스장이 많이 생겨서 여러군대 상담받아봤는데 제일 친절하고 자세하게 설명해주시네요~ 기구나 시설도 최신으로 되어있고 안내도 잘 해주셔서 등록 못참아버렸네요!! 코로나 거리두기 하면서 살이 많이 쪄버렸는데 금방 뺄 수 있을거같아요!! 성신여대 근처 헬스장
 고민하시는 주민분들에게 강추드립니다!!👍👍",이사온지 얼마 안되서 근처 헬스장 알아보던 중인데 어렵지 않게 고민 없이 등록했어요 ^_^ 아주 맘에 들어요 !!!!,"트레이너분들도 정말 친절하시고 시설도 좋아서 젊은사람들도 많이 다니고 깔끔합니다
저도 추천받아서 다니는데 만족하면서 다니고 있습니다 ~",시설이깔끔하고 좋습니다,핼스장이 엄청깔끔하고 기구도 좋고 직원분들도 상담하는동안 친철해서 좋네요,"성신여대 근처 헬스장 5곳정도를 돌고나서, 이 곳으로 결정하였습니다. 개인 운동량 : 하루에 30분~ 1시간정도 꾸준히 체력유지 정도만 하는편 입니다, 활용할 수 있는 기구들이 충분히 있고 (너무 많아도 사실 다 사용하지 않기에..) 가격이 합리적이며 시설이 
깔끔한 곳. 이 3가지를 중점으로 보았으며, 가격대비 시설, 편의, 머신 등 이 근처에서 가장 좋은 선택이 아니었나 싶습니다. 이제 다시 운동에 재미 붙이고 잘 다니기만 하면 되겠군요!"
2,물건좋아요,좋아요,좋아요,편리해요,좋아요,새기구로 바뀌어서 좋아요♡♡,좋아요,굿,굿,가격이 싸요
3,좋아요,,,,,,,,,
4,,,,,,,,,,
5,다니기 시작한 지 1년 반. 개인 PT. 앱을 통한 운동과정 정리 수시로 가르쳐주는 트레이너. 혼자 지루하게 하지 않아 좋고. 자세를 바로잡아 주어 체계적 운동하게 됩니다. 적극 권합니다.,"작년 6월부터 시작해서 회원권 1년 만료되고, 이번에 다시 1년 재등록 했습니다. 시설이 깔끔하고 넓어서 좋구요. 트레이너 선생님들 PT하실 때 옆에서 들어보면 친절하게 꼼꼼하게 지도해주시더라구요. 전에 다녔던 헬스장은 좀 과격한 인상을 받았었는데 여기선 그런 부분이 없어서 좋았습니다!",무엇보다 그날 무슨운동할까 고민없이 체계적으로 운동하고 기록할 수있는 슈퍼짐이 제공해주는앱이 있어 좋아요. 하루에 트레이너분들도 2~3번 운동교정 해줍니다. 헬쓰초보들께 강력 추천 합니다~,"출산하고 아이들 키우며 제 몸 챙길생각을 잘 못하고 지냈는데 발목에도 무리가 오고 목-어깨에 담도 오구...ㅠ 매니저님 상담후에 필라테스 1:1로 수업 진행 하게 되었었습니다! 오늘 첫수업 진행했는데 몸도 한층 개운하고목어깨 통증도 덜하네요~~ 차분하게 
수업해주신 이주은 매니저님 앞으로도 잘 부탁드려요^^",운동은 20년만에 하는 거라 그냥 무서웠는데 담당 트레이너까지 배정해 주시고 자세도 바로 잡아주시고... 처음의 어색함과 두려움을 없애주셨어요. 덕분에 잘 다니고 있습니다.,선생님들도 너무 잘봐주시고 멤버십 프로그램이 잘 되어있어서 초보자가 혼자 운동하기에도 너무 좋아요~ 3개월 다녀보고 맘에들어서 6개월 추가 등록했어요!,"시설이 참 좋아요. 친절하고요.
운동기구가 많아요~ 계속 신청합니다.",필라테스 1도 모르는 상태에서 갔는데 하나하나 친절히 상담해주셔서 좋았어요!,시설이 깔끔하고 선생님들도 친절합니다. 운동 기구가 다양해서 기다릴 필요 없이 운동에 집중 할 수 있어서 좋습니다. 보문역에서 가까워서 다니기에 편합니다.,"작년부터 계속 연장해서 다니고 있어요! 
이 근방에서 시설도 제일 좋고 기구도 많고 깨끗해요~~! 선생님들도 다들 친절하시고, 올때마다 기구 설명 받을 수 있는 서비스도 따로 있어서 좋더라고용 ㅎㅎㅎ재연장했습니다 이안쌤 최고에요!!!!👍👍👍👍👍 짱친절"
6,가성비 굿!,,,,,,,,,
7,운동하려구 찾은 곳이네요. 열심히 해서 다이어트 성공하고 싶네요.,괜찮았어요 친절하셨구요!!,가까워서 좋아요,굿,감사합니다,좋아요,엄청난 코치님들이 계십니다.. 최고에욤..,,,
8,꾸준하게 운동🏃‍♂️💪그리고 늘 건강하고 행복하기를 기도한다🙏니야호,"까는글 아니구요. 동네에서 가성비 좋은곳 입니다.
검정으로 전체 인테리서를 해놔서 청소를 안해도 티가 별로안나지만 샤워장 라커룸은 아무리 번거로워도 1일 1회 청소는 꼭 해주셨으면 합니다. 바닥에 옷이라도 떨어질까봐 굉장히 조심스럽고 나와서 신발 신을때 꼭 발을 털어 털들 때고 신발 신어야합니다.
개선 부탁 드립니다.",보이시는데로 청결하진 않아요~! 몸 푸는 스트레칭존아 유독 ㅠㅠ그리고 스트레칭존엔 에어컨 안나오고 좁아서 사람몰리면 살맞닿으면서 몸풀어야해요!! 가성비 좋은 곳 이지만 청결 개인주의 민감하신분들은 힘들수도!! 아래층쪽은 그나마 괜찮은 편이지만 전체적으로 기구 매우 노후됐어요!! 하지만 동네 헬스장 가성비는 🫶🏻🫶🏻굿굿:),"집 주변에 헬스장이 여러개라 많이 고민하다 이곳으로 등록 결정하게 되었습니다.
요새 헬스장 운영프로그램들 다 비슷하니까 거기서 거기라고 생각했는데 선생님이 친절하게 설명해주시는 것도 좋고 gx수업도 선생님, 다니시는 분들 다 열정적으로 하셔서 저도 덩달아 열심히 하게 되는것같습니다",한영훈 선생님 잘생겼어요 !! 자세도 잘 봐주시고 친절하세요!!,"진짜 설명 잘해주시고 좋았습니다. 
사정상 다시 연락을 못드려서 신청을 못했어요.. ㅠㅠ 아무래도 기간이 좀안맞았던것같습니다. 
어떻게 진행되는지 상세하게 설명해주세요~ 전혀 무섭지않고 여자분들 많은것 같았습니다~ 그래서 더좋았고 스피닝도 같이 할 수 있는게 장점인거같아요","영훈쌤 너무 친절하시구ㅠㅠ
쌤이랑 얘기하면서 하니까 뭐랄까 계속 다짐하면서 하게 돼요! 매번 쌤이 더 파이팅 넘치셔서 신나게 운동해서 죠아요 ㅎㅎ",좋아요! 프로그램이 다양해서 선택폭이 넓네요,굿,.
9,좋아요,"휴무가 너무 많아요 공휴일은 무조건휴무
평일에도 9시까지 토.일은 아침에 너무 늦게 오픈함 10시부터 생각보다 별루 ㅠㅠ",굿,굿,,,,,,
