company_id,kind,tidy,various,wide,reasonable,pose,advice,parking,class,GX,care
0,44,39,43,3,24,60,26,,52,3,
1,8,8,10,4,6,11,6,,7,1,
2,54,39,44,22,31,12,25,2,12,17,
3,7,1,2,,4,,1,,,2,
4,30,24,22,7,17,18,15,2,8,1,
5,29,25,11,8,11,15,12,1,10,2,
6,27,13,6,2,6,24,19,1,18,2,
7,,,,,,,,,,,
8,,,,,,,,,,,
9,31,29,19,21,14,16,16,1,16,1,
10,22,15,17,10,27,8,24,,6,7,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,43,28,31,26,18,31,26,3,24,7,
14,,,,,,,,,,,
15,23,26,10,1,10,27,11,4,25,,28
16,,,,,,,,,,,
17,10,2,2,2,,6,6,,3,1,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,20,26,16,2,16,25,11,,21,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,35,32,8,3,14,36,28,,23,,29
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,22,14,11,4,17,21,10,,13,1,
31,14,3,2,,11,17,12,,10,,19
32,,,,,,,,,,,
33,,,,,,,,,,,
34,17,6,1,,6,17,7,,16,,14
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,18,11,9,4,9,11,7,1,9,,9
39,,,,,,,,,,,
40,,,,,,,,,,,
41,,,,,,,,,,,
42,21,12,4,1,1,17,12,1,14,,19
43,,,,,,,,,,,
44,,,,,,,,,,,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,5,5,1,1,2,,,1,,,
49,,,,,,,,,,,
50,57,49,38,19,21,33,25,13,27,10,
51,20,25,21,17,7,10,10,8,3,5,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,8,9,2,,3,10,5,1,9,,3
56,22,22,3,2,3,20,4,2,17,,12
57,,,,,,,,,,,
58,,,,,,,,,,,
59,7,5,3,1,2,1,2,1,1,,
60,,,,,,,,,,,
61,85,92,72,39,54,14,64,26,11,5,
62,76,53,13,,14,47,62,,40,,47
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68,51,28,13,2,9,60,43,3,58,,63
69,14,16,4,2,11,17,13,2,14,,16
70,77,101,92,40,16,45,31,40,16,11,
71,,,,,,,,,,,
72,,,,,,,,,,,
73,,,,,,,,,,,
74,29,21,7,2,9,32,20,,17,,23
75,,,,,,,,,,,
76,8,5,4,1,2,9,4,,10,,10
77,14,14,2,,5,17,5,2,14,,16
78,36,32,12,30,30,46,14,4,45,9,
79,,,,,,,,,,,
80,17,14,8,6,2,6,9,8,9,,3
81,,,,,,,,,,,
82,20,14,2,,5,22,12,3,21,,19
83,,,,,,,,,,,
84,,,,,,,,,,,
85,17,9,2,,6,21,5,4,20,,17
86,,,,,,,,,,,
87,,,,,,,,,,,
88,,,,,,,,,,,
89,19,16,4,2,2,21,7,,15,,15
90,30,31,18,9,13,18,13,6,16,4,
91,6,4,5,2,3,9,5,1,7,,7
92,12,7,1,2,4,11,2,,8,,8
93,85,93,62,31,12,8,44,15,10,4,
94,23,14,1,1,2,24,13,,20,,24
95,,,,,,,,,,,
96,,,,,,,,,,,
97,11,9,,,2,11,5,,10,,8
98,28,22,27,9,4,22,14,,23,4,
99,64,62,23,3,4,86,28,1,71,,71
100,20,23,5,1,3,30,16,1,28,,27
101,24,16,13,13,8,6,8,,13,4,
102,,,,,,,,,,,
103,15,7,,,4,12,5,2,14,,13
104,,,,,,,,,,,
105,29,20,5,2,3,31,23,2,24,,26
106,11,7,4,,1,11,8,1,9,,8
107,,,,,,,,,,,
108,7,6,2,,,7,6,,7,,9
109,71,78,5,25,29,98,28,6,78,,65
110,10,9,3,2,1,13,2,4,12,,13
111,,,,,,,,,,,
112,,,,,,,,,,,
113,,,,,,,,,,,
114,,,,,,,,,,,
115,,,,,,,,,,,
116,47,73,50,38,49,19,30,9,17,2,
117,44,21,28,9,11,35,25,9,25,3,
118,11,12,7,8,3,8,9,2,10,,
119,,,,,,,,,,,
120,36,23,22,13,1,28,11,9,32,13,
121,22,20,8,1,1,22,3,,14,,13
122,,,,,,,,,,,
123,43,34,8,,8,44,4,4,39,,39
124,,,,,,,,,,,
125,9,7,3,1,3,9,7,,8,1,
126,24,11,2,,4,24,19,,20,,19
127,,,,,,,,,,,
128,18,16,7,7,1,18,14,,20,,17
129,,,,,,,,,,,
130,,,,,,,,,,,
131,,,,,,,,,,,
132,19,16,8,3,1,24,11,,20,,20
133,23,15,3,,2,23,19,,23,,17
134,,,,,,,,,,,
135,,,,,,,,,,,
136,15,7,,,4,12,5,2,14,,13
137,,,,,,,,,,,
138,104,,,,,,,,,,
139,,,,,,,,,,,
