company_id,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close
0,05:00,23:50,05:00,23:50,05:00,23:50,05:00,23:50,05:00,23:50,05:00,18:00,,
1,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,09:00,21:00,10:00,19:30
2,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,09:00,19:00,09:00,19:00
3,,,,,,,,,,,,,,
4,06:00,23:30,06:00,23:30,06:00,23:30,06:00,23:30,06:00,23:30,08:00,20:00,,
5,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,09:00,21:00,09:00,18:00
6,06:00,새벽 06:00,06:00,새벽 06:00,06:00,새벽 06:00,06:00,새벽 06:00,06:00,24:00,10:00,20:00,10:00,17:00
7,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,09:00,18:00,,
8,06:00,새벽 01:00,06:00,새벽 01:00,06:00,새벽 01:00,06:00,새벽 01:00,06:00,새벽 01:00,08:00,21:00,,
9,06:00,23:30,06:00,23:30,06:00,23:30,06:00,23:30,06:00,23:30,08:00,22:00,,
10,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00
11,09:30,21:00,09:30,21:00,09:30,21:00,09:30,21:00,09:30,21:00,09:30,13:00,,
12,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,13:00,,
13,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,20:00,10:00,20:00
14,,,,,,,,,,,,,,
15,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,06:00,24:00
19,07:00,24:00,07:00,24:00,07:00,24:00,07:00,24:00,07:00,24:00,09:00,18:00,09:00,18:00
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,00:00,24:00
22,,,,,,,,,,,,,08:00,24:00
23,,,,,,,,,,,,,,
24,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,09:00,19:00,,
25,,,,,,,,,,,,,,
26,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,10:00,17:00,,
27,,,,,,,,,,,,,09:00,22:00
28,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:00,18:00,,
29,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,07:00,17:00,10:00,17:00
30,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,18:00,10:00,18:00
31,00:00,23:00,00:00,23:00,00:00,23:00,00:00,23:00,00:00,23:00,00:00,23:00,,
32,09:30,23:00,09:30,23:00,09:30,23:00,09:30,23:00,09:30,23:00,12:00,15:00,,
33,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,16:00,,
34,09:00,23:30,09:00,23:30,09:00,23:30,09:00,23:30,09:00,23:30,10:00,17:00,,
35,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,10:00,19:00,,
36,09:30,22:00,09:30,22:00,09:30,22:00,09:30,22:00,09:30,22:00,10:00,13:00,,
37,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,10:00,19:00,10:00,19:00
38,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,08:00,17:00,,
39,,,,,,,,,,,,,06:00,23:00
40,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,
42,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,09:00,15:00,,
43,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,11:00,18:00,,
44,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,18:00,,
45,,,,,,,,,,,,,,
46,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,09:00,17:00,,
47,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,
49,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,,,,
50,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,09:00,21:00,09:00,18:00
51,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:00,20:30,09:00,20:30
52,,,,,,,,,,,,,,
53,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,20:00,,
54,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,17:00,,
55,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,16:00,,
56,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,10:00,17:00,,
57,,,,,,,,,,,,,,
58,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,10:00,18:00,,
59,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,20:00,10:00,20:00
60,,,,,,,,,,,,,10:30,23:59
61,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,10:00,20:00,,
62,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,18:00,,
63,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,17:00,,
64,,,,,,,,,,,,,,
65,,,,,,,,,,,,,00:00,24:00
66,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,10:00,18:00,10:00,14:00
67,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,10:00,18:00,,
68,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00
69,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:00,17:00,,
70,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,08:00,20:00,,
71,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,10:00,17:00,,
72,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,13:00,,
73,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,08:00,13:00,08:00,13:00
74,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,09:00,20:00,10:00,18:00
75,,,,,,,,,,,,,00:00,24:00
76,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,08:00,12:00,,
77,,,,,,,,,,,,,,
78,09:30,22:00,09:30,22:00,09:30,22:00,09:30,22:00,09:30,22:00,10:00,13:00,,
79,10:00,23:59,10:00,23:59,10:00,23:59,10:00,23:59,10:00,23:59,10:00,18:00,,
80,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,16:00,,
81,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:00,12:00,,
82,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,10:00,18:00,,
83,,,,,,,,,,,,,09:00,23:00
84,,,,,,,,,,,,,09:00,20:00
85,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,15:00,,
86,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,09:00,18:00,,
87,,,,,,,,,,,,,07:00,22:00
88,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,10:00,18:00,10:00,18:00
89,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,
91,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,15:00,,
92,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,10:00,18:00,,
93,,,,,,,,,,,,,00:00,24:00
94,,,,,,,,,,,,,,
95,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,18:00,,
96,,,,,,,,,,,,,,
97,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,17:00,,
98,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,19:00,10:00,19:00
99,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,10:00,15:00,,
100,,,,,,,,,,,,,,
101,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,20:00,,
102,,,,,,,,,,,,,,
103,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,18:00,,
104,,,,,,,,,,,,,,
105,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,09:00,15:00,,
106,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,10:00,18:00,,
107,06:30,23:30,06:30,23:30,06:30,23:30,06:30,23:30,06:30,23:30,06:30,23:30,,
