id,name,img,grade,lat,lng,phoneNumber,address
0,우노 휘트니스클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_194%2F1441007583046iooqR_JPEG%2F11624174_0.jpg,,37.52721283257035,126.99739403317533,02-790-6776,"서울특별시 용산구 보광로 30 (보광동, 보광시장상가(주))"
1,웰니스짐,,,37.53955800985474,126.98834287231676,02-795-9966,"서울특별시 용산구 회나무로26길 12 (이태원동, 삼원휘트니스)"
2,밸런스 핏,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220314_103%2F1647236979483h90DE_JPEG%2F401B529D-B34D-4DF8-B011-782EA19B9733.jpeg,4.47,37.54457094077433,126.96462727476494,02-703-6377,"서울특별시 용산구 청파로47길 49, 4층 (청파동3가, 캠퍼스프라자)"
3,프라이빗 웰니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_210%2F1441090602837yEVXS_JPEG%2F166460527333719_0.jpeg,,37.53843399338691,126.99847560645958,02-795-4698,"서울특별시 용산구 이태원로 267, 2층 (한남동)"
4,반트짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_283%2F1441032460407HwMK3_JPEG%2F146968527447365_0.jpeg,,37.52094967001578,126.96646715160335,02-749-9994,"서울특별시 용산구 이촌로 200, 301, 305호 (이촌동, LG프라자)"
5,Fit In Cool,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_160%2F1441064511210htqPq_JPEG%2FSUBMIT_1403861124706_33636878.jpg,,37.53384901819828,127.00072583356328,,"서울특별시 용산구 대사관로19길 7, 2층 (한남동)"
6,Beautiful Evolution,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_242%2F1440988019303dYEFA_JPEG%2FSUBMIT_1408423115849_35228324.jpg,,37.52587641376023,126.99495780151668,02-792-4362,"서울특별시 용산구 장문로 74, 3층 (보광동)"
7,에스퍼스널트레이닝,,,37.52331870487139,126.9699262593886,02-797-0324,"서울특별시 용산구 서빙고로 69, 1층 상가27호 (용산동5가, 파크타워아파트)"
8,레브트레이닝,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_32%2F1440998468104jxdnt_JPEG%2F156678638967475_0.jpeg,,37.53371946847233,127.00767636034826,02-796-9600,"서울특별시 용산구 유엔빌리지1길 18, 지하층 101호 (한남동, 디자인플러스)"
9,와가짐,,,37.51846227694899,126.97314792863924,070-4794-6591,"서울특별시 용산구 이촌로 264, 삼익아파트 (이촌동)"
10,더블에이 이촌,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200118_207%2F1579311907160CzHMs_JPEG%2FidqSSGMel5n9Ohcpu580PF5Z.jpg,,37.52107358934256,126.96553081315894,02-790-2244,"서울특별시 용산구 이촌로 192, B1층 (이촌동, 제일맨션)"
11,파프짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180125_297%2F1516856371018rw4Ej_JPEG%2Fc6gHoBEj0GwUloqSaZ0iTQzA.jpg,,37.535265942106456,127.00796845427438,02-2138-7011,"서울특별시 용산구 독서당로 97, B2층 (한남동, 다음소프트)"
12,후핏,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180704_76%2F1530682629369P0xpC_PNG%2FWwxaYTLHa9EjUu0w_O-Fwr0d.png,,37.51866181025013,126.97421852568252,02-797-7665,"서울특별시 용산구 이촌로 274, 2층 201호 (이촌동)"
13,스포짐 한남,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220720_79%2F16583152547758H5zP_JPEG%2F%25C7%25D1%25B3%25B2%25B5%25BF_%25C7%25EF%25BD%25BA.jpg,4.92,37.53357738628296,127.0057888268531,02-795-0117,"서울특별시 용산구 독서당로 70, 현대리버티하우스 B1층 (한남동)"
14,판크 트레이닝클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211218_63%2F1639810772421r7gxW_JPEG%2FKakaoTalk_20211218_155159626_01.jpg,4.11,37.53399502400464,127.00383023251835,02-790-8770,"서울특별시 용산구 한남대로 59, 남한빌딩 (한남동)"
15,라온휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220624_126%2F16560008609061YsQX_PNG%2F1656000763624.png,4.88,37.53967957868628,126.9587819359846,02-704-4766,"서울특별시 용산구 효창원로 132, 지하2층 (효창동)"
16,짐나우 퍼스널트레이닝,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180730_160%2F1532931114931NNiCB_JPEG%2Fpj7Qx4EdsfX-tCW_qfthWhvX.jpg,,37.54363258548216,126.99996589424627,02-749-8487,"서울특별시 용산구 한남대로42길 33, 1층 (한남동)"
17,진핏퍼스널트레이닝,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220217_79%2F1645077636078lGHDn_JPEG%2F%25C1%25F8%25C7%25CD_%25285%2529.jpg,4.45,37.535565052112815,127.00362529816906,02-790-4293,"서울특별시 용산구 한남대로 76, 한남프라자 4층 (한남동)"
18,망고짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200515_53%2F1589519451375WPOvL_JPEG%2Fk4hoH4EG7wh3AF_CzLRCayna.jpeg.jpg,,37.54347367701733,126.96985492015467,02-792-1031,"서울특별시 용산구 한강대로 282, 3층 (남영동)"
19,F45 트레이닝 한남,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210528_181%2F1622167925421laOJg_JPEG%2F8xC5VpV1S16inpJeAu_qE4uY.jpeg.jpg,4.82,37.53357738628296,127.0057888268531,,"서울특별시 용산구 독서당로 70, 현대리버티하우스 4층 404호 (한남동)"
20,바디컨설팅,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211025_296%2F1635125055803KWYBs_PNG%2FHGZj5b_0AtNF1iKn2FHxLJA3.png,5.0,37.545420148737165,126.96942635304524,070-5066-6149,"서울특별시 용산구 한강대로 304, 신아빌딩 3층 (갈월동)"
21,내셔널짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201102_190%2F1604290434464uAWFq_JPEG%2Fye1D0k-K0erLVIlrZ1uviILg.jpg,,37.53827568361393,126.96447297522222,,"서울특별시 용산구 백범로 341, A동 302호 (원효로1가, 리첸시아 용산)"
22,리콥 웰니스 프리미엄,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220328_43%2F1648434656149Ioh8C_PNG%2F2022-03-28_11%253B29%253B42.,5.0,37.53353807550013,127.00362256497338,07044078385,"서울특별시 용산구 한남대로21길 27, 지하1층 (한남동)"
23,살롱드핏,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210422_153%2F1619068028367M3V4U_JPEG%2F0-ZAfU3fM_ErTWNkkD6OOHYV.JPG.jpg,,37.53492806150056,126.98739937938116,,"서울특별시 용산구 이태원로15길 21-1, 지하2층 (이태원동)"
24,센트럴짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220725_278%2F1658746117902FsvAP_JPEG%2F%25BA%25B9%25BB%25E7%25BA%25BB_%25C1%25A6%25B8%25F1%25C0%25BB_%25C0%25D4%25B7%25C2%25C7%25CF%25BC%25BC%25BF%25E4.jpg,5.0,37.5258966894809,126.9647677029786,,"서울특별시 용산구 서빙고로 17, 업무동 지하1층 101~109호 (한강로3가)"
25,서울시티크루,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220426_222%2F1650961155058rz8vQ_JPEG%2Fgroup_web.jpg,,37.52837455242083,126.9963236774708,02-6081-0200,"서울특별시 용산구 보광로 46, 용호빌딩 3층 302호 (보광동)"
26,맹그로브 짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220517_142%2F1652757157683o3AY1_JPEG%2FIMG_9135.,,37.53526207975995,127.00685059473228,,"서울특별시 용산구 한남대로20길 47-9, 지하1층 1호 (한남동)"
27,업핏 한남,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220209_40%2F1644393724347Xewjn_PNG%2F01_L%25C3%25FE_%25C4%25AB%25B5%25F0%25BF%25C0%25C1%25B8.png,,37.535598041185246,126.99546989165394,02-2677-1214,"서울특별시 용산구 이태원로 223-5, 유니언타운 (한남동)"
28,식스에이엠,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220508_161%2F1651990756511OguNc_JPEG%2FKakaoTalk_20220508_151419278.jpg,,37.5429162154115,127.00014453697464,,"서울특별시 용산구 한남대로42나길 2, B1호 (한남동)"
29,크로스핏 남산,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220627_29%2F1656291318917znh8W_JPEG%2F68401052-F22E-449C-A2DC-2D8A805A0747.jpeg,,37.54134237638595,126.9711163887284,,"서울특별시 용산구 한강대로72길 11-18, 17-17 (남영동)"
