company_id,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close
0,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
2,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,09:00,18:00,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,06:00,23:30
5,06:30,22:00,06:30,22:00,06:30,22:00,06:30,22:00,06:30,22:00,06:30,16:00,,
6,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,17:00,,
7,,,,,,,,,,,,,,
8,08:00,22:30,08:00,22:30,08:00,22:30,08:00,22:30,08:00,22:30,08:00,15:00,,
9,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,,
10,,,,,,,,,,,,,,
11,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,15:00,08:00,15:00
12,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,10:00,17:00,,
13,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,10:00,20:00,10:00,20:00
14,,,,,,,,,,,,,00:00,24:00
15,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,09:00,18:00,,
16,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,,
17,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,15:00,,
18,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,10:00,18:00,,
19,06:30,22:00,06:30,22:00,06:30,22:00,06:30,22:00,06:30,22:00,06:30,15:00,,
20,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00
21,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,10:00,16:00,,
22,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,18:00,,
23,,,,,,,,,,,,,,
24,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,10:00,18:00,10:00,18:00
25,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,11:00,16:00,,
26,,,,,,,,,,,,,00:00,24:00
27,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,18:00,10:00,18:00
28,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:00,16:00,,
29,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,09:00,21:00,09:00,21:00
