company_id,review0,review1,review2,review3,review4,review5,review6,review7,review8,review9
0,응대 잘 대해주셔서 만족스러웠어요~~,좋아요,,,,,,,,
1,^^,ㅁ,ㅁ,좋아요,,,,,,
2,"용산으로 이사오고 나서 어느 헬스장을 다녀야할지 고민 많았는데 지인 추천으로 밸런스 핏을 다니게 되었어요!!! 다른 곳에 비해 너무 깔끔하구 무엇보다 지상이라 너무 좋아요!! 
부담없이 편하게 다니기 아주 좋네요!!! 
완전 추천합니다아🧡","처음에 1:1PT샵 다니다가 개인 운동을 못해서 퍼블릭 센터로 옮기려고 집 근처, 회사 근처 유명한 헬스장 5개를 상담했는데, 전부 마음에 안 들어서 포기하던 찰나에!! 친구 추천으로 상담만 받으려고 갔다가 상담한 곳 중에 제일 꼼꼼하게 봐주셔서 등록했어요!
저한테 맞는 트레이너를 배정해 주셔서 처음에 30회 등록하고 50회, 30회 총 110회 받으면서 처음엔 빈 봉도 못 들 정도로 백지로 시작해서 지금은 혼자서 운동할 정도로 많이 늘었습니다!
예전엔 운동을 싫어해서 PT 하는 날 아니면 안가고, 1년 회원권 끊고 한 달만 다니고 했었는데, 처음 상담할 때 운동 목적이나 원하는 방향을 잘 얘기해서 스트레스 안 받고 부상 없이, 회원권 정지 없이 2년 가까이 운동에 재미 붙이고 다니고 있습니다! 굿굿!!","관장님 PT 30회받고, 3개월만에 10kg 감량했어요 !! 운동귀찮아해서 개인운동 한번도 한적없고 오직피티로만 뺐어요ㅎㅎ 살이 너무 쪄서 충격받고 작년말 찾아갔는데, 정말 잘 한 선택이되었습니다. 그래서 이젠 이사가서 지하철타고와야하는데도 고민없이 재
등록했어요~ 피티 여기저기에서 진짜 많은 시행착오겪었는데, 이렇게 스트레스 덜 받으면서 다이어트성공한 적 처음이라 기쁩니다 리모델링 후 시설도 넘 좋아져서 만족이에요. 피티고민하시는분들 꼭 등록하세용 이런거 원래안적는데 진짜 좋아서 추천합니다!",좋아요,깨끗하네요 좀 더 넓었으면 합니다,Good,쾌적한 헬스장이에요~,운동다니는 곳 좋아요!,,
3,다시 방문할 의사 100% ㅎㅎ,좋아요,,,,,,,,
4,만족함,굿 좋더라구여~!,만족함,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,지존!,,,,,,,,,
11,,,,,,,,,,
12,좋아요,,,,,,,,,
13,워니쌤 조아요짱짱맨 벌써 재등록이에영~!~!~!~!~! 사랑해~!~!~,스포짐 한남점 조아요 쾌적하구요!! 기구들도 다양해요! 그리고 혜원쌤 진짜 너무 착하고 재밌고 덕분에 운동 재밌게 하고 있어요! 감사해용💛♥️💛♥️,스포짐한남점에서 지영 트레이너에게 퍼스널 트레이닝받고 있어요. 친절해요. 재밌어요. 보디빌딩 조금 알거 같아요.,"1년 회원권 사용하면서 종종 PT 수업도 듣고, 필라테스와 리포머 레슨도 들었었는데 수업 퀄리티와 프로그램이 잘 짜여져 있어서 항상 만족스러웠습니다 ☺️ 새해 들어서 허리랑 목 디스크 치료 및 체력을 키울겸 정준영 선생님 PT 세션을 다시 재등록했는데 
설명도 정말 자세히 해주시고 제 피지컬의 상태와 특성에 맞게 잘 세션구성을 짜주셔서 행복하게 운동중입니다! 시설도 좋고 장비들도 잘 관리되어 있는것 같아서 추천해요 👍🏻",일 끝나고 동선 때문에 한남 스포짐으로 첫 방문하고 운동 다니고 있는데 선생님들 모두 친절하시고 들어가는 순간부터 한 분 한 분 인사 크게 해주셔서 너무 좋아요 ㅎㅎ 운동하다 중간에 모르면 질문 했을때 동작 끝까지 봐주시고 체형에 맞는 운동법도 추천해주셔서 좋았습니다!!!!!👍👍,"오늘 무료피티체험 다녀왔는데, 시설도 좋고 깔끔하고 오늘 수업 해주신 선생님이 알아듣기 쉽고 자세히 설명해주셔서 너무 좋았어요 !! ! 완전 추천입니당 🥰","직원분들이 친절하게 인사해주시고, 회원들한테 운동을 잘 알려주시는 모습에 믿고 등록했습니다👍👍👍","1년째 pt 수업을 듣고 있습니다.
허리 디스크때문에 등록했는데
수업도 알차고 자세도 정확히 잘 봐주시는 정준영 선생님 좋아요!",센터만 봤는데 친절히 응대해주셔서 좋았습니다!,"원래 다니던 곳이 있었는데 이곳으로 옮기고 현재 두달째 다니고 있습니다.
두달동안 크게 불편한 점 없었고, 전체적으로 만족! 시설과 기구들이 깔끔하고 직원분들도 모두 친절합니다.
쾌적하게 운동하기 좋아요💪🏻"
14,"시설이 깔끔하고 운동기구가 다양합니다.
직원분들이 친절하게 안내해주셔서 감사했습니다.",운동에 대한 1도 몰라서 진짜 용기내서 상담예약 했는데 자세히 알려주시고 도와주셔서 너무 감사합니다^^ 진짜 열심히 운동하고 건강한 모습을 찾아 보겠습니다 ^^ 🥺,"넓은 공간 + 신상 기구 + 프라이빗한 느낌! 이번에 리뉴얼되었다고 하는 광고보고 상담받았었는데 상담도 너무 친절하게 잘 해주셨어요!! 리뉴얼특가로 진짜 저렴하게 회원권 등록하고.. 아직까지는 신년빨로 열운동중입니다. 기구도 다 반짝반짝해서 뭔가 심리적으로 운동
이 더 잘되는 기분..ㅎㅎㅎㅎ 트레이너님도 너무 친절하시고 그 특유의 프라이빗한 느낌이 있어서 너무 좋은 것 같습니다",그냥 웨이트 트레이닝하기 딱 좋아요 . 공간구성이나 기구들도 운동하기 적합하달까... 파워랙이 3개나 있어서 만족스러운... 트레이너도 쓸데없이 참견안하고 매너가 좋네요. 회원들도 그렇고 추천~,"시설이 깔끔하고 운동기구들이 아주 많았어요!! 
선생님도 굉장히 친절히 티칭해주셔서 아주 만족합니다!",무인결제 시스템이 되어 있어서 결제 후 입장하기가 편했어요! 시설도 굉장히 깔끔하고 운동하기도 굉장히 좋았어요👍,꼼꼼히 알려주시고 기구도 다양하면서 쾌적하게 운동하기 좋아요~ 사장님에겐 죄송하지만 저만 알고싶은곳!,굿,시설 너무 좋아요 ><,좋아요~
15,"1. 리뷰는 처음이지만, 개인운동 등록은 세 번째! 일단 입장하면 인사두 잘해주시고, 운동 횟수도 체크해주시고, 기기 청소&방역도 잘 해주심 2. PT와 필라테스를 같이 할 수 있고, 헬스도 마음껏 할 수 있어서 좋음 3. 필라테스는 뒷타임이 없으면 2-3
0분 추가 수업ㅠㅠㅠㅠ 그 날 몸 컨디션에 따라서 루틴 바로바로 수정해주시고, 동작 할 때마다 폭풍 칭찬해주셔서… 자신감 뿜뿜하면서 운동 가능!! ㅎㅎ 처음 시작할 때랑 끝날 때 직접 쫙쫙 스트레칭&마사지 해주셔서 몸은 힘들지만 결국 더 건강해지고 유연해질 
수 있음!! 한시간 운동하면 “아오늘 나 운동했구나”내내 느낄 수 있어서 뿌듯뿌듯 ㅎㅎ 4. 회원들끼리 기기 사용 순환도 잘 되는 듯!! 귿귿",필라테스 꾸준히 다니고 있는데 선생님들 수업 퀄리티 너무 좋아요! 체계적인 수업 예약 시스템도 좋습니다~,"집 근처 헬스장을 알아보다가 이용하게 되었습니다. 우선 깨끗하고 깔끔한 시설은 기본이고, 기구 관리, 정리도 잘 되어있습니다! 저는 헬스시설만 이용하였는데, 헬스 공간이 넓직한 것은 아니지만, 개인이 무궁무진하게 활용하는 데에 따라 부족함없이 다 잘 갖추어져 있는
것 같습니다!! 있을거 다있는 ! 그리고 라온 효창점에서 무엇보다 만족스럽고 추천하는건 헬스 PT입니다! 저는 김민국 TR❤️께 배웠는데, 일대일 관리는 물론 질의응답, 정성스런 설명이 가득한 수업까지 정말 많이 신경써주시고 함께 열정 보태주셨습니다. 입으로
만 다이어트외치고, 운동을 좋아하지만 꾸준히 못하고 늘 궁금한게 많은 저에게 너무 좋은 선생님이셨습니다! 제가 당장 pt 연장을 못해 너무 아쉬운데, 배운거 잊지않고 꼭 다시 같이 운동할게요!","기존 등록 끝나서 연장 하면서 영수증 후기 써봅니다~:) 필라 샘들도 너무 친절하시고 매니저님도 한분 한분 성함 불러주시면서 인사해주세요👍 필라 끝나고 좀 부족한거 같은 날은 런닝이나 웨이트도 좀 더 하다가고 매우 만족스럽습니다!😊 전 써보지는 않았는데 운동 
끝나고 족욕하는 분들도 더러 계시더라구요~",2년째 다니고 있어요!! 처음엔 집근처라서 왔는데 생각보다 너무 괜찮네요. 크진 않지만 있을건 다 있고 다니기 편해요! 위치도 너무 좋고 선생님들도 너무 친절하시네요. 앞으로도 꾸준히 다녀서 몸 만들어 보렵니다!:)👍,재등록만 이미 여러번 했어요ㅎㅎ 대표님이 항상 친절하게 대해주셔서 참 좋아요! 필라테스 강사님도 수업하시고 제 몸에 대한 문제점과 어떤 식으로 고쳐나가야할지도 자세하게 말해주시는 편이라 도움이 많이 되고 있습니다~ 필테 등록하면 헬스장도 무료로 이용할 수 있어서 그 점도 너무 맘에 들어요!,"그룹 필라테스 4개월차입니다! 쌤들도 자세나 운동강도 잘 봐주셔서 꾸준히 다녔고 몸이 굳거나 아팠던 허리나 어깨 등도 통증이 많이 좋아져서 만족스러워요!! 상담할때도 친절하게 해주셔서 저 같은 소심이들도 부담스럽지 않구ㅎㅎㅎ 저는 필라테스 위주도 다녔지만 필라테
스 등록하면 헬스장도 무료로 이용할 수 있어서 가끔 유산소 운동하러 가기도 했습니다. 모르는 운동기구는 여쭤보면 친절히 가르쳐주셔서 좋았구요. 효창공원역에 가까이 사시는 분들이면 추천합니다☺️","재등록하면서 영수증 리뷰 남겨요 :)
필라테스 그룹으로 듣고 있는데 선생님들 모두 친절하시고 필라테스 수업 끝나고
유산소나 웨이트도 더 하고 갈 수 있다는 점이 좋아요! 👍🏻👍🏻🤭","다른 헬스장이랑 다르게 상담을 친절하게 해주셔서 필라 20회랑 PT 10회 등록해서 한달동안 다녔어요! 피티쌤께서 매일마다 식단 피드백 주셨고 답장도 엄청 빠르게 해주셨어용! 자세교정이랑 다이어트 겸해서 필라도 같이 한거였는데 필라쌤이랑 진짜 재밌게 수
업했습니다!! 양아치 동네 헬장이랑 차원이 다릅니당ㅜㅜ건강하게 7키로 빼고 갑니다ㅎㅎ",상담 친절하고 상세하게 해주셨어요. 필라테스 수업듣고 있는데 기구별로 다양하게 할 수 있어서 좋은 것 같아요. 열심히 배워보고 잘 맞으면 또 연장하려구요!
16,"I’ve been training in Seoul for around 10 months so this is the 2nd trainer I’ve been using. I like the variety in exer
cises to target muscles in different ways and the focus on making sure I’m safe and the alignment is correct. Huey
is very nice and thoughtful to help me do my best without getting hurt or doing something I’m not ready for. ...",,,,,,,,,
17,"살을 좀 빼야하는데 여름도 엄청 더워지고 ㅠㅠ 적게먹는거로는 이제 살이 빠지는느낌은 아닌거같아서 운동이 필요한거 같은거에요 혼자서는 도저히 운동 끝까지 안할 것 같아서 피티 신청했네요. 트레이너분 친절하시고 피드백도 빠르시고 다 좋았어요. 기구도 깨끗하게 관리 
잘 되어 있는 편이였고 마모된것고 없고 내구도도 좋았어요. 공간도 쾌적하고 운동 초보자한테 괜찮은거 같아서 리뷰남겨요^^",여긴 운동을 강압적으로 따라해! 무조건 해! 1셋트 더 해! 이런식이 아니라 운동을 재미를 느끼게 해주고 코어부터 튼튼하게 해줘서 몸의 밸런스를 잡아주는식의 접근을 하십니다. 건강하고 재미있게 운동하니 너무 행복해요,더 늦기전에 여름준비 시작하려고 합니다!! 대표원장님이 일단 경희대학원 박사 출신이라고 하시던데 정말 열정열정!! 열정도 대단하시고 기초지식이 풍부하신거 같아서 조금더 믿음직 스럽게 운동 시작 할 수 있을거 같아요~! 잘 부탁 드릴게요!!,"나이가 드니 진짜 운동안하면 나중에 힘들어질것 같아서 왔어요. 지금도 걷는건 괜찮은데 뛰는건 숨이 너무 차고 10분 뛰는것도 힘들어서 5년 뒤가 무서운거에요. 갑자기 운동할려니 어떻게 해야할지 모르겠고 시작이 어려워서 피티 그냥 했어요. 완전 기초부터 알려주셔
서 좋았고 탄탄해지는 기분이였어요. 선생님 친절하시고 말투도 배려 엄청 해주셔서 좋았네요","상담할때 친절한 설명과 함께 자세도 꼼꼼하게 잘 봐주시고, 트레이닝 받을 때도 티칭 넘 잘 해주셨어요! 지쳤던 하루의 마무리는 여기 와서 힐링하고 가는 낙으로 살아요 ㅋㅋ","요즘 자세가 엉망이라 처음으로 pt 상담하러갔다가 등록까지 했습니다 ㅋㅋㅋㅋㅋ 다른데는 비교도 없이 전문지식이 풍부하신 트레이너 선생님들보고 바로 등록했습니다 :) 제 생활습관에 딱 맞춘 안성맞춤 트레이닝으로 진행 시켜주시는 선생님 감사합니다 열심히 잘 따라 
가볼게요!",필라테스는 해봤는데 헬스는 아애 처음이라 조금.. 무서웠?는데 뚝딱이같은 저를 잘 알려주셔서 너무 감사해요 ㅋㅋㅋㅋ주변에 피티 받은 사람들 후기들어보니까 제가 가장 꼼꼼하게 배우고 있더라구요! 뿌듯합니다!,수업 커리큘럼에 비하면 가성비에요.. 운동하는 과정이 너무 재미있고 몸이 변하는것뿐만 아니라 건강해지는 느낌입니다! 좋아요 ㅎㅎ,"살빼려고 등록했는데 저의 정신상태까지 건강하게 만들어 주시는 우리쌤♡
덕분에 몸도 건강 멘탈도 건강해짐을 느낍니다.
살이 빠지는건 물론이고 운동하는 자체가 즐거워졌고, 운동하는 시간이 저에겐 힐링이에요🥰",피티는 너무 영업쟁이라는 인식이 있었는데 꼼꼼히 알려주시고 프로의식 짱.. 앞으로도 잘 부탁드려요!
18,"운동이 싫고 어려웠던 저에게 재미를 불어넣어준 곳!! 건강과 다이어트를 위해 무작정 피티를 시작했는데, 체지방도 많이 감량되고 근육도 늘고 있어요. 굶어서 요요도 많이 왔었는데, 지금은 잘 먹으면서 건강히 감량중입니다!! 트레이너 선생님들도 너무 좋으시고, 지치지 않게 늘 화이팅해주시고👍 헬스장이 2층,3층인 점도 좋고 시설도 깔끔그자체예요.✨ 피티 재등록하면서 리뷰남깁니다😻😻 오래오래 해주세요오오오💙",여기 정말 좋네요. 허리가 아파서 운동을 시작했는데 쌤이 너무 친절하시고. 신기하게도 허리가 안아픕니다. 감사해요!!,,,,,,,,
