company_id,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close
0,,,,,,,,,,,,,00:00,24:00
1,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,18:00,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,10:00,18:00,,
5,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,07:00,19:00,10:00,18:00
6,,,,,,,,,,,,,,
7,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,15:00,,
8,,,,,,,,,,,,,06:00,23:00
9,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,13:00,06:00,13:00
10,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,,,,
11,06:30,23:00,06:30,23:00,06:30,23:00,06:30,23:00,06:30,23:00,10:00,14:00,,
12,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,,,,
13,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,10:00,16:00,,
14,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,20:00,10:00,20:00
15,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00
16,06:00,22:30,06:00,22:30,06:00,22:30,06:00,22:30,06:00,22:30,09:30,13:00,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
