company_id,kind,tidy,various,wide,reasonable,pose,advice,parking,class,GX,care
0,9,1,6,4,6,3,2,,,2,
1,10,24,,,2,,,7,,,
2,,,,,,,,,,,
3,29,16,10,8,,20,19,6,15,20,
4,,,,,,,,,,,
5,12,8,3,1,4,8,6,,6,1,
6,127,97,58,50,69,23,48,6,18,13,
7,38,29,13,8,14,41,27,1,33,1,
8,32,27,22,14,19,2,13,4,2,7,
9,7,3,4,,2,10,1,,4,,1
10,,,,,,,,,,,
11,11,8,1,2,,5,5,,6,1,
12,12,4,1,,,12,6,,11,,10
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,8,11,4,2,1,9,6,1,4,,8
19,,,,,,,,,,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,85,68,21,7,50,89,15,,76,,32
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
