company_id,kind,tidy,various,wide,reasonable,pose,advice,parking,class,GX,care
0,,,,,,,,,,,
1,100,99,87,49,52,30,84,2,28,21,
2,20,6,4,4,8,3,3,2,4,2,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,84,79,40,28,33,41,39,2,20,4,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,19,4,7,1,8,8,8,,2,5,
9,6,1,5,1,1,2,1,5,1,2,
10,,,,,,,,,,,
11,,7,,,7,,,3,12,,
12,,,,,,,,,,,
13,13,3,1,1,2,10,3,1,7,,
14,,,,,,,,,,,
15,56,48,33,25,17,37,36,5,30,5,
16,,,,,,,,,,,
17,6,10,7,7,1,,3,2,2,,
18,,,,,,,,,,,
19,13,3,3,2,1,10,6,,8,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,201,170,131,76,87,90,110,14,79,49,
25,29,6,7,1,14,22,22,1,18,1,
26,,,,,,,,,,,
27,14,6,7,5,8,18,10,3,12,4,
28,,,,,,,,,,,
29,17,15,12,7,2,14,4,,14,3,
30,,,,,,,,,,,
31,40,15,7,,18,41,9,1,41,,21
32,83,84,71,,49,31,48,6,24,,
33,,,,,,,,,,,
34,17,23,16,14,7,22,5,,21,7,
35,16,22,18,17,6,15,13,1,14,,
36,185,154,138,143,83,24,152,26,17,33,
37,,,,,,,,,,,
38,83,98,88,46,47,29,39,8,17,3,
39,,,,,,,,,,,
40,,,,,,,,,,,
