id,name,img,grade,lat,lng,phoneNumber,address
0,골든짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220723_112%2F1658552237261lhsBv_JPEG%2F1657796401790-1.jpg,4.91,37.50072293348916,127.10372743078744,,서울특별시 송파구 가락로 94 (석촌동)
1,짐스휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211215_44%2F16395789350258NtL5_JPEG%2F14-6.jpg,4.54,37.50380802235763,127.11119050958109,,"서울특별시 송파구 가락로 168 (송파동, 부성빌딩)"
2,슈나이더 짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220715_141%2F1657877037075xxb2o_JPEG%2FKakaoTalk_20220715_182251453.jpg,4.93,37.48981863857966,127.12090561895945,,서울특별시 송파구 동남로 110 (문정동)
3,백세청춘,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_121%2F1441083334404gn62h_JPEG%2F166667424736210_1.jpg,4.57,37.518884947913484,127.0963904851533,02-2042-0902,"서울특별시 송파구 올림픽로35길 112, 장미아파트 비상가 5층 (신천동)"
4,우정휘트니스클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220726_25%2F16588381325436oJrc_JPEG%2FKakaoTalk_20220726_205953154_26.jpg,3.81,37.493198942427554,127.14364350895868,449-2118,서울특별시 송파구 오금로 519 (거여동)
5,짐퍼스트 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220714_54%2F1657766256560pEhgN_JPEG%2F%25C7%25D0%25BB%25FD-%25C0%25CC%25BA%25A5%25C6%25AE_%25281%2529.jpg,4.25,37.52805456772968,127.11548436222422,488-4002,"서울특별시 송파구 토성로 78 (풍납동, 정민빌딩)"
6,더드림 피트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191118_297%2F1574087499167fr0m1_JPEG%2FSliDrM2Xj1qfbw8OfH0VPrYq.jpg,4.95,37.50921019348103,127.10267678849073,,"서울특별시 송파구 백제고분로41길 43-5, 신천빌딩 2층 (송파동)"
7,크로스핏거여 앤 탑스포츠클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_206%2F14409949796026k23Q_JPEG%2FSUBMIT_1399966876604_13151025.jpg,,37.49283039516925,127.14215988107995,,"서울특별시 송파구 오금로 508 (거여동, 스타빌딩)"
8,스카이 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200514_181%2F1589441751265TPGua_JPEG%2Fa_ixrmDSmc2sfiqNvBC3yS1D.JPG.jpg,,37.49745551126235,127.13255641560293,,"서울특별시 송파구 오금로 410, 4층 (가락동)"
9,피트니스비엠,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220303_39%2F16463000437284ibdI_JPEG%2F%25BA%25F1%25BF%25A5_%25C0%25E1%25BD%25C7_%25281%2529.jpg,4.5,37.51156669806804,127.07613119424289,02-512-7721,"서울특별시 송파구 올림픽로 76, 12층 1201,1202호 (잠실동, J타워)"
10,NC 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201013_125%2F16025589507812l4Qm_JPEG%2FkErQZRIqMSLAXO8493opYOvH.jpg,4.62,37.48107872660993,127.12353104759417,,서울특별시 송파구 새말로8길 20 (문정동)
11,커브스가락클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210716_287%2F16264108703706qPMk_PNG%2FAXmcJK_e74WbO1PkipkunO9p.png,,37.495019457657044,127.12795435421289,,"서울특별시 송파구 동남로 198, 3층 (가락동)"
12,커브스 잠실클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_120%2F1441005450164KecAY_JPEG%2F166177444226126_1.jpg,,37.50953570710824,127.08048057797222,02-415-3070,"서울특별시 송파구 올림픽로12길 23, 2층 (잠실동)"
13,카인드짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220407_39%2F1649324859713oLYAw_JPEG%2F%25BC%25BE%25C5%25CD%25BB%25E7%25C1%25F8.jpg,4.67,37.515232642425225,127.11178722024962,,"서울특별시 송파구 백제고분로 501, 지하2층 (방이동)"
14,튼튼해짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201117_206%2F1605589806513S5QdR_JPEG%2FbJ1mQ5F0RIVxkZJm5Qf6_G3y.jpg,,37.5089745477624,127.12450512217607,070-4408-0797,"서울특별시 송파구 위례성대로20길 27, 2층 (오금동)"
