id,name,img,grade,lat,lng,phoneNumber,address
0,골든짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220723_112%2F1658552237261lhsBv_JPEG%2F1657796401790-1.jpg,4.91,37.50075069,127.1067117,,서울특별시 송파구 가락로 94 (석촌동)
1,짐스휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211215_44%2F16395789350258NtL5_JPEG%2F14-6.jpg,4.54,37.50378424,127.1140872,,"서울특별시 송파구 가락로 168 (송파동, 부성빌딩)"
2,슈나이더 짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220715_141%2F1657877037075xxb2o_JPEG%2FKakaoTalk_20220715_182251453.jpg,4.93,37.48981972,127.1237673,,서울특별시 송파구 동남로 110 (문정동)
3,백세청춘,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_121%2F1441083334404gn62h_JPEG%2F166667424736210_1.jpg,4.57,37.51788276,127.1018028,02-2042-0902,"서울특별시 송파구 올림픽로35길 112, 장미아파트 비상가 5층 (신천동)"
4,우정휘트니스클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220726_25%2F16588381325436oJrc_JPEG%2FKakaoTalk_20220726_205953154_26.jpg,3.81,37.49309696,127.1465182,449-2118,서울특별시 송파구 오금로 519 (거여동)
5,짐퍼스트 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220714_54%2F1657766256560pEhgN_JPEG%2F%25C7%25D0%25BB%25FD-%25C0%25CC%25BA%25A5%25C6%25AE_%25281%2529.jpg,4.25,37.52803382,127.11841,488-4002,"서울특별시 송파구 토성로 78 (풍납동, 정민빌딩)"
6,더드림 피트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191118_297%2F1574087499167fr0m1_JPEG%2FSliDrM2Xj1qfbw8OfH0VPrYq.jpg,4.95,37.50919153,127.1055653,,"서울특별시 송파구 백제고분로41길 43-5, 신천빌딩 2층 (송파동)"
7,크로스핏거여 앤 탑스포츠클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_206%2F14409949796026k23Q_JPEG%2FSUBMIT_1399966876604_13151025.jpg,,37.49286218,127.1450418,,"서울특별시 송파구 오금로 508 (거여동, 스타빌딩)"
8,스카이 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200514_181%2F1589441751265TPGua_JPEG%2Fa_ixrmDSmc2sfiqNvBC3yS1D.JPG.jpg,,37.49743574,127.1354341,,"서울특별시 송파구 오금로 410, 4층 (가락동)"
9,피트니스비엠,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220303_39%2F16463000437284ibdI_JPEG%2F%25BA%25F1%25BF%25A5_%25C0%25E1%25BD%25C7_%25281%2529.jpg,4.5,37.51156036,127.0791814,02-512-7721,"서울특별시 송파구 올림픽로 76, 12층 1201,1202호 (잠실동, J타워)"
