company_id,review0,review1,review2,review3,review4,review5,review6,review7,review8,review9
0,여기서 운동한지 3년째입니다 다른 헬스장도 많이 가보았지만 여기만큼 기구가 계속 들어오는 곳은 못봤습니다 제빙기 🧊도 생기고 스텐딩 숄더프레스도 생겼습니다 완전 추천해요👍,"작년 7월에 와서 벌써 6번째 재등록입니다.
건강이 안좋았는데 운동후 근력이 늘어나니 컨디션이저절로 좋아져서 외근이 많은 업무에도 큰도움이 됩니다.
체형에 맞게 운동 잘 가르켜줍니다.","4번째 재등록 한 사람의 리뷰입니당😀 ✔️이전에도 헬스기구가 다양해서 신기했는데 꾸준하게 다른 기구들 들이셔서 새롭게 운동하고있어요. ✔️헬스장 가기까지가 어렵지만 막상 헬스장가면 운동하는 헬스 쭈구리인데도 재등록 했어요 ㅎㅎ ✔️ PT-사람마다 체형이 
모두 다르잖아요 그거대로 맞춰서 운동 알려주시고 기능강화운동도 알려주셔서 몸 균형이 맞춰져가는게 좋아요 ✔️얼음도 있어요! 더운 여름 시원하게 운동할 수 있어요:) 골든짐 다니는거 추천드려용😀",친구따라 일일권으로 방문했습니다! 등 머신이 많아 등 운동만 한시간 넘게했네요!! 깔끔하고 선생님들 친절합니다 또 올것같네요^^,"늘 친절하고 꼼꼼하게 잘 알려주십니다:)
2달 반동안 열심히 준비해서 저번달에는 바디프로필도 만족스럽게 찍었네요 
언제나 주저없이 재등록하게되는 피티!","30회 PT 끝나서 추가로 20회 끊었습니다😙 처음 수업 받기 전에는 양쪽 발목, 오른쪽 다리 쪽이 너무 안좋았는데 윤호선생님이 꾸준히 해결책 찾아주시고 운동법도 다양하게 알려주셨어요! 알려주시는 운동 나름 열심히 했고, 지금은 발목 균형?이 좋아졌는지 
발목 삐끗 안하고 몸 붓기도 많이 줄어들었어요! 무엇보다 어깨 말린게 많이 펴졌다는거!!😆😆 pt수업 진짜 후회 안됩니다!! 짱장👍👍 앞으로 더 열심히 할게요ㅎㅅㅎ","아무래도 업무강도가 높은 곳에서 근무하다 보니 어깨와 목 부근, 허리가 항상 아프고 다리는 매일 밤 부어있습니다. 윤호쌤께 상담 받았고 세세하고 이해하기 쉽게 알려주시려는 모습 믿고 피티 시작하게 되었습니다. 헬스는 아예 처음이라 기구 사용법도 잘 모르고 어색하
기만 한데... 내 자세가 맞는건지 저는 계속 반신반의 하지만 쌤이 정확하고 좋은 길로 갈 수 있게 이끌어 주시는 것 같습니다. 피티하고 난 후의 제 몸이 달라지는 게 느껴지거든요. 윤호쌤 추천합니다.","선생님과, 어느덧 2년째 레슨을 이어가고 있습니다
허리통증 좋아졌고 몸도 많이 유연해져 만족하고 있 습니다","유정민 관장님과 1달 PT를 해본 후, 재등록을 할 정도로 현재 몸 상태에 맞는 운동을 잘 알려주십니다. 최근에는 재활 운동과 웨이트를 병행하면서, 직업병이였던 팔꿈치나 등이 많이 호전도 되고, 몸이 많이 회복되어서, 운동의 재미를 다시 찾아가고 있네요. 시
설 관리도 잘 해주시고, 최신 운동 기구들도 계속 입고시켜주셔서, 쾌적하게 운동 잘 하고 있습니다.",기구가 다양하니 운동할 맛 납니다. 운동하는데 자세도 봐주셔서 더 감사했습니다. 👍👍
1,"랙이 많은 데도 이번에 4층에 새로 파워랙 보충돼서 운동하기 정말 편하고 좋아요 운동기구 많아서 운동 할맛 납니다 다른데에서도 했었는데 기구웨이팅이 너무 심해서 운동 못하는 경우가 많았는데 많이 쓰는기구는 몇대씩 있네요 특히 랙이 맘에듭니다 시설도 깔끔하고 
청결해서 좋아요 ~","원래 헬스를 하다가 이사를 해서 어딜 다닐지 고민하다가 결제하고 첫 날이였는데 꼼꼼히 알려주시고 기구도 엄청 다양해서 더 열심히 할 수 있었어요!!! 기본적인 지도 외에 자세도 교정해주시고 올바르게 운동할 수 있게 도와주시네요! 바로 결제 해버렸어요 ㅎㅎㅎ... 앞
으로도 잘 부탁드립니다!",친구가 여기서 살을 쫙 뺀걸 보고 저도 이곳에 오게 되엇는데요 ~ 관장님이 친절하시고 전문적인 지식으로 운동과 식단관리를 해쥬셔서 벌써 살이 3키로나 빠졋어요 ㅋㅋㅋ 저보고 다른친구도 등록햇네요 ㅎ 여름을 위해 달려가 볼게요! 비키니가쟈😤😤😤,"관장님과 선생님들 모두 정말 친절하시고, 관장님 경력이 오래되셔서 재활 목적으로 운동하기가 좋고 부상 없이 pt 받고 운동할 수 있어서 만족랍니다. 다른 헬스장에선 잘 못보는 스쿼트 기계도 있어서 무릎 부담 없이 스쿼트 할 수 있는것도 만족스럽습니다. fancy함은 조금 덜할지 몰라도 운동 제대로 하기에는 충분히 좋은 실용성 위주의 헬스장이라 추천합니다^^",헬스장 여러군데 꼼꼼히 조사해보고 심사숙고 끝에 짐스헬스에서 PT 등록을 하게되었는데 관장님께서 매번 직접 성심성의껏 봐주시고 체형에 알맞은 지도를 친절하게 잘 해주세요~~ 강력추천드립니다,군입대 앞두고 열심히 PT 받고 있어요🙂 헬스는 처음이라 올바르게 배워야할 것 같아서 찾아왔는데 잘 가르쳐주셨습니다:) 덕분에 자세가 많이 좋아졌어요!,경찰공무원 실기시험 준비로 한 달 했는데 기초체력 많이 좋아졌어요. 관장님이 체력 약한 부분 꼼꼼히 챙겨주셔서 더 많이 좋아질 것 같아요.,한번씩 이용하는 곳인데 깨끗해서 좋습니다~~,벌써 짐스에서 피티 시작한지 어언 3년이 지났네요. 처음에는 다이어트로 시작해서 관장님이 짜주신 식단과 운동으로 건강하게 10kg이상 체중감량도 하고 이제는 헬창이 되어 헬스안하면 일주일이 허전합니다. 건강한 삶을 위해 짐스 추천이요 ~!,문정동에서 혼자 운동할때는 무게 증량에만 중심을 두고 무리해서 운동하여 운동을 하고 난 후에 통증도 느꼈었는데 이번에 선생님께 교육을 받으면서 부상방지와 운동부위별 스트레칭과 운동 끝나고 케어까지 배우고 운동을 하게 되었습니다. 그 이후로는 운동 마치고 통증도 줄어들었고 증량에도 더 큰 효과를 봤어요 ㅎㅎ 정말 감사드립니다!
2,"🏃‍♀️까악~ 슈나이더짐에서 멋진이벤트를!!! 올 여름휴가는 슈나이더짐에서 찜~♡ 친절한 직원들은 물론 쾌적하고 여러종류의 운동기구들이있어 넘넘 좋아요~ 특히 슈필라테스신설로 활기가 더욱 넘친답니다! 코로나19로 힘들고 어려웠을텐데 잘 이겨내신것같아 다행
..^^ 앞으론 꽃길만 걸으세요~~ 🤩 슈나이더짐의 대박을위해 응원합니당~~~👍","기구가 상당히 좋고 청소도 열심히 하셔서 헬스장이 깔끔해요
그리고 샤워실 시설도 깔끔하고 좋아요",처음 방문했는데 기구가 다양해서 운동하기 정말 좋네요~쌤들도 다들 친절하시고요~^^강추합니다~,헬스장 다니면서 몸이 많이 건강해 졌습니다 :),운동기구가 다양하고 깔끔해서 운동하기 좋습니다.,친절하고 기구가 다양하고 운동할수있는 좋은공간입니다~♡함께해요~^^,관장님이 시설에 대한 애정도가 높으신 편이라 관리나 수리가 빠릅니다. 문정동에서 하루 두번 방문 가능한 몇 안되는 곳중 하나!,시원하게 운동할 수잇어요^^,깔끔하고 기구가 다양해요!,"친절한 상담 및 기구도 충분하고,
PT와 필라테스도 강추입니다"
3,좋아요~~~,이 동네에서 제일 싼것 같아요. 공간이크지는 않습니다.,매년 이용하고 있는데 너무 좋아요~!,굿,항상 친절한 트레이너분들과 너무 재밌게 수업 해주시는 스피닝 강사들 덕분에 즐겁게 운동하고 있습니다~ 벌써 3번째 연장이네요,좋아서 계속 등록해서 운동중입니다,상가 5층에 위치하고 넓은곳에서 환기가 잘되는 좋은곳이랍니다,몇년째 이용중인데 좋아요,3년 동안 재미있게 운동하고 있습니다,좋은 환경에서 운동할 수 있어 좋습니다.
4,"시설이 깔끔하고 좋아요! 또 사장님이 엄청 친절하세요👍
혹시 피티 받으실 분들은 허서원 트레이너님 추천드려요! 저도 급하게 살 빼려고 등록했는데 친절하고 꼼꼼하게 잘봐주셨어요! 선생님 덕분에 즐겁게 운동하고있습니다! 살도 많이 빠져서 만족스러워요😄",강정윤 pt 트레이너님과 함께 운동 진행했습니다. 운동하기 전에 살이 많이 쪄서 과연 내가 다이어트를 제대로 할 수 있을지 걱정 많이 했는데 트레이너님이 운동뿐만 아니라 멘탈까지 제대로 케어해주셨습니다! 물론 식단도 꼼꼼히 잘 알려주셨고 운동 자세를 포함해 운동 중간중간에 질문해도 성실히 답해주셨습니다. 비록 아직 pt가 다 끝나지 않았지만 남은 기간 동안 트레이너님과 함께 열심히 하여 목표까지 열심히 달려 나가겠습니다!! 더블짐 파이팅! 강정윤 트레이너님 파이팅! 나님 파이팅!,"서영택 선생님께 pt 받았습니다. 
처음 피티 받아보는데 운동 자세도 상세히 설명해주시고 식단도 잘 피드백 해주십니다. 덕분에 운동에 흥미가 생기게 되었어요! 여성 및 피티존이 따로 마련되어있어서 편하게 이용할 수 있는게 장점인거 같아요! 첫 15회는 운동에 흥미를 이끌 수 있었은데 추가적인 20회 동안은 신체변화를 시각적으로 느끼고 싶네요!!","운동의 운자도 모르며 만성피로로 고생하던 제가 어쩌다 더블짐휘트니스로 와서 예쁜 몸과 강철체력을 얻게 됐어요 처음 등록할 때 피티도 같이 받으며 감 익혔었는데 현명한 선택이었던 거 같습니다 여성 전용층이 있어 특히 여성 입문자들은 운동하는데 부담 없이 신나게 운
동할 수 있어요 남성분들 입장에서도 이용자가 두 층으로 분산되어 한곳에 몰리지 않으니 좋을 거라 생각돼요 돈을 내고 이용하는 입장인데 되려 감사한 마음이 들 정도로 정말정말 좋은 센터입니다 감사한 마음을 담아 제가 사랑하는 시설 사진과 운동 후 땀에 쩔어있는 제 
셀카 투척합니다",근처 헬스장 중에서 가장 기구도 다양하고 시설도 깔끔해서 꾸준히 다니고 있습니다. 😊 선생님분들도 다 친절하시고 운동하다가 모르는 부분도 잘 알려주세요! 시설 좋은 헬스장에서 편안히 운동 다니고 싶으신 분들이라면 추천합니다 🤗,"저는 서영택 트레이너님한테 피티 받고있는데 20회+ 15회 받을정도로 친절하고 친근감있게 잘알려주십니다 아는정보도많으시고 매주토요일마다 좋은 정보도 공유해주세요 집구석나가기싫어하는 돼지를 트레이너님덕분에 갱생하고 사람됐습니다. 좀만더 마음먹고 운동더 
열심히할게요! 그리고 이번에 시설도싹바꾸고 기구도추가되서 운동종류도많고 머하고싶은거 안기다려도될정도로 너무좋습니다 시설도깔끔하고 사람들이 너무좋아요 아주가끔가다 1층에 버거킹에서 햄버거사먹기도하고 2층 카페에서 음료도사먹고다양하고 좋습니다",저는 프로모션으로15회 저렴한 금액에 등록했습니다! 평균PT금액보다 훨씬 저렴한 수준이였고 클래스는 평균이상입니다~강정윤코치님한테 수업중인데 현재2주정도 바짝배워서 운동중인데4키로정도 감량했습니다! 무리 하지 않게 천천히 운동량 늘려주시고 체형분석해서 자세잡아주시고 엄청 친절합니다! 시설도 기구도 새것이라깨끗하고 쾌적해서 좋습니다. 2개층이라 붐비지 않아서 좋고 직원들 모두 친절하셔서 좋아요!,"처음 센터의 문을 열고 들어갔을때 한눈에 보이는 인테리어와 많은 운동기구들 그리고 친절한 선생님들의 상담 이렇듯 첫인상부터가 너무나도 좋아서 오랫동안 다니고 있답니다. 대부분의 센터들이 한층만을 사용하다보니 많은 사람들로 북적거려 요즘 같은 코시국에 불안할 수도
있는데 이곳은 운동 공간들이 분산이 되어 있어 이러한 불안함이 조금은 덜한 것이 정말이지 큰 장점이 않을까 싶습니다. 그리고 퇴근 후 집안에서 꼼작도 하기 싫어하는 내가 그래도 주 2회라고 운동을 가려고 하는건 갈때마다 그날의 컨디션, 건강상태등을 물어보고 그에
 맞게 운동을 너무나도 열심히 가르쳐주시는 문호진 피티선생님 덕분이지 않나 싶습니다. 샘덕분에 느림보처럼 천천히 가지만 꾸준히 운동을 가는것 같습니다. 감사합니다~",1월에 등록했는데 이제야 리뷰작성하네요 공간도 넓고 시설도 너무 좋아요 친절히 안내해주셔서 무료피티까지 받았습니다ㅋ 더 열심히 운동해야겠어요ㅋ 분위기가 전체적으로 밝아서 좋아요ㅋ,처음 리뷰를 작성해보는데요 저는 채희연 트레이너님에게 피티를 받고있습니다! 허리를 다쳐서 직장을 그만두고 건강과 재활목적으로 상담을 받고 시작했습니다 우선 너무 친절하시고 운동하는 방법과 근육을 어떻게 사용하는지 자세를 어떻게 해야 하는지 하나하나 섬세하게 알려주셔서 너무너무 운동을 즐겁게 하고있습니다! 헬스장은 깨끗하고 다양한 기구들이 많아서 정말 운동 할맛이 나더라구요! 우리 더블짐휘트니스 정말 최고입니다!
5,"시설이 좋고 깔끔해서 비쌀까봐 쫄았는데, 할인도 많이 해주시고 트레이너 분들도 대체적으로 친절하셨어요! 샤워시설도 완전 깔끔해요 ㅎㅎ 완전 추천드립니다!!!","매니저님이 상담도 잘해주셔서 좋았습니다! 다른 트레이너 쌤들도 친절하세요! 피티 받을때 몸 상태에 따라서 난이도도 잘 조절해주세요 대충하시는 트레이너 쌤들 아무도 없으시고 자세도 잘 봐주세요!또 시설이 깔끔하고 기구 배치도 좋아요! 덤벨이나 원판들도 계속 정리하시는지 항상 깔끔하게 정렬되어 있더라고요👍🏻
정착하기 좋습니당ヽ( ᐛ )ノ",단연코 인근에서 시설과 인력면에서 가장 좋은 헬스장 입니다. 시설은 깔끔하고 관리가 잘 되고 있으며 수리 교체 등 불편함이 없고 9명의 전문적인 트레이너님들이 근로하고 있습니다. 또한 무조건 저렴한 헬스장만 찾는게 답은 아님을 짐퍼스트에서는 보여주고 있습니다. 기구의 다양함은 물론이고 샤워 시설 및 편의물품 등의 제공면에서도 만족스럽습니다. 과거 저는 허리를 크게 다쳐 1년간 요양해도 통증이 있었는데 짐퍼스트에서 이 분야의 전문가이신 이정현 트레이너님과 운동을 하며 통증이 거의 사라졌습니다. 효과가 보이니 운동에 취미가 생겨 생활패턴도 운동 중심으로 변했고 허리부상이후 끝났다고 생각한 인생이 바디프로필도 도전해보고 싶은생각이 들 정도로 좋아지고 있습니다. 운동을 시작하고자 한다면 짐퍼스트를 적극 추천합니다!,"풍납동으로 이사오면서 헬스장 다닐려고 많이 알아보고 왔는데, 잘 알아보고 온것 같네요.
엄청 쾌적하고 기구 상태도 매우 좋아서 잘 관리되고 있다는 생각이 드네요~^^ 
풍납동에서 헬스장 찾고 계신분들께 추천 드립니다",짐퍼스트에서 최시영 선생님과 운동을 시작하고 아픈 다리가 많이 나아졌습니다. 평소 파스를 무릎에 붙이고 살았는데 무릎근육이 조금씩 단련되어 파스를 붙이지 않고 삽니다. 나이가 들어갈수록 관절에 통증이 많이 생겼는데 운동을 시작하고 점점 줄어들고 있습니다. 나이가 들수록 운동이 필수적이라는 것을 운동을 시작하고 몸소 느끼고 있습니다. 앞으로도 짐퍼스트에서 건강한 삶을 유지하기 위한 운동을 계속 하려고 합니다.,너무 더워요.. 리모델링하고 온습도 관리가 더 안되는듯. 탈의실도 여럿이 드라이기쓰면 너무 더워요. 습도는 그렇다 쳐도 온도는 너무한듯,시설이 매우 깔끔하고 친절합니다.. 잘 이용하겠습니다..,천국의 계단이라 불리는 기구도 있어서 너무 좋았습니다. 그 뿐만 아니라 기구들이 다양해서 덩달아 할 수 있는 운동이 다양해져서 좋았습니다.,쌤들이 다들 넘 친절하시고 짐이 깔끔해서 조아요,"깨끗하고
항상 친절해요~~"
6,"첫 PT라 기대반 걱정반이었는데 제 체력에 맞게 운동량도 잘 조절해 주시고 제 체형에 개선 필요한 부분도 자세히 설명해주셨어요!
운동 갈때마다 세심하고 친절히 알려주셔서 너무 기분 좋게 운동 받고 오는거 같아요 ㅎㅎ 
남현이 선생님 너무 감사합니다!","첫 상담도 여러가지 측면에서 꼼꼼하게 해주시고, 피티 수업도 제 체력에 맞춰서 조금씩 강도를 높여서 해주셔서 정말 좋았습니다! 헬스 기구나 운동 방법 전혀 몰랐는데, 자세, 효과 등 꼼꼼하게 봐주셔서 혼자 운동하는 습관도 조금씩 생기고 있어요 !! ㅎㅎ 아직 수업 초기지만 꾸준하게 해서 근량 뽝! 올릴 생각입니다 ㅎㅎ 남현이쌤 감사합니다 :D",이미애선생님한테 피티 50회이상 받고있어요! 매번 엄청 꼼꼼하게 운동 가르쳐주시고 신경써주셔서 어깨아팠던것도 많이 나아지고 자세랑 체력 엄청 좋아졌어요! 너무좋아요 운동 더 열심히 할게요~~!🥺🔥,"처음 받는 PT에 구린 체력ㅠㅠ을 가지고 있어서 걱정했는데 현재 몸 상태가 어떤지 알려주시고 그에 맞게 수업 구성해 주셨습니다. 자세도 꼼꼼히 봐주시고 친절하셔서 더 열심히 운동하게 되네요!
남현이 트레이너선생님께 받고 있는데 평소 자세 습관이나 식단 등도 지속적으로 피드백 받을 수 있어서 좋습니다.",헬스 PT 몸 망가지고 처음 시작했는데 진짜 시작하길 잘 했단 생각 무조건 들어요 !저는 남현이트레이너선생님에게 열심히 받고있는데 다들 고민하지마시고 당장 자기관리시작합시닷 🫣🫡🫡 글구 제 몸 상태에 대해서 알게되서 더더욱 좋은 것 같아요 친절하시구 세세하게 알려주셔서 더 좋아용 🤩🤩,"더드림 여자 선생님들 모두 친절하시고 수업도 체계적으로 해주십니다. 산후 다이어트로 딱 15키로 감량했네요 ^^ 습관이 잘 잡혀서 좋아요. 체지방 감량하고 득근하고 싶으신 분, 구석구석 통증도 같이 없애고 싶으신 모두에게 추천드려요!",저는 남현이 선생님이 담당해주셨어요. 처음으로 PT 받아보는거라 엄청 긴장했었는데 부담스럽지 않게 친절하게 봐주셨어요. 제가 기구 트레이닝을 지속적으로 할수없는 상황이라고 하니 맞춤으로 꾸준히 써먹을수있는 운동들로 다양하게 알려주시고 계속 옆에서 동기부여 해주셨어요. 자세도 꼼꼼히 봐주시고 일상생활에 적용할수있는 다이어트 꿀팁도 많이 알려주셔서 덕 많이 봤어요☺️ 제가 아주 심각한 몸상태였는데 꾸준히 운동하도록 도와주셔서 너무 좋았습니다. 전문적인 지식도 많으시고 친절하셔서 너무 좋았어요😊😊,남현이 선생님께 피티 받고있는데 너무 친절하시고 잘 알려주세요! 운동 처음이라 걱정 많이했는데 다음 수업땐 뭐할건지도 알려주시고 자세도 잘 잡아주시고 무엇보다 설명도 엄청 꼼꼼히 잘 해주십니당 🥰,피티 선생님들 다들 친절하시고 상담 받으러 갔을 때도 제 체형이나 인바디에대해 자세히 알려주셨어요 ㅎㅎ 그리고 수업도 친절하게 잘 알려주시고 물어보면 다 답해주시고 너무 좋아요 ! 저에게 필요한 운동과 기구 사용법에 대해 잘 알려주십니다 !,운동에 관심 1도 없었는데 여기 다니고 이제 흥미가 생기는 중이예요 ☺️ 쌤들도 친절하시고 무엇보다 전문적인 지식도 많이 가지고 계시고 그만큼 노력도 하시는 것 같아서 믿고 다녀요 ㅎㅎ ! 앞으로도 잘 부탁드려요 !! 강추 추츄 !!!!!🤍
7,굿,,,,,,,,,
8,저도 울아들도 대를 이어 온가족 이용합니다.관장님 친절하시고 잘 지도해주시네요.,친절하고 좋아요,,,,,,,,
9,로이쌤 정말 친절하게 상담 잘 해주시고 항상 친절하게 응대해 주시네요 ^^ 센터 뷰도 이쁘고 운동하기 정말 좋은 곳이고 특히 키 성장에 도움을 주는 코멘트 해주셔서 감사하고 척추측만증 정보도 알려주셔서 운동하는데 도움이 많이 됩니다,"12층이라 그런지 시설도 깔끔하고 너무 좋아요!
사우나 좋아하는데 사우나 시설도 건식 습식 둘 다 갖추어져있고 파우더룸도 쾌적해서 운동 끝나고 집가서 더 씻을 필요가 없어용
앞으로 운동 더 열심히 해보겠습니다!","1.평소 궁금해하던 곳이었고 프로모션을 한다고하여 시설을 둘러보기위하여 방문하였습니다. 2.첫방문임에도 인포메이션에서 봄선생님께서 반갑게 맞아주시며 등록하고싶어 왔다고하니 시설을 먼저 둘러보라하시며 락커룸과 운동시설이 있는곳을 보여주셨습니다. 3. 락커룸이
깔끔하고 샤워시설과 사우나시설까지 있어 무척마음에들었습니다. 4. 핵심인 운동기구가있는 헬스장은 매우넓고 탁트인전망이고 헬스기구도 잘 구비되어있어 운동을 재밌게할수 있어보였습니다. 5. GX룸도 매우크고 오픈되있어 수업없을때는 자유롭게 요가등을 할수 있
도록 되어있었습니다. 6. 시설도마음에 들고 프로모션으로 pt도 많이받을 수 있을것 같아 6개월 등록을 마쳤습니다. 7. 다른분들도 부담없이 오셔서 시설둘러보시고 좋은기회에 운동시작하셨으면 좋겠네요!^^","운동을 아예 처음이라 너무 두근두근 했는데 
직접 와서보니까 시설도 너무 깨끗하고 시야도 확트이고 시설은 일단 너무 좋구요 상담해주시는분도 너무나 친절하셔서 낯선곳인데 기분좋게 상담받고 열심히 운동하기로 했습니다!!!","처음엔 지상높은곳에 있는 헬스장이라 가기 시작했는데 이제는 동윤쌤 (로이쌤??) 보고 갑니다 ㅎㅎ 벌써 몇명째 소개 해드렸는지 모르겠어요 저만 알고싶은 분이지만 …. 자세를 너무 잘잡아주시고 어떤 부분을 강화해야 자세가 잘잡히는지 전문적으로 너무 잘알려
주셔서 일할때 자세도 너무 좋아지고 근육도 많이 생기고 체지방도 너무 만ㅎ이 줄어서 주변에서 다들 살 많이 빠진것같다고 보는 사람마다 ㅇㅒ기하세요 믿고찾는 동윤쌤 최고임 짱ㅇㅇㅇㅇ",가격이 합리적이고 종합운동장에서 가까워서 접근성도 좋습니다! 친절하게 상담해주시고 운동할때 뷰도 좋아서 오래 다니고 싶어요~~~,"로이 (신동윤) 쌤이 짜 주신 2주간 바디 프로필 준비용 피티로 체지방 15퍼를 근손실 없이 8퍼까지 뺐어요. 또한 바프 준비 요령, 식단, 자세 등 모두 다 종합적으로 친절하고 파이팅 넘치게 지도해주셔서 굉장히 만족스러운 결과물을 얻었어요. 바프 준비중이고 열심히 배울 자세만 있다면 고민할 것 없이 등록해서 운동 목표를 달성해보세요! 건투를 빕니다~",등록하기전 센터 여러 군데 투어하고 비엠으로 결정하게 되었는데요...지하가 아니어서 더 쾌적한 느낌이 들어 좋았고 상담도 친절하게 해주시고 과하게 권유하지 않으시는 점이 맘에 들었어요~pt쌤들도 여러 분 계신데 볼 때마다 다들 열심히 수업하시더라구요~특히 저를 담당해주시는 신동윤쌤은 항상 에너지가 넘치셔서 좋은 기운받으며 수업하고 있어요. 개인역량과 컨디션에 따라 알맞은 강도로 체계적으로 운동할 수 있게 해주십니다. 난생 처음 등록한 헬스장인데 데스크 직원분도 친절하시고 pt쌤도 좋으셔서 넘 선택을 잘했다 싶어요~^^ 초초보 헬린이도 운동에 재미붙일 수 있게 해준 곳이네요~!,오픈때부터 다녔어요. 뷰가 좋아요.,"처음에 뷰 보고 반해서 등록했다가 피티 수업도 듣게 되었는데 너무 좋아요~! 실력있는 로이 선생님 수업이 너무 알차고, 인포 계신 분들도 전부 친절하세요. 기구도 다양하게 구비되어 있고, 후 진짜 맑은 날 아침에 가면 공복 유산소 할 맛 나는 곳!"
