company_id,kind,tidy,various,wide,reasonable,pose,advice,parking,class,GX,care
0,,,,,,,,,,,
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,,,,,,,,,,,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,15,10,4,3,2,9,10,1,8,3,
14,6,10,8,4,6,3,2,1,2,,3
15,,,,,,,,,,,
16,,,,,,,,,,,
17,12,2,1,,,12,13,,15,,10
18,,,,,,,,,,,
19,44,34,24,10,4,32,13,13,41,19,
20,38,10,3,,4,41,30,,31,,34
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,121,118,76,27,25,146,112,15,132,7,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,11,17,13,14,4,9,11,,3,,
28,,,,,,,,,,,
29,,,,,,,,,,,
