id,name,img,grade,lat,lng,phoneNumber,address
0,우노 휘트니스클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_194%2F1441007583046iooqR_JPEG%2F11624174_0.jpg,,37.52719632,127.0002892,02-790-6776,"서울특별시 용산구 보광로 30 (보광동, 보광시장상가(주))"
1,웰니스짐,,,37.53955882,126.9912773,02-795-9966,"서울특별시 용산구 회나무로26길 12 (이태원동, 삼원휘트니스)"
2,밸런스 핏,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220314_103%2F1647236979483h90DE_JPEG%2F401B529D-B34D-4DF8-B011-782EA19B9733.jpeg,4.47,37.54458416,126.9675639,02-703-6377,"서울특별시 용산구 청파로47길 49, 4층 (청파동3가, 캠퍼스프라자)"
3,프라이빗 웰니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_210%2F1441090602837yEVXS_JPEG%2F166460527333719_0.jpeg,,37.53849875,127.0011331,02-795-4698,"서울특별시 용산구 이태원로 267, 2층 (한남동)"
4,반트짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_283%2F1441032460407HwMK3_JPEG%2F146968527447365_0.jpeg,,37.52094967,126.9664672,02-749-9994,"서울특별시 용산구 이촌로 200, 301, 305호 (이촌동, LG프라자)"
5,Fit In Cool,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_160%2F1441064511210htqPq_JPEG%2FSUBMIT_1403861124706_33636878.jpg,,37.53383872,127.0036378,,"서울특별시 용산구 대사관로19길 7, 2층 (한남동)"
6,Beautiful Evolution,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_242%2F1440988019303dYEFA_JPEG%2FSUBMIT_1408423115849_35228324.jpg,,37.52592797,126.9978543,02-792-4362,"서울특별시 용산구 장문로 74, 3층 (보광동)"
7,에스퍼스널트레이닝,,,37.52371135,126.9723515,02-797-0324,"서울특별시 용산구 서빙고로 69, 1층 상가27호 (용산동5가, 파크타워아파트)"
8,레브트레이닝,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_32%2F1440998468104jxdnt_JPEG%2F156678638967475_0.jpeg,,37.53364208,127.0104619,02-796-9600,"서울특별시 용산구 유엔빌리지1길 18, 지하층 101호 (한남동, 디자인플러스)"
9,와가짐,,,37.51902912,126.9761337,070-4794-6591,"서울특별시 용산구 이촌로 264, 삼익아파트 (이촌동)"
10,더블에이 이촌,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200118_207%2F1579311907160CzHMs_JPEG%2FidqSSGMel5n9Ohcpu580PF5Z.jpg,,37.52112456,126.9683855,02-790-2244,"서울특별시 용산구 이촌로 192, B1층 (이촌동, 제일맨션)"
11,파프짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180125_297%2F1516856371018rw4Ej_JPEG%2Fc6gHoBEj0GwUloqSaZ0iTQzA.jpg,,37.53531764,127.0107932,02-2138-7011,"서울특별시 용산구 독서당로 97, B2층 (한남동, 다음소프트)"
12,후핏,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180704_76%2F1530682629369P0xpC_PNG%2FWwxaYTLHa9EjUu0w_O-Fwr0d.png,,37.51869558,126.9771079,02-797-7665,"서울특별시 용산구 이촌로 274, 2층 201호 (이촌동)"
13,스포짐 한남,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220720_79%2F16583152547758H5zP_JPEG%2F%25C7%25D1%25B3%25B2%25B5%25BF_%25C7%25EF%25BD%25BA.jpg,4.92,37.53359915,127.0086982,02-795-0117,"서울특별시 용산구 독서당로 70, 현대리버티하우스 B1층 (한남동)"
14,판크 트레이닝클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211218_63%2F1639810772421r7gxW_JPEG%2FKakaoTalk_20211218_155159626_01.jpg,4.11,37.53399014,127.0067133,02-790-8770,"서울특별시 용산구 한남대로 59, 남한빌딩 (한남동)"
15,라온휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220624_126%2F16560008609061YsQX_PNG%2F1656000763624.png,4.88,37.53977757,126.9617685,02-704-4766,"서울특별시 용산구 효창원로 132, 지하2층 (효창동)"
16,짐나우 퍼스널트레이닝,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180730_160%2F1532931114931NNiCB_JPEG%2Fpj7Qx4EdsfX-tCW_qfthWhvX.jpg,,37.54364631,127.0028701,02-749-8487,"서울특별시 용산구 한남대로42길 33, 1층 (한남동)"
17,진핏퍼스널트레이닝,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220217_79%2F1645077636078lGHDn_JPEG%2F%25C1%25F8%25C7%25CD_%25285%2529.jpg,4.45,37.53556149,127.0065494,02-790-4293,"서울특별시 용산구 한남대로 76, 한남프라자 4층 (한남동)"
18,망고짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200515_53%2F1589519451375WPOvL_JPEG%2Fk4hoH4EG7wh3AF_CzLRCayna.jpeg.jpg,,37.54349021,126.9727401,02-792-1031,"서울특별시 용산구 한강대로 282, 3층 (남영동)"
19,F45 트레이닝 한남,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210528_181%2F1622167925421laOJg_JPEG%2F8xC5VpV1S16inpJeAu_qE4uY.jpeg.jpg,4.82,37.53359915,127.0086982,,"서울특별시 용산구 독서당로 70, 현대리버티하우스 4층 404호 (한남동)"
20,바디컨설팅,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211025_296%2F1635125055803KWYBs_PNG%2FHGZj5b_0AtNF1iKn2FHxLJA3.png,5,37.54542627,126.9723205,070-5066-6149,"서울특별시 용산구 한강대로 304, 신아빌딩 3층 (갈월동)"
