company_id,review0,review1,review2,review3,review4,review5,review6,review7,review8,review9
0,,,,,,,,,,
1,,,,,,,,,,
2,맨날 지나가다가만 보다가 들어와서보니 훨씬크고 기구가 많아서 등록했습니다 지상이고 깨끗해서 좋습니다ㅎ,"지혜쌤이랑 20회 수업하고 재등록 했습니다 >.< 편두통 유발자 라운드숄더가 넘 좋아졌고, 골반 틀어져 있던 것도 많이 나아졌어요. 자세를 꼼꼼하게 봐 주시고 잘 알려주셔서 따라하기 편합니다(운동은 안 편하지만.. ㅠㅠ)! 각자 몸 상태에 맞게 운동시켜 주시는 게 특히 좋았어요! 저는 골반 어깨가 안좋아서 이쪽 운동을 집중적으로 많이 했고, 정말 많이 좋아졌다고 느꼈어요. 갈 길이 멀지만.. ㅎㅎ
그리고 꼭 피티 안하더라도, 헬스장 시설도 좋고 매트운동 공간, 샤워실 다 넓고 깨끗해서 혼자 운동하기도 좋아요~!",친절하십니다,"클럽인줄알았습니다ㅋ
지상이라 깨끗하고 분위기가 넘좋아요",혜화역 근방 최고로 시설 좋은 헬스장이라 생각함 다만 단점은 가격이 사악...ㅜㅜㅜ 근데 대체제가 없어서 그냥 여기 계속 다니는중,"6개월 전만 해도 운동에 운자도 몰라서 체력,근력 부족한것만 가득이었는데 ㅠㅠ 슈퍼스타에서 지혜쌤께 생에 첫 피티 받구 너무너무 너무 좋아서 연장해서 여전히 운동 열심히 하는중이에용 ~ 지혜쌤께서 개인마다 가지고 있는 체형 체크 잘 해주신 다음에 보완할 부분 꼼
꼼하게 상담하고 식단이랑 운동방향이랑 계획 잡아주세용 ! 수업도 재밌게 진행 해주셔서 수업 나갈 맛 나용 ㅋㅋ 지혜쌤 덕분에 운동하는데 재미도 붙고 목표도 생겼고, 런닝머신말고는 다른 기구는 사용도 할 줄 몰랐던 제가 스스로 운동 할 수 있게됐어용 :) 심지어 눈
에 띄게 변화해가는 제 몸과 인바디를 보며 같이 기뻐해주시고, 늘 같이 화이팅 해주셔서 너무 감사해용 ㅎㅎ 생에 첫 피티였는데 최고의 스승님을 만나버렸넹?ㅋㅋㅋㅋㅋ지혜쌤 진짜 최고🥺❤️",일하는 시간이 고정적이지 않은 편이라 자주 시간이 바뀌는데도 항상 친절하게 스케줄 최대한 맞춰주셔서 감사해요ㅠㅠ 지혜쌤이 운동 자세 잘 봐주시면서 어떤 부분에서 잘 안되는지 어떤 부분을 중점으로 해야할지 잘 알려주시고 열정적으로 잘 가르쳐주셔서 믿고 계속 운동하려구요! 지혜쌤 감사합니당!!!!,좋아요,"Замечательный зал в центре около станции 혜화! Много машин,очень чисто, и сотрудники все вежливые:) брала 20 уроков у тренера 패원 - хороший, квалифицированный тренер. Всем рекомендую этот зал☺️",좋아요
3,헬스장좋아요,운동하기좋아요,굿!,운동하기좋아요,갓성비 너무 좋아효 ㅠㅠ,괜찮아요 !,9시-16시 이용권 좋아요. 샤워실이 아쉬운 것 빼고는 운동하기 괜찮습니다.,굿,넓고 시설좋고 사람이적다 운동하기에 최적 샤워장이 좀 구식인거만 빼면 다좋음,
4,굿,굿,굿,관장님 너무 친절하시고 기구사용법도 잘 알려주시네요,매장 깔끔하고 기구도 새것같이 관리 잘하십니다^^,시설 깨끗해서 너무 좋네요,시설 깨끗하고 친절하셔서 좋아요ㅎㅎ 새로 필라테스룸도 리모델링되서 매우 좋습니당 !! 열운 할거에요,리모델링해서 그런지 시설이 너무 좋아요! 시설이 깨끗하니 운동도 더 잘되고 직원분들도 다들 친절하셔서 좋아요!또 최신기기로 바뀐다고 하니 더 기대되네용!,골프연습만 좀 하려고 했는데 헬스까지 같이 되서 두군데 안다녀도 되네요 ㅎㅎ 필라테스룸 넘 깔끔하고 이뻐요~~ 인생샷 남기기 좋아영 ㅎㅎ,운동 너무 오래 쉰 것 같아서 다시 시작하려구 등록했는데 트레이너분들 모두 친절하게 알려주시고 운동기구도 많구~ 우선 청결하고 위생적이라 맘에 드네요^^
5,"넓고 헬스장 기구들도 좋네요
종류도 다양하구요
방역관리가 잘 되어있는것 같아서 안심하고 다닙니다","다양한 기구 및 시설, 가성비 좋은 회비로 친근한 곳 ^-^
열심히 운동하기 좋아요^^",신설동 근처에 피티받을곳 찾다가 등록했는데 시설도 깔끔하고 트레이너 선생님들도 너무 친절하시고 좋아요!!^^ 운동 처음 하는거라 아무것도 몰라 걱정했는데 기초부터 차근차근 체계적으로 알려주셔서 넘 감사합니당 앞으로도 열운할게요><♥︎,"헬스하려고 새로등록했는데
센터분위기도 좋고 트레이너쌤이 친절하세요",센터가 깔끔하고 인테리어도 예뻐서 좋았어용ㅎㅎ그리고 전체적인 분위기도 너무 좋아서 운동할맛 납니당!,새해맞이 등록했어요! 가족같은 분위기 헬스장 좋네요! 분위기도 편안하고 친절해요 깔끔하고 쾌적해서 마음에 듭니다~!,오늘 방문해서 상담받고 바로 등록했어요! 직원분들 다 너무 친절하시고 분위기도 넘 좋아보여용ㅎㅎ 방역관리도 꼼꼼하게 잘 하시는거 같아서 맘도 놓이구 전체적으로 너무 깔끔한거같아요!'◡' 실내 골프장도 같이 이용할 수 있어서 더 좋은거같아요!,봄맞이 피티 등록했는데ㅎㅎ 너무 친절하게 잘알려주셔서 좋았습니다! 선생님들 다 친절하시구 착하세요ㅎㅎㅎ,새해이벤트로 등록했습니다! 주차장 크고 좋네요! 꾸준히 운동하고 관리해서 다이어트 성공하고싶어요!,서비스 좋고 선생님들 친절하시구 운동하기 좋은 헬스장 ! 앞으로도 꾸준히 다니려구요 ㅎㅎㅎㅎ
6,오다가다 방문하기에 좋아여 ㅎㅎ,,,,,,,,,
7,대학로에 있는 PT샵을 찾아 바디팩토리를 등록했는데 헬스를 처음 진행하여서 조금 막연한 부분도 있었지만 트레이너 분들이 기초부터해서 점차 적응할수있도록정말 도움많이 주셨습니다. 운동처음 시작하시는분들은 정말 강력추천해요~~. 그리고 서비스 음료 정말 좋아요 ㅋㅋ~,위생도 엄청 좋고 시설도 좋습니다 . 처음 상담할 때도 엄청 친절하게 알려주시고 다니면서도 저에게 딱맞는 운동들을 체계적으로 짜주셔서 도움이 많이 됐습니다 !!,넷플릭스 보면서 유산소운동 하니까 덜 지루해서 운동 할만해요!!!,여기만한 곳이 없어서 다시 왔어요ㅋㅋ,"3회 체험하고 30회 등록했는데 살이 많이 빠졌어요
바디팩토리 최고 ~",피티 여러번 받아 봤는데;; 완전 다르네요 ㄷㄷ 그 동안 뭐한거지..ㅠ,이근처 피티샵중 가격적인 부분이 착해서 맘에 들어영~,PT처음인데 진짜 친절해요ㅋㅋ,주변 헬스장에 비해 훨씬 저렴하고 친철하셔서 좋았어요,러닝 뛸때 넷플릭스 개꿀
8,좋아요 좋아요,"사우나 단기로 한번씩 이용하면 보통.
찜질방, 피트니스는 그닥 추천하지 않음","넖고 좋아요
슺가마는 너무 좋은데 요즘은 할수가
없어 아쉬위요",좋아요,굿,연장,8000 5~9시 10000 찜질12000,친절하시고 좋아요~,,
9,,,,,,,,,,
