id,name,img,grade,lat,lng,phoneNumber,address
0,센트럴 피트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220630_151%2F1656585043412ulf2w_JPEG%2FKakaoTalk_20220621_150957020_02.jpg,4.36,37.567322478453725,126.97666226608182,,"서울특별시 중구 무교로 16, 대한체육회 체육회관 (무교동)"
1,황금스파,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180803_143%2F1533284946949v9jh9_JPEG%2FztKkcE8CVIoERWpm0iidgBe4.jpg,4.24,37.57097822274755,127.01854373612623,,"서울특별시 중구 청계천로 지하 400, 메가홀동 2층 2002호 (황학동, 롯데베네치아)"
2,제이엘스포츠,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_78%2F1441050741786XpRrx_JPEG%2F97161485044940_0.jpg,4.26,37.564090930500015,126.9825404594758,,"서울특별시 중구 명동길 55, 1동 14층 (명동1가)"
3,(주)센터원웰니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210806_60%2F1628235816289H89YV_JPEG%2FTC9kRlqbPCJmKDJc4DSJvoww.jpeg.jpg,,37.56742112434122,126.98228814336122,,서울특별시 중구 을지로5길 26 (수하동)
4,베네짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220722_219%2F16584169162799csvo_JPEG%2F1656325717769.jpg,,37.56428933757179,127.01356797871809,,서울특별시 중구 다산로 240 (신당동)
5,엠비휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220714_294%2F1657774935740BCF41_JPEG%2F%25C1%25A6%25B8%25F1%25C0%25BB-%25C0%25D4%25B7%25C2%25C7%25D8%25C1%25D6%25BC%25BC%25BF%25E4_-001.jpg,,37.55396745417748,127.00694511441442,,서울특별시 중구 다산로 111 (신당동)
6,(주)파크짐 서울역점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_280%2F1441067696353av0fD_PNG%2FSUBMIT_1437463599859_36391240.png,4.17,37.55947948669868,126.97090138094724,2236-2232,서울특별시 중구 칠패로 42 (봉래동1가)
7,OUTFIT FITNESS,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211203_163%2F16385185350633XT0s_JPEG%2FKakaoTalk_20211203_170154403_01.jpg,,37.56379994545053,127.0138746806821,,"서울특별시 중구 다산로40길 14, 지하호 (신당동)"
8,(주)파크짐 동대문점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210629_15%2F1624938976683G0rEi_PNG%2FQUUTOitU2EljNxZsB3kwv6-1.PNG.png,4.89,37.56430260533418,127.0028441167956,02-2233-2232,"서울특별시 중구 퇴계로 307 (광희동1가, 광희빌딩)"
9,피엘유,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220501_220%2F1651402687346PFUs3_JPEG%2F%25C3%25BB%25B7%25CF%25BB%25F6_%25BF%25A9%25C7%25E0_%25BB%25E7%25C1%25F8_%25C0%25CE%25BD%25BA%25C5%25B8%25B1%25D7%25B7%25A5_%25B0%25D4%25BD%25C3%25B9%25B0_%252821%2529.jpg,,37.56447312016783,127.00800675740176,02-6348-1842,"서울특별시 중구 퇴계로 354, 대승빌딩 2층 (신당동)"
10,핏앤힐 (Fit and Hill),https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211018_9%2F1634542801833tEtx8_JPEG%2FalK7x9Yy1f6l6BIebp0sIg1q.jpeg.jpg,,37.557342082398826,127.00633023241984,02-2233-1770,"서울특별시 중구 동호로 218, 새움스페이스 지하1층 (신당동)"
11,골든크라운 크로스핏 서대문역,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190604_169%2F1559642828672rmQpT_JPEG%2FxbXQdOMiUYgm1D4sJ0Cwm7M3.JPG.jpg,4.61,37.56759464363487,126.96643359008648,02-318-0687,"서울특별시 중구 정동길 8, 지하1층 (정동)"
12,세심한 PT studio,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220717_12%2F1658030743719oCADO_JPEG%2FKakaoTalk_20220717_125437037.jpg,4.94,37.56580635604119,127.0141121719421,,"서울특별시 중구 퇴계로 409, 흥화브라운 오피스텔 3층 301호 (흥인동)"
13,비치바디,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220217_84%2F1645098191165t5fBb_JPEG%2FKakaoTalk_20220217_203051842.jpg,,37.56911076989769,127.02037606878598,,"서울특별시 중구 난계로 197, 마블플래이스 301호 (황학동)"
14,올록볼록 PT Studio,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200101_112%2F1577856299886znSbd_JPEG%2F4v9T0rDHEIM1sf6t4afRGA0O.jpg,,37.558116152335614,126.96241648461354,02-365-1712,"서울특별시 중구 중림로 10, 2동 206호 (중림동, 중림동 삼성 사이버 빌리지)"
15,GYM29,,4.53,37.56737722498538,126.98368604352255,02-729-5230,"서울특별시 중구 청계천로 86, 한화빌딩 29층 (장교동)"
16,UNO GYM,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200822_124%2F1598023943846b2lss_JPEG%2FwUKIm6q8JkFtNK-ClFlCw7I3.jpeg.jpg,,37.54901357324881,127.0063903966272,,"서울특별시 중구 다산로 32, 5상가동 101호 (신당동, 남산타운)"
17,㈜에이치비스포츠아이엔씨,,,37.56638261110194,126.99391079437969,02-3706-7396,"서울특별시 중구 을지로 170, 동관동 3층 301호 (을지로4가)"
18,긍정체육관,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200914_117%2F1600055741763QtXux_PNG%2Flk31s-lTRJ3IP2YSmVgBZx9c.png,,37.57097822274755,127.01854373612623,,"서울특별시 중구 청계천로 400, 상가동 2층 2089호 (황학동, 롯데캐슬베네치아)"
19,크로스핏 삼손,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211001_25%2F16330814906838cEkL_JPEG%2Ft8WXpcqKR8D105zIGOTRcKww.jpeg.jpg,,37.5670686140244,126.98651813526692,,"서울특별시 중구 수표로 65, 강남빌딩 지하층 (수표동)"
20,슈브 핏,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210428_253%2F1619589003805iXKAk_JPEG%2FTfMKz0Kg7OlssxkfClPMhlZt.jpeg.jpg,,37.54901357324881,127.0063903966272,,"서울특별시 중구 다산로 32, 상가2동 4층 439호 (신당동, 남산타운)"
21,스윗짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210627_98%2F1624805906666FtnsJ_JPEG%2FSIX_tSe0odSVbSG7HBSuMIoB.jpg,,37.56516275311444,127.01924511755573,,"서울특별시 중구 퇴계로 456, 3층 (신당동)"
