company_id,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close
0,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,10:00,18:00,,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,10:00,24:00
3,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:00,18:00,,
4,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00
5,06:00,22:50,06:00,22:50,06:00,22:50,06:00,22:50,06:00,22:50,10:00,20:00,10:00,20:00
6,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:00,19:00,,
7,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:00,15:00,,
8,06:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,20:00,,
9,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,,,,
10,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,12:00,18:00,,
11,06:20,23:00,06:20,23:00,06:20,23:00,06:20,23:00,06:20,23:00,11:00,13:00,,
12,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,18:00,,
13,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,09:00,15:00,,
14,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,09:00,18:00,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,10:00,18:00,,
19,07:00,22:00,07:00,22:00,,,,,,,,,,
20,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,,,,
21,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,10:00,18:00,,
22,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,18:00,10:00,18:00
23,,,,,,,,,,,,,00:00,24:00
24,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,19:00,10:00,19:00
25,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:00,20:00,10:00,22:00
26,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,,,,
27,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00
