company_id,review0,review1,review2,review3,review4,review5,review6,review7,review8,review9
0,아침에 운동하러가요,1. 샤워가능 2. 층마다 분리되어있는 운동공간(붐비지 않고 좋음) 3. 직장에서 가까움 4. 시설대비 저렴함 5. 상담해주시는 팀장님 목소리에 홀림,토로짐,토로짐,ㅇ,ㅇ,ㅌ,위치가 좋아요,주차장이 없어 아쉽지만 직원들이 모두 친절해요,에어컨틀어도 실내 골프가 이렇게 더운건 처음이에요.. 시설은 그냥 저냩
1,굿,.,친절,편하고 좋네요. 올만에 진짜 힐링했어요.,괜찮아요,시원해요,굿,굿,굿,"사람마나 늦게까지떠듬 시간제한 계묘
이불엄슴 콘센트엄슴 추움"
2,인근에서 가장 저렴하고 깨끗한 곳. 짱!!,친절해요,,,,,,,,
3,"넓은 센터에 기구들도 다양하고, 시설들 깨끗하고, 친절해서 진짜~~ 운동 즐겁게 하고 있어요~ 짱! 이제는 꾸준히 열심히 운동해볼랍니당~ㅎ",기구도 다양하고 정~~말 넓어요!! 뷰도 기가막히게 좋아서 운동하러 올맛나네요ㅎㅎㅎ 아! 그리고 쌤들도 모두 친절하시고 잘알려주셔서 너무너무 좋아용ㅎㅎㅎ,"시설 진짜 좋고 기구들도 많아서 피크타임때 와서 한참 기다리고 이럴 일없어서 좋으네요ㅎㅎ
강사님들도 중간 중간 자세도 잘 봐주시고요^^",규모가 커서 시설이 되게 넓고 깨끗해서 좋네요 넓어서 그런가 프로그램도 엄청 다양해서 뭘 해야 할지 고민되더라고요 결국엔 상담 받고 겨우 결정했네요 자세 교정을 위해 요가부터 시작해 보려고 합니다~~,"우선 규모가 커서 운동하기 쾌적하게 좋구요. gx프로그램이 다양해서 좋아요. 요가 다녔는데, 따로 요가 다니지않고 여기서 수업받고, 헬스도 하고 편하네요. 주차지원도 되서 좋아요","상담예약하고 친절한 설명과 시설보고 반했네요ㅎ 일단 통창으로 보이는 전망도 좋고 엄청 넓네요 프로그램도 다양해서 마음에 들었어요~ 스피닝 , 레즈밀 , 줌바 , 요가 , 댄스 , 킥복싱 등 골라서 운동하면 될것같아요ㅎ","탁 트인 뷰가 가슴까지 시원하게 해 줍니다. 3층이라 넘 좋아요, 시설도 깔끔하고 기구들도 진짜 깨끗하고, 쌤도 친절 하셔서 운동하는 시간이 즐겁네요.",주차하기 너무좋고 기구도 너무 다양하고 넓어서 정말 쾌적하게 운동하기 좋아요 다들 친절하시고 가끔 자세도 봐주시고 ㅎㅎ,선생님들 모두 친절하시고 이해도 쉽게 할 수 있도록 잘 알려주셔요.^^ 기구들도 많고 프로그램도 다양해서 너무 재밌게 하고 있어요!!,처음에 갔을때 친절하게 잘 알려주시고 상담해주셔서 좋았습니다~ 개인에게 필요한 운동 알려주셔서 운동하는 재미가 있네요!!
4,,,,,,,,,,
5,남민우 트레이너님께 PT 받고 재등록했어요~😁 꼼꼼한 설명에 자세도 잘 잡아주시고 친절하셔서 운동이 지루하거나 힘들지않고 잼있어요 👏👏👏 강추강추~ 남민우 팀장님 👍🏻 그외 쌤들도 모두 친절해서 좋아요~🤗,"다른 센터에서 3월에 새로 이직하신 양지윤 트레이너 쌤을 따라서 주1회라도 좋으니 멀지만 운동하러 옵니다ㅎㅎ 전에 다니던 센터에서도 지윤쌤 회원님들은 장기 회원님들이 많았습니다. 그만큼 개개인의 몸상태와 운동 여건에 따른 코칭을 정말 잘해주신답니다! 개인의 역량을 끌어올려주는 횟수와 세트수, 디테일한 자극점 체크와 근육의 쓰임, 코어와 밸런스, 호흡법까지 뭐 하나 허투로 하는 법이 없으신 꼼꼼함의 대가~~어떤 동작이 그 회원님에게 안맞는다!하면 더 자극점이 잘 들어오도록 동작도 새로 짜오신답니다~ 쵝오쵝오♡ 쌤이랑 수업하러 가는날은 정말 행복하고 힐링 그 자체..>_<","운동을 배워본적도, 해본적도 없어서 이번 기회에 제대로 배워보고자 pt를 등록했습니다. 내가 끝까지 끈기를 가지고 할 수 있을지, 운동에 재미를 붙일 수 있을지 걱정하면서 시작하였는데 남민우 트레이너님의 정말 친절하고 꼼꼼한 수업 덕분에 운동에 대한 의지와 재미
가 생겼습니다. 단순히 운동만 하는 것이 아니라 제 컨디션이나 몸의 상태에 맞춰서 수업때마다 반영해주셔서 효율적이었고, 운동 자세나 주의할 점, 근육이 어떻게 쓰이고 움직여야 하는지 등등 정말 세세하고 쉽게 설명 해주셔서 운동의 즐거움을 느끼게 되었습니다. pt
의 처음 목표는 다이어트 및 체력 증진이었는데 남민우 트레이너님 덕분에 목표를 이루고 수업을 끝내게 되어 정말 뿌듯하고, 효과적인 운동을 하고 싶은 분들에게 추천합니다!!","헬스장이 약수역 지하철 인근에 버스정류장 코앞에 있어서 퇴근하고 한번 쓰윽 들리기 너무 좋습니다. 남민우 트레이너님 pt 받고있는데 만족도가 너무 높아서 세번째 재결제 하는중입니다! 매 수업 컨디션에 맞춰서 난이도를 조정해 주시니 그날그날 부족하거나 부담되지 않
는 선에서 적절하게 운동 강도를 맞춰주셔서 좋아요. 각 운동 동작마다 근육을 쓰는 방법을 자세하게 설명해 주셔서 움직임을 이해하는데 정말 많은 도움이 됩니다. 수건이랑 운동복도 깔끔하게 관리되고 샤워실도 깔끔하고 시간마다 청소해 주셔서 머리카락이나 운동복 바구니
가 넘친 걸 본 적이 없네요!! 운동 끝나고 주변 맛집에서 저녁 포장해가는 것도 하루 뿌듯하게 마무리하는 것 같아서 좋아요~","헬스장 시설 나쁘지 않구요. 지상이라 쾌적합니다. 무엇보다 남민우 트레이너님 추천해요! 피티 처음 받아보는 입장에서 궁금한 것도 많고, 운동 자체도 익숙하지 않았는데 제 눈높이에 맞게 잘 알려주셨습니다. 가장 좋았던 건, 움직임의 원리까지 세세하게 알려주신건데
요. 근육이 어떻게 쓰여야하는지 아니까 운동에 더 집중할 수 있었고 혼자 운동할 때도 응용할 수 있어 좋았어요. 그리고 항상 친절하셔서 재밌게 운동했습니다~ 정말 잘 배웠어요! 강추예요!",굿,"윤솔 트레이너님께 상담받고 친절하게 해주셔서 PT까지 예약했어요~ 기대됩니당 😁
약수동에서 제일 넓다하고 지하가 아니라서 좋은듯해요",좋습니다,"오전에 카운터에 계신 여성 트레이너분인지, 인포인지는 모르겠는데 회원이 와도 계속 핸드폰만 보고. 한손으로 키 주는 등 매우 불친절합니다. 이게 하루이틀만 그런게 아니라 계속 그러네요. 핸드폰 좀 그만 보시고 회원들 응대 좀 잘해주세요",굿
6,"늘 이용하는 헬스장입니다. 6개월정도 이용했는데, 분위기도 열심히 운동할수있는 분이기에다가 직원분들이 다들 친절하셔서 기분이 좋습니다!! 시청역/서울역 근처 헬스장으로 강력추천합니다👍🏻👍🏻",이 주변 헬스장을 다 돌고 결정했습니다. 공간이 이만큼 넓으면서 시설이 잘 갖춰진 곳은 여기 뿐이었어요. 너무 겉모습에만 치중해 회원관리는 소홀해 보이는 곳이 많더군요. 상담시 가장 성심성의껏 진심으로 해주셨어요. 파크짐을 추천합니다.,"사진처럼 기구가 많았어요!! 보통 기구있는쪽에 러닝머신도 같이 있는경우가 많은데 여기는 통로를 사이에 두고 기구있는곳 러닝머신 있는곳이 나뉘어져 있어서 편리하고 더 좋았어요. 저는 회원권 끊었는데 기구나 러닝머신 모르는거 있을때 친절히 안내해 주셔서 대만족!!!!
 그리고 GX프로그램이 매일마다 요가나 줌바가 있어서 시간맞춰 수업 들을수 있어서 좋아요!!!>< 아주 만족스럽습니다^^",점장님께서 친절하게 상담해주시고 운동하기 좋은 환경인 것 같아요! 인테리어도 밝지 않아서 좋아요ㅋㅋㅋ,"지하지만 공기도 좋고 시설이 깨끗해요. 점장님 선생님 직원 모두 친절하셔서 헬스장가는게 즐겁습니다. PT지도 선생님 아주 잘 지도해주시고, 친절하세요 운동초보이지만 4회 받았는데 아주 만족합니다 초보라 잘모르겠지만 공간이 넓고 기구등이 많아서 기다림 없이 운
동할수 있어요 다만 안그럴때도 있겠죠^^ 저는 파크짐 외 근처 2곳에서 상담받았는데 개인적 견해로 파크짐이 친숙한 느낌이라서 신청하였습니다",여기 참 친절하시고 시설도 좋고 넓고 너무 좋네요 추천드립니다!,"넓고 깔끔하고 운동복이 제공되어서 근처 직장인이 이용하기에 최고입니다! 지하1층 넓은 공간에 여러개의 러닝머신, 운동기구들이 가득해요. 요가와 줌바수업도 아침점김저녁으로 있어요. 샤워시설도 넉넉해서 강추입니다.","PT30회권 끊고 운동중인데 엄청 친절하시고 이론도 같이 설명해주시면서 자세 잘 봐주셔서 너무 좋아요! 유산소존 따로 있는 점도 좋고 탈의실, 샤워실 모두 쾌적해요! 
제가 가는 시간은 사람이 많지도 적지도 않아서 딱 좋고 정말 운동만 하시는 분들이어서 부담 없이 다니기 좋은것 같아요! 
근처 사시거나 회사가 근처시면 다니기 딱 좋을 것 같아요 추천합니다!",너무 좋아요 상담도 친절하게 해주시고 열심히 운동해보려고 등록했습니다 GX도 요가와 줌바도 있어서 아주 유용하게 이용할 수 있을것 같아요^^👍👍,Gx수업도 재밌고 직원들도 모두 친절합니다. 시설깨끗하고 좋아요.
7,"올해 29인데 서른 되기전에 운동을 꼭 해보고싶어서 찾고 찾아왔어요 출산하고 체형이 많이 바껴서 맘 카페도알아보고 신중하게 센터 고르던중 지인추천으로 이곳에 등록했어요 벌써 선생님이랑 수업한지 3개월이 넘었고 또 다시 재등록 했어요^^ 선생님들은 다 친절하
시고 수업 받을때마다 몸이 건강해지는기분과함께 살이 빠지고 근육량이 많이 늘었는데 몸도 마인드도 다 잡아주셨어요..^^.. 저는 영준선생님께 배우고있어요 영준샘께서 다이어트 지치지않게 정신력도 잡아주시고 운동보조 식단표 다 짜주셔서 스트레스 없이 잘 감량 하
고있답니다 운동지식도 정말 많으시고 믿음이 팍!~가요 50분수업 꽉 채워수업해주시고 그날 그날 컨디션에 맞춰서 수업진행해주셔서 감사해요 글고 기구도 많고 시설도 깔끔해서 더 맘에 들었네요~!영준샘최고","*아웃핏피트니스 (신당동,동대문,동묘앞,약수추천)!!왕추천 💜찾아가는길 신당역6번출구 에서 나와선 쭉~직진 후 주유소 지나고 부동산 지나 첫번째 골목으로 들어가면 오토바이집,씨유 편의점있어요 바로옆! 제가 피티를 여러번 받아봤지만 여기가 찐 제대로된 pt구
나 라고 생각 들었던곳이에요 (이때동안 내가 받은건..아무것도아니구나) (수업받을때마다 느껴요)하나부터 정말세세하게 신경 다 써주시고 ,두번째사진처럼 유산소방이 따로있어요 혼자 독차지(?)하는기분 ㅋㅋㅋ 그리고 전 피티끊었지만 필라테스기구도 유산소 방에 있어
서 그냥 하셔도되요!! 누구나써도되요전 30회하고 또 재등록 했습니다!바프도찍어요!샘들 보고 결심하게됬답니다 왕추천!!!진심!!깔끔 친절 세세함 돈이아깝지않은적 첨이에요 저 믿고 와보세여!!",필라테스랑 웨이트를 같이 할수 있는 곳이라서 좋습니다 필라테스하는데 헬스장 함께 이용 가능한 곳 많이 없었던것 같은데 두가지 운동 겸해서 하니까 뭔가 좀 더 실용적이고 좋아요 !! 코칭해주시는 선생님이 너무 꼼꼼하고 맘에듭니다 ㅎㅎㅎ,믿음이 가요 상담 받을때부터 수업하면서까지 믿음이 계속 가요 그래서 연장 했어요 몸 컨디션에 따른 운동법이랑 스트레칭까지 하면서 관리해주셔서 더 많이 케어 받는 느낌도 들어요 추천이에요 황관장님!!,새로오신 선생님 추천 받아서 피티 등록했습니다 상담하시는데 너무 프로다운 모습이 보여서 양동철 선생님앞으로 잘 부탁드립니다 !!,"저의 첫 버킷리스트, 바디프로필 찍기!!! 대표님이 저의 첫 프로필을 성공적으로 찍을수 있게 꼼꼼히 도와 주셨어요! 처음도전 해 보는거라 반신반의 하면서 시키는대로만 따라 갔더니 뚱뚱이에서 바디라인이 잡혀지기 시작! 만들어지기 시작하더라고요. 정말 신기신기!! 쌤이 처음부터 사진찍는 당일 날까지 스튜디오에서 케어 다 해주시구,, 꼼꼼하게 운동 식단 휴식 다 케어 해주셨어요. 아웃핏 피트니스는 저의 인생 헬스장! 쌤은 저의 인생 퍼스널트레이너이심~!!! 감사합니다!!! 또 열심히 달려볼게요!!^^",열심히할게요 두유랑게토레이랑단백질제공에 피티하면유산소는언제든할수있다하셔서해보려고합니다 피티삼십회끊으니이벤트로바디플필촬영권도주신다하니!5월말까지등록하길잘한듯. 더큰목표가생겼어요,필라테스 2:1로 원장님 통해서 수업 받았는데 확실히 다른 곳 필라테스 많이 다녀봤어도 아웃핏 원장님이 너무 세심하게 잘 봐주셔서 재밌고 기분 좋은 수업이였습니다 ! 앞으로도 열심히 해서 꼭 원하는 체형 교정하는 날까지 화이팅 하겠습니다 원장님 ~ ; ),대표님하고 운동하면서 식단 철저하게 지키면서 운동 꾸준히 계속 하다보니까 몸 좋아지는게 눈에띄게 보여서 만족하면서 추가 결제 했습니다 ! 올 여름엔 시원하게 다닐예정입니다 ㅎ,필라테스 랑 pt 같이해서 30회 등록했어요 ! 필라테스 선생님이 레슨시간 50분 시간 안에서 필라테스와 PT를 함께 진행 해주셔서 둘 다 재미를 느낄 수 있는 알찬 수업이였습니다🙏 초보자도 접근하기 쉽게 잘 해주시구 운동이 넘나 재밌는것 ㅎㅎ
8,시설도 좋고 너무 친절하셔서 재등록 합니다.,시설 깔끔하니 괜찮습니다~,"직원분들이 친절하시고 가격대가 합리적인것 같아서 괜찮네요.
24시간도 장점이네요~",생각보다 넓고 기구가 다양하네요!,역이랑 가깝고 시설 깔끔하고 기구도 다양해서 좋아요!,"몇년째 다니는데 넓고 쾌적해요~
평일 24시간인것도 제일 좋아요:)",위치도 좋고 체계적으로 잘되어있어서 좋습니다 ~^^,소문듣고 왔습니다,"GX 너무 재미있어요 ! 기구도 다양 ! 점심시간에 밥 안먹고 운동하고 있는데 요즘 맛들려서 살이 쪽쪽 빠지고 있어용 키키키 가성비 짱,, 이 동네에서 회사 다닌다면 꼭 등록하셔야됩니다",동역사 바로 나와서 위치가 편해요😃
9,"일반pt와 달리 센터장님께서 자세교정부터 근육운동, 발란스운동, 유산소운동까지 다양하게 진행해주십니다! 무엇보다 친절하시고, 재미있게 운동을 가르쳐주셔서 만족하면서 다니고 있습니다:)","오랜시간 컴퓨터 앞에 앉아있는 현대인들에게 추천합니당 헬스 PT와 필라테스 사이에서 고민하다가 여기를 알게 되었는데, 두 개의 장점을 모두 갖춘 곳이라 만족합니다! 체형 교정과 바른 자세를 먼저 잡으면서 근육과 유연성을 늘릴 수 있어서 좋은 선택인 것 같습니
다 목과 어깨가 안좋고 거북목이었는데 많이 펴지고 자세 교정이 되어 좋습니다~ 운동 후 근육을 풀어주시는데 확실히 스포츠재활 전문이라 그런지 몸의 발란스가 맞아가는 느낌이에요! 너무 시원하고 앞으로 도수치료 안받으러가도 됩니다 센터장님과 강사님들도 친절하시고,
 어디가 부족한지 개인에 맞는 운동법으로 컨디션에 맞춰 잘 알려주십니다 다양한 프로그램으로 진행해주셔서, 운동 별로 안좋아하다가 운동에 재미를 붙이게 되었어요~ 좋은 운동기구도 많고 쾌적해용","본격적으로 피티를 받는 것도 처음이라 약간은 떨리는 마음으로 등록했지만, 정말로 잘한 선택이었다고 생각합니다! 처음에는 상담을 통해 체중 감량과 자세 교정 운동의 빈도를 결정했고, 운동할 때에도 자세를 계속 봐주시니 운동할 때에 편안한 자세로 몸에 부담이 덜 가게 운동할 수 있었습니다. 그리고 규모가 큰 시설이 아니라 오히려 트레이너 분과 더 자세에 대해 면밀하게 이야기할 수 있어서 좋았고, 사람도 한꺼번에 모이지 않아 코로나로 인한 걱정도 덜 수 있어 좋았습니다.","저는 강직성척추염과 섬유근육통을 가지고 있어요 이전에 여러 운동을 해봤지만 도중에 다쳐서 중단하곤 했지요ㅜ 부상으로 체중도 늘고 통증이 안잡힐때 소개로 피엘유를 찾게되었는데 컨디션에 맞게 운동을 시켜주셔서 다치지않고 1년가까이 다니고 있어요 5개월(주1~
2회)만에 체중도 7키로 정도 빼고 관절운동범위 늘려가며 체력도 키우고 있어요 집이 멀어 지금은 주1회 다니는데 컨디션이 안좋은날도 기어서라도 운동하러가면 걸어서 집에가게되네요 선생님들이 넘 좋으시고 진심으로 응원해주셔서 마음편히 운동 할 수 있는 곳이에요^
^","몸을 많이 사용하는 업종에서 근무하다 보니 목, 허리, 어깨 등 점점 아파지는 곳이 많아 운동을 배워보고자 다니게 되었습니다. 근육을 키우는 목적보다는 바른 자세와 망가진 몸을 회복해서 건강히 오래 일하고 싶다는 이야기를 드리며 상담을 받았고, 재활과 근육 증량을 
병행하는 프로그램으로 진행하였습니다. 회원분들의 컨디션에 맞추어 필요한 운동을 진행하고 운동 후에는 잠시 누워 뭉친 곳을 풀어주시는 방식으로 수업을 해주십니다. 강사분들도 친절하시고, 개인 스케줄에 최대한 맞춰주셔서 주 1~3회 편하게 운동할 수 있었고 약 
4개월이 지난 지금은 일하면서 고질적으로 아팠던 허리도 많이 개선되었고 일상 속에서 바른 자세를 위해 신경 쓰는 습관이 생겨 매우 만족스럽습니다.","선생님들 모두 친철하시고 1대1로 잘 가르쳐주셔서 자세도 많이 좋아지고 힘도 많이 붇었네요
한번 방문하셔도 좋을꺼 같습니다",코치를 잘 해주시고 운동 프로그램과 선생님들도 좋은거같아요!!!,재활pt답게 운동 후 불편한 부분을 꼭 풀어주시는데 이렇게 정확하게 풀어주는곳이 없어서 그런지 아프지만 빠지지않고 수업에 참여하게됩니다,좋아요,근육들이 다 굳어서 유연성이 떨어지고 첫날은 거의 운동이 되질 않았는데 선생님들이 친절하고 꼼꼼하게 저를 봐주셔서 지금은 일상생활 편하게 하고 있습니다. 덕분에 운동이라는 것을 배웠고 운동에 재미를 느꼈습니다! 먼데도 다니게 되는 이유가 다 있습니다..
