company_id,kind,tidy,various,wide,reasonable,pose,advice,parking,class,GX,care
0,,,,,,,,,,,
1,17,14,12,7,12,9,8,4,6,2,
2,,,,,,,,,,,
3,37,24,,,59,,,6,,,
4,,,,,,,,,,,
5,86,75,42,17,55,71,59,11,67,,20
6,,,,,,,,,,,
7,65,62,46,35,31,40,37,8,33,8,
8,25,8,19,11,8,24,13,4,20,5,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,21,14,9,9,9,,5,3,,1,
12,,,,,,,,,,,
13,8,3,4,7,5,3,1,1,1,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,5,5,4,1,,1,1,,,,
17,22,10,14,5,10,10,11,2,5,2,
18,,,,,,,,,,,
19,41,2,6,,29,37,42,,17,4,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,19,19,8,3,11,11,8,,5,1,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,42,35,11,6,2,49,22,6,39,,36
27,,,,,,,,,,,
28,,,,,,,,,,,
29,26,15,18,6,15,15,14,,6,5,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,83,88,78,30,18,76,56,,52,9,
35,117,111,62,21,66,48,87,,28,8,
36,48,49,45,15,26,32,21,,20,5,
37,7,6,5,1,6,8,7,,7,1,
38,57,61,9,3,6,62,19,,52,,50
39,,,,,,,,,,,
40,41,2,6,,29,37,42,,17,4,
41,33,29,22,12,10,28,22,5,26,1,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
