company_id,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close
0,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,09:00,18:00,,
1,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,07:00,19:00,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,00:00,24:00
4,,,,,,,,,,,,,,
5,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,14:00,,
6,07:00,24:00,07:00,24:00,07:00,24:00,07:00,24:00,07:00,24:00,08:00,20:00,,
7,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,20:00,10:00,20:00
8,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,19:00,10:00,19:00
9,,,,,,,,,,,,,,
10,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,13:00,,
11,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,20:00,10:00,20:00
12,,,,,,,,,,,,,,
13,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,12:00,20:00,12:00,20:00
14,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,,,,
15,06:00,새벽 06:00,06:00,새벽 06:00,06:00,새벽 06:00,06:00,새벽 06:00,06:00,새벽 06:00,10:00,22:00,10:00,22:00
16,07:00,24:00,07:00,24:00,07:00,24:00,07:00,24:00,07:00,24:00,09:00,21:00,09:00,21:00
17,,,,,,,,,,,,,00:00,24:00
18,10:30,23:00,10:30,23:00,10:30,23:00,10:30,23:00,10:30,23:00,10:30,16:00,,
19,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,,,,
20,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,17:00,,
21,10:00,20:30,10:00,20:30,10:00,20:30,10:00,20:30,10:00,20:30,10:00,13:00,,
22,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,10:00,18:00,10:00,18:00
23,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,13:00,19:00,13:00,19:00
24,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,,,,
25,,,,,,,,,,,,,,
26,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,10:00,18:00,,
27,,,,,,,,,,,,,,
28,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,,,,
29,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,20:00,10:00,20:00
30,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,12:00,18:00,,
31,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,13:00,17:30,,
32,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,12:00,,
33,,,,,,,,,,,,,06:00,23:00
34,06:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,21:00,09:00,21:00
35,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,10:00,18:00,,
36,06:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,21:00,10:00,18:00
37,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,10:00,17:00,,
38,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,10:00,17:00,,
39,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,10:00,16:00,,
40,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,,,,
41,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,09:00,21:00,,
42,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,,
43,,,,,,,,,,,,,06:00,24:00
44,09:00,24:00,09:00,24:00,09:00,24:00,09:00,24:00,09:00,24:00,12:00,18:00,,
